순번,변수명,그룹,자료형,단위_형식,모델사용,설명,출처,결측수,고유값수
1,샘플ID,식별·시공간,str,-,"분할·추적용, X 제외",각 학습 표본을 유일하게 식별하는 ID,학습데이터_최종_캐나다지수.csv,0,17045
2,기준시각,식별·시공간,datetime64[us],YYYY-MM-DD HH:MM:SS,"분할·추적용, X 제외",산불 발생 또는 비발생 대조 표본의 기준 날짜와 시간,학습데이터_최종_캐나다지수.csv,0,6851
3,위도,식별·시공간,float64,degree,기본 X 제외,표본 위치의 위도,학습데이터_최종_캐나다지수.csv,0,9290
4,경도,식별·시공간,float64,degree,기본 X 제외,표본 위치의 경도,학습데이터_최종_캐나다지수.csv,0,9290
5,기상셀ID,식별·시공간,str,-,"분할·추적용, X 제외",표본에 연결된 시간단위 기상 격자 ID,학습데이터_최종_캐나다지수.csv,0,90
6,기후지형유형,계절·시간,str,-,모델 후보,영동 해안형·영서 내륙형·고지 산간형 등 기후·지형 구분,학습데이터_최종_캐나다지수.csv,0,3
7,월_key,계절·시간,int64,-,주기변환 사용 시 X 제외,기준시각에서 추출한 월(1~12),학습데이터_최종_캐나다지수.csv,0,12
8,시간_key,계절·시간,int64,-,주기변환 사용 시 X 제외,기준시각에서 추출한 시각(0~23),학습데이터_최종_캐나다지수.csv,0,24
9,샘플유형,목적변수·표본설계,str,-,"누수 위험, 반드시 X 제외","Target_1, Target_0A, Target_0B1, Target_0B2 표본 유형",학습데이터_최종_캐나다지수.csv,0,4
10,도로_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 도로까지 거리,학습데이터_최종_캐나다지수.csv,0,8574
11,시가화_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 시가화 지역까지 거리,학습데이터_최종_캐나다지수.csv,0,8405
12,농업_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 농업 지역까지 거리,학습데이터_최종_캐나다지수.csv,0,8525
13,임도_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 임도까지 거리,학습데이터_최종_캐나다지수.csv,0,9290
14,등산로_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 등산로까지 거리,학습데이터_최종_캐나다지수.csv,0,9290
15,산림_최단거리_m,공간·지형,float64,m,log1p 변수와 비교 후 택1,표본 위치에서 가장 가까운 산림 지역까지 거리,학습데이터_최종_캐나다지수.csv,0,3222
16,Target,목적변수·표본설계,int64,-,목적변수,"산불 발생 여부 목적변수(발생 1, 비발생 0)",학습데이터_최종_캐나다지수.csv,0,2
17,실험안,목적변수·표본설계,str,-,"누수 위험, 반드시 X 제외",음성표본 생성 및 실험 설계 구분,학습데이터_최종_캐나다지수.csv,0,1
18,샘플가중치,목적변수·표본설계,float64,-,가중치로만 사용,샘플링 설계를 보정하기 위한 학습 가중치,학습데이터_최종_캐나다지수.csv,0,1
19,시간샘플링방식,목적변수·표본설계,str,-,"누수 위험, 반드시 X 제외",비발생 표본의 시간 선택 방식,학습데이터_최종_캐나다지수.csv,0,4
20,공간층,목적변수·표본설계,str,-,"누수 위험, 반드시 X 제외",비발생 표본이 추출된 공간 후보층,학습데이터_최종_캐나다지수.csv,0,4
21,고도(m),공간·지형,float64,m,모델 후보,표본 위치의 해발고도,학습데이터_최종_캐나다지수.csv,0,9112
22,경사도(도),공간·지형,float64,degree,모델 후보,표본 위치의 지형 경사각,학습데이터_최종_캐나다지수.csv,0,9111
