fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score
F_003556,2020-04-30 18:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,0.08161718134426371,0.44249526332046535,-0.8175865940347236
F_006688,2020-04-30 18:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,0.11544154136813085,-0.2557712606850359,-1.0811040029051138
F_007618,2020-01-04 13:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,13,산불위험계절(11~5월),한낮(10~13시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.68598095300526,-0.568368907141331,0.38510632819842044
F_007619,2020-01-04 13:00:00,YS_0037,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.23315428727513834,-0.11338103241122238,0.9987134091529463
F_007620,2020-01-04 15:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,15,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,입산활동 발화 후보,-0.31817828527352787,-0.1172524481935181,0.6167707030782122
F_007621,2020-01-04 14:00:00,YS_0019,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.26564110053160556,-0.9703683857835093,-0.7026015666987134
F_007622,2020-01-05 11:00:00,YS_0001,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,11,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,공공시설지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.12352063521002206,-0.48873755328268875,-0.22170797723322574
F_007623,2020-01-06 12:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),산림지역,혼효림,비인접,입산활동 발화 후보,-0.17633576984155155,-1.25925673441309,0.049194647169220194
F_007624,2020-01-15 13:00:00,YD_0020,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.1748141043490811,0.2404674955512125,0.001042977742826105
F_007625,2020-01-20 17:00:00,YS_0008,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,17,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,3.4657754643869807,0.221718684929252,0.36179273249416166
