메타데이터,요인점수,검정,그룹수,effect_label,effect_size,p_value,p_adj_fdr
addr_type,단기상대건조_score,Mann-Whitney,2,rank_biserial,-0.020644604069126715,0.3800095238434653,0.570014285765198
addr_type,상대강수부족_score,Mann-Whitney,2,rank_biserial,0.05320992816889292,0.023654200916344795,0.07096260274903439
addr_type,상대강풍_score,Mann-Whitney,2,rank_biserial,0.0018026168721030356,0.9389143622598665,0.9389143622598665
기후지형_번지유형,단기상대건조_score,Kruskal-Wallis,6,epsilon_sq,0.02736494412114688,1.5821935959160719e-19,2.373290393874108e-19
기후지형_번지유형,상대강수부족_score,Kruskal-Wallis,6,epsilon_sq,0.021673720377390262,1.7682299091654987e-15,1.7682299091654987e-15
기후지형_번지유형,상대강풍_score,Kruskal-Wallis,6,epsilon_sq,0.03130643844245001,2.4017574412543105e-22,7.205272323762932e-22
기후지형유형,단기상대건조_score,Kruskal-Wallis,3,epsilon_sq,0.003368491119792821,0.0012150610711053125,0.0012150610711053125
기후지형유형,상대강수부족_score,Kruskal-Wallis,3,epsilon_sq,0.00419530265435349,0.00029895027528938263,0.00044842541293407394
기후지형유형,상대강풍_score,Kruskal-Wallis,3,epsilon_sq,0.0274199646317883,2.3397098766890556e-21,7.019129630067167e-21
산불위험계절,단기상대건조_score,Mann-Whitney,2,rank_biserial,-0.2050888935860401,5.890923237105741e-19,5.890923237105741e-19
산불위험계절,상대강수부족_score,Mann-Whitney,2,rank_biserial,-0.22844876582352802,3.876581702772352e-23,5.814872554158528e-23
산불위험계절,상대강풍_score,Mann-Whitney,2,rank_biserial,0.3668399915451279,5.51162650130436e-57,1.653487950391308e-56
