기상셀ID,시작,종료,행수,고유날짜수,예상날짜수,누락날짜수,완전성_pct
YD_0001,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0002,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0003,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0004,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0005,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0006,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0007,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0008,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0009,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0010,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0011,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0012,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0013,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0014,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0015,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0016,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0017,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0018,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0019,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0020,2020-01-01,2021-12-31,731,731,731,0,100.0
YD_0021,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0001,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0002,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0003,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0004,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0005,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0006,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0007,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0008,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0009,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0010,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0011,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0012,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0013,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0014,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0015,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0016,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0017,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0018,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0019,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0020,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0021,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0022,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0023,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0024,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0025,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0026,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0027,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0028,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0029,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0030,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0031,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0032,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0033,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0034,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0035,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0036,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0037,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0038,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0039,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0040,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0041,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0042,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0043,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0044,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0045,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0046,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0047,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0048,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0049,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0050,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0051,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0052,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0053,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0054,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0055,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0056,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0057,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0058,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0059,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0060,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0061,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0062,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0063,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0064,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0065,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0066,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0067,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0068,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0069,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0070,2020-01-01,2021-12-31,731,731,731,0,100.0
YS_0071,2020-01-01,2021-12-31,731,731,731,0,100.0
