기상셀ID,기후권역,중심경도_wgs84,중심위도_wgs84,중심점_셀내부,DEM_X,DEM_Y,DEM_범위내,DEM_고도_m,DEM_샘플성공
YD_0001,영동,128.90271437991473,37.71242219731847,True,367778.4251314441,569785.1124957409,True,38.39857482910156,True
YD_0002,영동,128.5060057576517,38.26194820840453,True,331807.8691221903,630148.8379148999,True,61.493595123291016,True
YD_0003,영동,129.09993443435556,37.50761666696619,True,385679.6250750319,547421.7649007656,True,81.15241241455078,True
YD_0004,영동,128.5807931038299,38.13093408881651,True,338601.9416817911,615714.1489310503,True,45.542442321777344,True
YD_0005,영동,128.43403972031038,38.3585125320677,True,325342.6180591568,640768.3905738892,True,79.08003997802734,True
YD_0006,영동,128.84102874382484,37.79918930507348,True,362149.0340200738,579308.0605631514,True,60.6407470703125,True
YD_0007,영동,128.93899698641863,37.76376830204829,True,370859.9711659704,575550.5625570231,True,3.515808343887329,True
YD_0008,영동,128.72697519735263,37.92286186281625,True,351848.9090282249,592844.72928137,True,91.37874603271484,True
YD_0009,영동,128.39744768123006,38.46383358875992,True,321966.92298863357,652411.222787685,True,148.89239501953125,True
YD_0010,영동,128.51308025875915,38.17358299819917,True,332587.3725236333,620349.5407610175,True,293.80816650390625,True
YD_0011,영동,129.23755111066416,37.29475699660884,True,398410.2543869624,524073.3402997778,True,371.78802490234375,True
YD_0012,영동,129.2329600319996,37.15065079472579,True,398380.4041853815,508067.2554319442,True,125.64344024658203,True
YD_0013,영동,128.57696788686576,38.191943250365966,True,338151.32652499614,622481.0416424219,True,2.5455081462860107,True
YD_0014,영동,128.99070412640134,37.62387987031671,True,375746.77007155085,560117.598099964,True,148.43255615234375,True
YD_0015,영동,128.75879321343538,37.843226454787,True,354813.4914429777,584056.946137692,True,77.59442901611328,True
YD_0016,영동,128.79194303466656,37.73181146201095,True,357968.7458902922,571744.6928961886,True,280.1676940917969,True
YD_0017,영동,129.14399499290266,37.42713930076382,True,389779.44912447536,538576.131425443,True,135.58409118652344,True
YD_0018,영동,129.10716340752887,37.360766272024605,True,386683.4745837207,531134.8492574734,True,148.8392791748047,True
YD_0019,영동,129.01543742296255,37.5094070630068,True,378203.18220832886,547457.0467929076,True,286.6810607910156,True
