데이터셋,변수,행수,결측수,결측률_pct
기상셀 메타,기상셀ID,92,0,0.0
기상셀 메타,셀ID,92,0,0.0
기상셀 메타,기후권역,92,0,0.0
기상셀 메타,대표관측망,92,0,0.0
기상셀 메타,대표지점번호,92,0,0.0
기상셀 메타,대표지점명,92,0,0.0
기상셀 메타,면적_km2,92,0,0.0
기상셀 메타,중심X_5186,92,0,0.0
기상셀 메타,중심Y_5186,92,0,0.0
기상셀 메타,중심경도_wgs84,92,0,0.0
기상셀 메타,중심위도_wgs84,92,0,0.0
기상셀 메타,영역WKT_wgs84,92,0,0.0
기후지형유형,기상셀ID,92,0,0.0
기후지형유형,기후권역,92,0,0.0
기후지형유형,기후지형유형,92,0,0.0
시간기상,기상셀ID,1614048,0,0.0
시간기상,일시,1614048,0,0.0
시간기상,기온_C,1614048,0,0.0
시간기상,풍속_m_s,1614048,0,0.0
시간기상,풍향_deg,1614048,0,0.0
시간기상,강수량_mm,1614048,0,0.0
시간기상,현지기압_hPa,1614048,0,0.0
시간기상,해면기압_hPa,1614048,0,0.0
시간기상,습도_pct,1614048,0,0.0
캐나다 지수,기상셀ID,67252,0,0.0
캐나다 지수,날짜,67252,0,0.0
캐나다 지수,기온_C,67252,0,0.0
캐나다 지수,습도_pct,67252,0,0.0
캐나다 지수,풍속_km_h,67252,0,0.0
캐나다 지수,강수량_mm,67252,0,0.0
캐나다 지수,FFMC,67252,0,0.0
캐나다 지수,FFMC_10일평균,67252,0,0.0
캐나다 지수,Indexed_FFMC,67252,0,0.0
캐나다 지수,FFMC_논문식_발생확률,67252,0,0.0
캐나다 지수,FFMC_FWI산출,67252,0,0.0
캐나다 지수,DMC,67252,0,0.0
캐나다 지수,DC,67252,0,0.0
캐나다 지수,ISI,67252,0,0.0
캐나다 지수,BUI,67252,0,0.0
캐나다 지수,FWI,67252,0,0.0
