기상셀ID,관측일수,평균기온_C,평균_일최저기온_C,평균_일최고기온_C,평균_일교차_C,평균습도_pct,평균풍속_m_s,평균_일최대풍속_m_s,총강수량_mm,연평균강수량_mm,기후권역,대표지점명,중심경도_wgs84,중심위도_wgs84,DEM_고도_m
YD_0001,731,12.940400706794346,9.297879616963064,17.01826265389877,7.720383036935705,65.93271545827633,2.302246352029184,3.675690834473324,2983.75,1491.875,영동,강릉,128.90271437991473,37.71242219731847,38.39857482910156
YD_0002,731,11.256942544459646,7.92218878248974,14.82690834473324,6.9047195622435025,67.27556714546283,2.9949430004559963,4.533775649794801,4225.15,2112.575,영동,속초,128.5060057576517,38.26194820840453,61.493595123291016
YD_0003,731,13.194921910624716,9.899151846785225,16.64218878248974,6.743036935704514,65.23623518011857,2.1353932968536253,4.140793433652531,2476.56,1238.28,영동,동해,129.09993443435556,37.50761666696619,81.15241241455078
YD_0004,731,12.436011171910625,8.57452804377565,16.500328317373462,7.925800273597812,64.93694083447332,2.1804976060191517,3.9727770177838577,3696.89,1848.445,영동,강현,128.5807931038299,38.13093408881651,45.542442321777344
YD_0005,731,11.325835043319653,7.671381668946648,15.186443228454173,7.515061559507524,69.71300159598724,2.601014591883265,4.11562243502052,4183.5,2091.75,영동,간성,128.43403972031038,38.3585125320677,79.08003997802734
YD_0006,731,13.008361833105335,9.285526675786594,16.972393980848153,7.68686730506156,63.85784427724578,1.6846631326949384,3.3371682626538983,3150.77,1575.385,영동,북강릉,128.84102874382484,37.79918930507348,60.6407470703125
YD_0007,731,13.54374259005928,9.717783857729138,17.81231190150479,8.09452804377565,66.99348324213406,2.5365355677154584,4.546662106703146,2842.87,1421.435,영동,경포,128.93899698641863,37.76376830204829,3.515808343887329
YD_0008,731,12.023689010487917,8.34266757865937,15.92124487004104,7.578577291381668,68.24756383948929,2.2373005015959873,3.5929001367989053,2958.11,1479.055,영동,주문진,128.72697519735263,37.92286186281625,91.37874603271484
YD_0009,731,12.51499772001824,8.84718194254446,16.3603146374829,7.513132694938441,69.29466883264934,2.628245554035568,4.523652530779754,3845.67,1922.835,영동,죽정,128.39744768123006,38.46383358875992,148.89239501953125
YD_0010,731,11.876107501139991,7.872777017783858,16.33041039671683,8.457633378932968,73.13672366621067,1.477092453260374,2.959794801641587,4891.23,2445.615,영동,설악동,128.51308025875915,38.17358299819917,293.80816650390625
YD_0011,731,13.08875968992248,9.089644322845416,17.326388508891927,8.236744186046511,70.51194425444596,1.7866387368901047,3.6552120383036937,3002.13,1501.065,영동,궁촌,129.23755111066416,37.29475699660884,371.78802490234375
YD_0012,731,12.832294231646147,8.339712722298222,17.782065663474693,9.44235294117647,68.96984724122207,2.013609781121751,4.188262653898769,2992.46,1496.23,영동,원덕,129.2329600319996,37.15065079472579,125.64344024658203
YD_0013,731,13.197617989056088,9.58437756497948,16.775786593707252,7.1914090287277705,64.92797879616963,1.6870297537619698,3.3443228454172362,3412.77,1706.385,영동,속초조양,128.57696788686576,38.191943250365966,2.5455081462860107
YD_0014,731,12.662717168262654,9.019931600547196,16.66670314637483,7.646771545827633,66.83373689010489,2.7559251025991793,4.749876880984952,2762.42,1381.21,영동,옥계,128.99070412640134,37.62387987031671,148.43255615234375
YD_0015,731,12.145348837209303,8.330191518467853,16.22143638850889,7.89124487004104,67.60164500683995,2.1724435704514367,3.703707250341997,2921.78,1460.89,영동,연곡,128.75879321343538,37.843226454787,77.59442901611328
YD_0016,731,10.901386798905609,7.467318741450068,14.892530779753763,7.425212038303694,69.2130950752394,1.8242584359325125,3.7364432284541724,3450.25,1725.125,영동,강릉성산,128.79194303466656,37.73181146201095,280.1676940917969
YD_0017,731,13.632140902872775,10.08908344733242,17.61611491108071,7.5270314637482905,63.504253305973556,1.9018194254445964,3.5925991792065664,2680.22,1340.11,영동,삼척,129.14399499290266,37.42713930076382,135.58409118652344
YD_0018,731,13.037853397172823,8.740560875512996,17.900082079343363,9.15952120383037,80.58635829913361,1.973766529867761,4.087578659370725,2925.11,1462.555,영동,신기,129.10716340752887,37.360766272024605,148.8392791748047
YD_0019,731,13.146908914728682,10.471436388508891,16.090068399452804,5.618632010943913,61.002192772457825,3.2089221386228908,4.438714090287277,1140.42,570.21,영동,달방댐,129.01543742296255,37.5094070630068,286.6810607910156
YD_0020,731,11.790302097583218,8.511450068399453,15.354117647058825,6.842667578659371,68.90730164158687,2.646174190606475,3.96812585499316,3435.28,1717.64,영동,양양,128.6256266957444,38.030060394140726,153.38121032714844
YD_0021,731,12.56517441860465,8.427783857729139,16.424035567715457,7.99625170998632,67.89985921112631,2.960187528499772,5.436894664842681,3571.13,1785.565,영동,현내,128.37782133666127,38.54487840784246,81.35174560546875
YS_0001,731,12.207631668946648,7.371450068399453,17.978098495212038,10.606648426812585,69.45323586411308,1.3783396032831736,2.9754035567715458,2605.56,1302.78,영서,춘천,127.72963593510455,37.886629112634175,153.55636596679688
YS_0002,731,12.600424646602828,8.219699042407662,17.480683994528043,9.260984952120383,64.4094077747378,1.14250113999088,2.541573187414501,2441.68,1220.84,영서,원주,127.9401977336872,37.35250035866684,146.59579467773438
YS_0003,731,11.345106589147287,6.460191518467852,17.288864569083447,10.828673050615595,70.06567316461468,1.1162619699042406,2.7016826265389877,2384.02,1192.01,영서,홍천,127.89551677059043,37.69433542080602,122.62921142578125
