random_state,Silhouette,ARI_vs_seed42,군집크기
0,0.4049729457749031,1.0,54|25|12
1,0.4049729457749031,1.0,12|54|25
2,0.4049729457749031,1.0,25|54|12
3,0.4049729457749031,1.0,54|25|12
4,0.4049729457749031,1.0,25|54|12
5,0.4049729457749031,1.0,12|25|54
6,0.4049729457749031,1.0,12|54|25
7,0.4049729457749031,1.0,12|25|54
8,0.4049729457749031,1.0,12|54|25
9,0.4049729457749031,1.0,25|54|12
10,0.4049729457749031,1.0,54|25|12
11,0.4049729457749031,1.0,25|12|54
12,0.4049729457749031,1.0,25|54|12
13,0.40517351606768337,0.9678554154884546,11|55|25
14,0.4049729457749031,1.0,54|25|12
15,0.4049729457749031,1.0,25|12|54
16,0.40517351606768337,0.9678554154884546,55|11|25
17,0.40517351606768337,0.9678554154884546,11|25|55
18,0.4049729457749031,1.0,54|25|12
19,0.40438084778850075,0.9821374045801526,54|24|13
