데이터,변수,N_셀,H_stat,p_value,epsilon_squared,q_FDR
전체,DEM_고도_m,92,56.60495103307164,5.109648894617317e-13,0.6220324289348532,3.576754226232122e-12
전체,평균기온_C,92,51.224872784480056,7.527663667053675e-12,0.5629106899393412,2.6346822834687864e-11
전체,평균_일최저기온_C,92,47.59374078728922,4.625412838179798e-11,0.5230081405196617,1.0792629955752862e-10
전체,평균_일교차_C,92,37.333585133374754,7.818347931322419e-09,0.41025917728983247,1.3682108879814233e-08
전체,평균습도_pct,92,22.114789280637808,1.5770102768227416e-05,0.2430196624245913,1.8398453229598653e-05
전체,평균풍속_m_s,92,34.05248319028124,4.032712186838753e-08,0.3742031119811125,5.645797061574254e-08
전체,연평균강수량_mm,92,15.683624463428146,0.00039295626718517115,0.17234752157613348,0.00039295626718517115
품질검토대상제외,DEM_고도_m,91,56.25825754324961,6.076795112200554e-13,0.6250917504805512,4.253756578540388e-12
품질검토대상제외,평균기온_C,91,52.068327390586546,4.93749155889688e-12,0.5785369710065171,1.7281220456139082e-11
품질검토대상제외,평균_일최저기온_C,91,47.63779138992203,4.5246504609687045e-11,0.5293087932213558,1.0557517742260311e-10
품질검토대상제외,평균_일교차_C,91,40.82929457593622,1.3615429095013434e-09,0.4536588286215135,2.382700091627351e-09
품질검토대상제외,평균습도_pct,91,21.494456463978395,2.1504932468801354e-05,0.23882729404420439,2.5089087880268248e-05
품질검토대상제외,평균풍속_m_s,91,33.00553992046116,6.806722887606158e-08,0.36672822133845734,9.52941204264862e-08
품질검토대상제외,연평균강수량_mm,91,15.04114490161004,0.0005418223104333162,0.16712383224011154,0.0005418223104333162
