변수,비교쌍,p_value,FDR_p_value,유의성
DEM_고도_m,영동 해안형 vs 영서 내륙형,1.446612479110008e-06,1.446612479110008e-06,*
DEM_고도_m,영동 해안형 vs 고지·산간형,6.696614193070873e-09,1.8914170815622416e-08,*
DEM_고도_m,영서 내륙형 vs 고지·산간형,1.2609447210414943e-08,1.8914170815622416e-08,*
평균기온_C,영동 해안형 vs 영서 내륙형,3.990934274061194e-09,1.004492128960631e-08,*
평균기온_C,영동 해안형 vs 고지·산간형,6.696614193070873e-09,1.004492128960631e-08,*
평균기온_C,영서 내륙형 vs 고지·산간형,0.00022464503313664687,0.00022464503313664687,*
평균_일최저기온_C,영동 해안형 vs 영서 내륙형,1.3842433206491237e-10,4.1527299619473714e-10,*
평균_일최저기온_C,영동 해안형 vs 고지·산간형,6.696614193070873e-09,1.004492128960631e-08,*
평균_일최저기온_C,영서 내륙형 vs 고지·산간형,0.3463787772410415,0.3463787772410415,
평균_일교차_C,영동 해안형 vs 영서 내륙형,2.094400085976893e-08,6.28320025793068e-08,*
평균_일교차_C,영동 해안형 vs 고지·산간형,0.019930297799056414,0.019930297799056414,*
평균_일교차_C,영서 내륙형 vs 고지·산간형,7.433077471411702e-05,0.00011149616207117554,*
평균습도_pct,영동 해안형 vs 영서 내륙형,1.025749240688755e-05,3.077247722066265e-05,*
평균습도_pct,영동 해안형 vs 고지·산간형,0.00023458196422732007,0.0003518729463409801,*
평균습도_pct,영서 내륙형 vs 고지·산간형,0.21144822952072662,0.21144822952072662,
평균풍속_m_s,영동 해안형 vs 영서 내륙형,7.09487205036639e-07,2.128461615109917e-06,*
평균풍속_m_s,영동 해안형 vs 고지·산간형,0.4669852613467842,0.4669852613467842,
평균풍속_m_s,영서 내륙형 vs 고지·산간형,4.696824620062791e-06,7.0452369300941865e-06,*
연평균강수량_mm,영동 해안형 vs 영서 내륙형,1.3272549148917185e-05,3.981764744675156e-05,*
연평균강수량_mm,영동 해안형 vs 고지·산간형,0.04168008356620201,0.06252012534930301,
연평균강수량_mm,영서 내륙형 vs 고지·산간형,0.4736263162894704,0.4736263162894704,
