기후지형유형,풍향구간,건수,비율
고지·산간형,"[0.0, 22.5)",47871,0.10106019151846785
고지·산간형,"[22.5, 45.0)",19734,0.0416603333839996
고지·산간형,"[45.0, 67.5)",24064,0.05080137136680685
고지·산간형,"[67.5, 90.0)",21616,0.04563341271047609
고지·산간형,"[90.0, 112.5)",15968,0.03370995254260188
고지·산간형,"[112.5, 135.0)",11845,0.025005911063822602
고지·산간형,"[135.0, 157.5)",14010,0.029576430055226224
고지·산간형,"[157.5, 180.0)",18082,0.038172805728665285
고지·산간형,"[180.0, 202.5)",34978,0.07384185370961477
고지·산간형,"[202.5, 225.0)",36325,0.07668549762713009
고지·산간형,"[225.0, 247.5)",40877,0.08629519852730066
고지·산간형,"[247.5, 270.0)",50553,0.10672214622283022
고지·산간형,"[270.0, 292.5)",31178,0.06581969566465691
고지·산간형,"[292.5, 315.0)",17809,0.03759647700596173
고지·산간형,"[315.0, 337.5)",19873,0.041953775480907264
고지·산간형,"[337.5, 360.0)",68905,0.14546494739153198
영동 해안형,"[0.0, 22.5)",21864,0.05934466809979806
영동 해안형,"[22.5, 45.0)",13183,0.035782142314290055
영동 해안형,"[45.0, 67.5)",14148,0.03840140707445769
영동 해안형,"[67.5, 90.0)",16404,0.04452478665884959
영동 해안형,"[90.0, 112.5)",16155,0.04384893492280633
영동 해안형,"[112.5, 135.0)",12483,0.03388215751416846
영동 해안형,"[135.0, 157.5)",12919,0.0350655766182442
영동 해안형,"[157.5, 180.0)",10776,0.02924890886587193
영동 해안형,"[180.0, 202.5)",10614,0.02880919809784379
영동 해안형,"[202.5, 225.0)",19364,0.05255900809936378
영동 해안형,"[225.0, 247.5)",37591,0.10203189803053005
영동 해안형,"[247.5, 270.0)",49631,0.13471163659262153
영동 해안형,"[270.0, 292.5)",46566,0.12639241743208912
영동 해안형,"[292.5, 315.0)",29166,0.07916422382906652
영동 해안형,"[315.0, 337.5)",20055,0.05443456452348381
영동 해안형,"[337.5, 360.0)",37505,0.10179847132651511
영서 내륙형,"[0.0, 22.5)",140251,0.1816873419558098
영서 내륙형,"[22.5, 45.0)",34621,0.044849573021597644
영서 내륙형,"[45.0, 67.5)",33774,0.04375233179952742
영서 내륙형,"[67.5, 90.0)",22866,0.02962162666335033
영서 내륙형,"[90.0, 112.5)",21189,0.0274491667703022
영서 내륙형,"[112.5, 135.0)",23791,0.030819912531608838
영서 내륙형,"[135.0, 157.5)",26031,0.03372170749906728
영서 내륙형,"[157.5, 180.0)",32226,0.04174698420594453
영서 내륙형,"[180.0, 202.5)",46999,0.06088458110516934
영서 내륙형,"[202.5, 225.0)",41206,0.053380072959416325
영서 내륙형,"[225.0, 247.5)",46126,0.059753658334369686
영서 내륙형,"[247.5, 270.0)",45896,0.05945570617253244
영서 내륙형,"[270.0, 292.5)",37094,0.04805320648343904
영서 내륙형,"[292.5, 315.0)",40670,0.05268571487791734
영서 내륙형,"[315.0, 337.5)",39579,0.05127238527546325
영서 내륙형,"[337.5, 360.0)",139617,0.1808660303444845
