데이터,층,변수,N_셀,Spearman_rho,p_value,q_FDR_global
전체,전체권역,평균기온_C,92,-0.7885578656967156,1.0476268852293011e-20,1.5714403278439517e-19
전체,전체권역,평균_일최저기온_C,92,-0.6170183252932201,5.7693086342019216e-11,4.3269814756514413e-10
전체,전체권역,평균_일교차_C,92,-0.0049936038715842354,0.9623200564588427,0.9910846979963881
전체,전체권역,평균습도_pct,92,0.36840158439036413,0.00030241183254085634,0.0012960507108893842
전체,전체권역,평균풍속_m_s,92,0.13179107007999014,0.210467001871687,0.3577006237003493
전체,전체권역,연평균강수량_mm,92,-0.13470400567174762,0.2004700482664658,0.3577006237003493
품질검토대상제외,전체권역,평균기온_C,91,-0.8127090301003345,1.3685779264265615e-22,4.105733779279684e-21
품질검토대상제외,전체권역,평균_일최저기온_C,91,-0.6366459627329193,1.1777462813134589e-11,1.1777462813134587e-10
품질검토대상제외,전체권역,평균_일교차_C,91,-0.017009077878643097,0.8728615320342497,0.9910846979963881
품질검토대상제외,전체권역,평균습도_pct,91,0.3826724000637044,0.00018144315213602732,0.0009072157606801366
품질검토대상제외,전체권역,평균풍속_m_s,91,0.12861920688007647,0.224350104774309,0.3577006237003493
품질검토대상제외,전체권역,연평균강수량_mm,91,-0.1439082656473961,0.17354041366164882,0.34708082732329765
품질검토대상제외,영동 해안형,평균기온_C,21,-0.18571428571428572,0.4202513335237499,0.5730700002596589
품질검토대상제외,영동 해안형,평균_일최저기온_C,21,-0.16493506493506493,0.47494156501178986,0.6035118142164726
품질검토대상제외,영동 해안형,평균_일교차_C,21,0.0025974025974025974,0.9910846979963881,0.9910846979963881
품질검토대상제외,영동 해안형,평균습도_pct,21,0.49870129870129876,0.021380845999253086,0.07126948666417696
품질검토대상제외,영동 해안형,평균풍속_m_s,21,-0.045454545454545456,0.8448883449705005,0.9910846979963881
품질검토대상제외,영동 해안형,연평균강수량_mm,21,0.0038961038961038965,0.9866273665163273,0.9910846979963881
품질검토대상제외,고지·산간형,평균기온_C,27,-0.3327228327228327,0.08992864591140738,0.1927042412387301
품질검토대상제외,고지·산간형,평균_일최저기온_C,27,-0.016483516483516484,0.9349621823905486,0.9910846979963881
품질검토대상제외,고지·산간형,평균_일교차_C,27,-0.3571428571428571,0.06742904400568374,0.15560548616696246
품질검토대상제외,고지·산간형,평균습도_pct,27,0.17155067155067155,0.3922233738256908,0.5603191054652725
품질검토대상제외,고지·산간형,평균풍속_m_s,27,0.23076923076923078,0.24682885788531458,0.3702432868279719
품질검토대상제외,고지·산간형,연평균강수량_mm,27,0.41025641025641024,0.033547822989089184,0.10064346896726756
품질검토대상제외,영서 내륙형,평균기온_C,43,-0.621111446692842,8.820994536808336e-06,5.2925967220850015e-05
품질검토대상제외,영서 내륙형,평균_일최저기온_C,43,-0.5052854122621564,0.0005483567835695594,0.002056337938385848
품질검토대상제외,영서 내륙형,평균_일교차_C,43,-0.1883116883116883,0.22654372834355455,0.3577006237003493
품질검토대상제외,영서 내륙형,평균습도_pct,43,0.29447296889157354,0.05525950727484668,0.1381487681871167
품질검토대상제외,영서 내륙형,평균풍속_m_s,43,0.3008154636061613,0.04998205071520929,0.1363146837687526
품질검토대상제외,영서 내륙형,연평균강수량_mm,43,0.10993657505285412,0.4828094513731781,0.6035118142164726
