FWI지수,그룹A,그룹B,A_N,B_N,MannWhitney_U,p_value,Cliff_delta_A_minus_B,q_FDR_global
FFMC,영동 해안형,고지·산간형,21,27,381.0,0.04380858738779309,0.34391534391534395,0.05632532664144826
FFMC,영동 해안형,영서 내륙형,21,44,457.0,0.94966768536266,-0.010822510822510845,0.94966768536266
FFMC,고지·산간형,영서 내륙형,27,44,407.0,0.02717489748667451,-0.31481481481481477,0.03762678113539548
DMC,영동 해안형,고지·산간형,21,27,471.0,0.00010175994550378987,0.6613756613756614,0.00036633580381364354
DMC,영동 해안형,영서 내륙형,21,44,635.0,0.015530878366879464,0.3744588744588744,0.023296317550319197
DMC,고지·산간형,영서 내륙형,27,44,351.0,0.004075121353153707,-0.40909090909090906,0.009169023044595841
DC,영동 해안형,고지·산간형,21,27,437.0,0.0014740399112739117,0.5414462081128748,0.0044221197338217355
DC,영동 해안형,영서 내륙형,21,44,538.0,0.2895623986010015,0.16450216450216448,0.32575769842612673
DC,고지·산간형,영서 내륙형,27,44,382.0,0.012241386370827865,-0.35690235690235694,0.020098623329041467
ISI,영동 해안형,고지·산간형,21,27,419.0,0.005021386489022788,0.4779541446208113,0.010042772978045575
ISI,영동 해안형,영서 내륙형,21,44,800.0,2.198044578425762e-06,0.7316017316017316,3.956480241166372e-05
ISI,고지·산간형,영서 내륙형,27,44,714.0,0.15694660015823936,0.202020202020202,0.1883359201898872
BUI,영동 해안형,고지·산간형,21,27,474.0,7.857521534170558e-05,0.6719576719576719,0.00036633580381364354
BUI,영동 해안형,영서 내륙형,21,44,641.0,0.012282492034414231,0.3874458874458875,0.020098623329041467
BUI,고지·산간형,영서 내륙형,27,44,339.0,0.0025747005115383955,-0.4292929292929293,0.0066206584582415885
FWI,영동 해안형,고지·산간형,21,27,471.0,0.00010175994550378987,0.6613756613756614,0.00036633580381364354
FWI,영동 해안형,영서 내륙형,21,44,779.0,9.007255895322061e-06,0.6861471861471862,8.106530305789856e-05
FWI,고지·산간형,영서 내륙형,27,44,576.0,0.8357923841617668,-0.030303030303030276,0.8849566420536354
