기후지형유형,계절,기상변수,FWI지수,N_셀일,Spearman_rho,p_value,q_FDR_global
고지·산간형,가을,기온_C,FFMC,4914,-0.20766405212578398,5.225093473464317e-49,7.44963821959269e-49
고지·산간형,가을,기온_C,DMC,4914,-0.3593520533137804,1.0490082217103875e-149,2.083547364500632e-149
고지·산간형,가을,기온_C,DC,4914,-0.3992933127853978,1.5902351883679417e-187,3.522982571153594e-187
고지·산간형,가을,기온_C,ISI,4914,-0.2569705063960467,6.004061046052733e-75,9.296610651952618e-75
고지·산간형,가을,기온_C,BUI,4914,-0.38017306051350364,9.306699313388118e-169,1.9854291868561318e-168
고지·산간형,가을,기온_C,FWI,4914,-0.2986642792021524,8.370237371916471e-102,1.4015281180883394e-101
고지·산간형,가을,습도_pct,FFMC,4914,-0.7788040055058805,0.0,0.0
고지·산간형,가을,습도_pct,DMC,4914,-0.5632536664477397,0.0,0.0
고지·산간형,가을,습도_pct,DC,4914,-0.41703998521491636,4.354672295521815e-206,1.0279882140248218e-205
고지·산간형,가을,습도_pct,ISI,4914,-0.7651300574359077,0.0,0.0
고지·산간형,가을,습도_pct,BUI,4914,-0.5418128980449817,0.0,0.0
고지·산간형,가을,습도_pct,FWI,4914,-0.7367833299075919,0.0,0.0
고지·산간형,가을,풍속_km_h,FFMC,4914,0.021769799758479775,0.1270462324613536,0.13451954025319793
고지·산간형,가을,풍속_km_h,DMC,4914,0.04744376343927291,0.0008783940976828584,0.0009546320759723141
고지·산간형,가을,풍속_km_h,DC,4914,0.07615198077709409,9.059083026843714e-08,1.0394485704107528e-07
고지·산간형,가을,풍속_km_h,ISI,4914,0.25387220534821037,3.887849207145539e-73,5.987703591753558e-73
고지·산간형,가을,풍속_km_h,BUI,4914,0.056758320274367786,6.864003398520921e-05,7.545164041122234e-05
고지·산간형,가을,풍속_km_h,FWI,4914,0.18062944954204352,2.6042970062042397e-37,3.5048483074150513e-37
고지·산간형,가을,강수량_mm,FFMC,4914,-0.7409072489124144,0.0,0.0
고지·산간형,가을,강수량_mm,DMC,4914,-0.5426323156181954,0.0,0.0
고지·산간형,가을,강수량_mm,DC,4914,-0.424518185769149,2.9799835960630512e-214,7.1519606305513225e-214
고지·산간형,가을,강수량_mm,ISI,4914,-0.7131293355265533,0.0,0.0
고지·산간형,가을,강수량_mm,BUI,4914,-0.5300203648185455,0.0,0.0
고지·산간형,가을,강수량_mm,FWI,4914,-0.7031572789272477,0.0,0.0
고지·산간형,겨울,기온_C,FFMC,4887,0.10786120947429927,4.018366443584327e-14,4.9246363223501545e-14
고지·산간형,겨울,기온_C,DMC,4887,0.08525463626992155,2.3834945113737895e-09,2.824882383850417e-09
고지·산간형,겨울,기온_C,DC,4887,0.0605236958689093,2.29740501833803e-05,2.5546434180747205e-05
고지·산간형,겨울,기온_C,ISI,4887,-0.01367375599362383,0.3392276037444511,0.3476781134462702
고지·산간형,겨울,기온_C,BUI,4887,0.08492908317778415,2.7415227534419137e-09,3.2226879713929436e-09
고지·산간형,겨울,기온_C,FWI,4887,0.028456232380148175,0.04668067038641968,0.04979271507884766
고지·산간형,겨울,습도_pct,FFMC,4887,-0.5911428626206082,0.0,0.0
고지·산간형,겨울,습도_pct,DMC,4887,-0.3015194416026762,2.9509047890686117e-103,4.99917987795153e-103
고지·산간형,겨울,습도_pct,DC,4887,-0.200336582946537,2.0054495244841615e-45,2.803735257531255e-45
고지·산간형,겨울,습도_pct,ISI,4887,-0.5289761837871326,0.0,0.0
고지·산간형,겨울,습도_pct,BUI,4887,-0.287865262427047,6.901507526571567e-94,1.1166484087936017e-93
고지·산간형,겨울,습도_pct,FWI,4887,-0.4660051693344783,4.8304717251605694e-262,1.3249293874726133e-261
고지·산간형,겨울,풍속_km_h,FFMC,4887,0.10991431279260622,1.3066104506061205e-14,1.6150378101912562e-14
고지·산간형,겨울,풍속_km_h,DMC,4887,0.14728418938344273,4.182051743663959e-25,5.329340275111594e-25
고지·산간형,겨울,풍속_km_h,DC,4887,0.10816040840858454,3.415979981387487e-14,4.204283054015369e-14
고지·산간형,겨울,풍속_km_h,ISI,4887,0.5118279396656931,0.0,0.0
고지·산간형,겨울,풍속_km_h,BUI,4887,0.14967547831096126,6.986680847555132e-26,8.982875375428027e-26
고지·산간형,겨울,풍속_km_h,FWI,4887,0.3930768498825361,2.665106401552803e-180,5.7710574710316335e-180
고지·산간형,겨울,강수량_mm,FFMC,4887,-0.5163608672344967,0.0,0.0
고지·산간형,겨울,강수량_mm,DMC,4887,-0.24099472313897422,1.603344270029342e-65,2.392555180147412e-65
고지·산간형,겨울,강수량_mm,DC,4887,-0.19367365753682486,1.636864607108244e-42,2.266427917534492e-42
고지·산간형,겨울,강수량_mm,ISI,4887,-0.45578259304296154,2.4310957341822484e-249,6.365050649495342e-249
고지·산간형,겨울,강수량_mm,BUI,4887,-0.22588535398714019,1.4048864667888097e-57,2.0538441747978536e-57
고지·산간형,겨울,강수량_mm,FWI,4887,-0.4083287042567883,9.16750131576079e-196,2.095428872173895e-195
고지·산간형,봄,기온_C,FFMC,4968,0.4068775811589263,1.9134753690670994e-197,4.4086472503305966e-197
고지·산간형,봄,기온_C,DMC,4968,0.491660280570349,9.223478482723395e-301,2.7385173227055027e-300
고지·산간형,봄,기온_C,DC,4968,0.4247610201290147,7.41598653402223e-217,1.7947933796625232e-216
고지·산간형,봄,기온_C,ISI,4968,0.37766430791822014,3.409711901141186e-168,7.220566378887218e-168
고지·산간형,봄,기온_C,BUI,4968,0.49027647061849566,7.884740409566277e-299,2.3171482019949875e-298
고지·산간형,봄,기온_C,FWI,4968,0.4554760263966633,4.6440267936422813e-253,1.238407144971275e-252
고지·산간형,봄,습도_pct,FFMC,4968,-0.6861032005543998,0.0,0.0
고지·산간형,봄,습도_pct,DMC,4968,-0.2925354239866152,1.3037338203731032e-98,2.1579042544106537e-98
고지·산간형,봄,습도_pct,DC,4968,-0.0170585249996735,0.22930980466362455,0.23927979617073866
고지·산간형,봄,습도_pct,ISI,4968,-0.6761835585305375,0.0,0.0
고지·산간형,봄,습도_pct,BUI,4968,-0.24064881017928963,2.1898641381859511e-66,3.284796207278927e-66
고지·산간형,봄,습도_pct,FWI,4968,-0.6209319454552973,0.0,0.0
고지·산간형,봄,풍속_km_h,FFMC,4968,0.057028526373177776,5.77397186585194e-05,6.371279300250417e-05
고지·산간형,봄,풍속_km_h,DMC,4968,-0.01597591873486537,0.2602350309529656,0.270569274059401
고지·산간형,봄,풍속_km_h,DC,4968,-0.06719317949678681,2.13494082786982e-06,2.4018084313535475e-06
고지·산간형,봄,풍속_km_h,ISI,4968,0.2895000410626299,1.588939452139232e-96,2.6000827398641975e-96
고지·산간형,봄,풍속_km_h,BUI,4968,-0.02978224249675003,0.03580719141797806,0.038479369882006266
고지·산간형,봄,풍속_km_h,FWI,4968,0.21884026318548291,6.180171778639595e-55,8.855171503722405e-55
고지·산간형,봄,강수량_mm,FFMC,4968,-0.7088195074854733,0.0,0.0
고지·산간형,봄,강수량_mm,DMC,4968,-0.3277759832767487,9.41538189083884e-125,1.7162215092161936e-124
고지·산간형,봄,강수량_mm,DC,4968,-0.14746945872653394,1.4838861178568892e-25,1.8993742308568182e-25
고지·산간형,봄,강수량_mm,ISI,4968,-0.6725366103603304,0.0,0.0
고지·산간형,봄,강수량_mm,BUI,4968,-0.298662242528638,6.702455182727432e-103,1.1288345570909359e-102
