events_per_cell_time,exposure_count,event_rows,share_of_exposures
1,998,998,0.8678260869565217
2,106,212,0.09217391304347826
3,19,57,0.01652173913043478
4,7,28,0.00608695652173913
5,3,15,0.0026086956521739132
6,7,42,0.00608695652173913
7,1,7,0.0008695652173913044
15,1,15,0.0008695652173913044
16,1,16,0.0008695652173913044
18,1,18,0.0008695652173913044
19,1,19,0.0008695652173913044
20,1,20,0.0008695652173913044
26,1,26,0.0008695652173913044
27,2,54,0.0017391304347826088
31,1,31,0.0008695652173913044
