기상셀ID,기준시각,events_per_exposure,fire_ids,first_latitude,first_longitude,climate_type,month,hour
YD_0001,2020-01-01 12:00:00,1,F_007615,37.76145081394594,128.84112487217868,영동 해안형,1,12
YD_0001,2020-01-13 11:00:00,1,F_010705,37.6961730745053,128.88738577569748,영동 해안형,1,11
YD_0001,2020-02-08 12:00:00,1,F_007649,37.74971696920339,128.85750035452267,영동 해안형,2,12
YD_0001,2020-03-24 11:00:00,1,F_010804,37.69804445205297,128.89259175436595,영동 해안형,3,11
YD_0001,2020-03-26 18:00:00,1,F_010816,37.71916022921628,128.88360288518786,영동 해안형,3,18
YD_0001,2020-04-04 18:00:00,1,F_010840,37.76464074485105,128.8450962184453,영동 해안형,4,18
YD_0001,2020-04-11 13:00:00,1,F_010873,37.757438082394565,128.92424053694697,영동 해안형,4,13
YD_0001,2020-06-04 17:00:00,1,F_010948,37.72353632408701,128.86731418856328,영동 해안형,6,17
YD_0001,2020-06-17 20:00:00,1,F_010968,37.77236211261898,128.8842939738192,영동 해안형,6,20
YD_0001,2020-11-19 15:00:00,1,F_011063,37.72309903100496,128.9241794265133,영동 해안형,11,15
YD_0001,2020-11-30 11:00:00,1,F_011066,37.74017581157049,128.90664161785884,영동 해안형,11,11
YD_0001,2020-12-10 10:00:00,1,F_008641,37.774629999770696,128.89574700054894,영동 해안형,12,10
YD_0001,2020-12-15 09:00:00,1,F_008698,37.751766000330726,128.8750889999527,영동 해안형,12,9
YD_0001,2020-12-18 11:00:00,2,F_008715|F_011083,37.74705000009358,128.9161699997779,영동 해안형,12,11
YD_0001,2021-01-15 12:00:00,1,F_008744,37.72124659135982,128.90398402899152,영동 해안형,1,12
YD_0001,2021-01-28 13:00:00,1,F_008799,37.77503262978534,128.8953347905502,영동 해안형,1,13
YD_0001,2021-01-29 14:00:00,1,F_008841,37.7687730004003,128.90061400026823,영동 해안형,1,14
YD_0001,2021-01-29 19:00:00,1,F_008847,37.76301999997088,128.8792230003263,영동 해안형,1,19
YD_0001,2021-02-01 11:00:00,1,F_008905,37.77518299963092,128.88971899951594,영동 해안형,2,11
YD_0001,2021-02-01 13:00:00,1,F_009141,37.72800599963462,128.95426300008307,영동 해안형,2,13
YD_0001,2021-02-01 14:00:00,1,F_009245,37.77627099992723,128.89407500033803,영동 해안형,2,14
YD_0001,2021-02-02 08:00:00,1,F_009284,37.74811899988919,128.8835479999442,영동 해안형,2,8
YD_0001,2021-02-02 16:00:00,1,F_009471,37.72760000038468,128.95353300056237,영동 해안형,2,16
YD_0001,2021-02-02 17:00:00,1,F_009472,37.76554300010643,128.8738919999404,영동 해안형,2,17
YD_0001,2021-02-03 09:00:00,1,F_009520,37.72807000032736,128.95430700003973,영동 해안형,2,9
YD_0001,2021-02-05 14:00:00,1,F_009985,37.77290499995125,128.88067000030023,영동 해안형,2,14
YD_0001,2021-02-07 10:00:00,2,F_010054|F_010055,37.76534100022021,128.86337399964015,영동 해안형,2,10
YD_0001,2021-02-11 18:00:00,1,F_010095,37.73332800014053,128.86171899947388,영동 해안형,2,18
YD_0001,2021-02-13 13:00:00,1,F_010126,37.70105400012704,128.8659419996009,영동 해안형,2,13
YD_0001,2021-02-13 14:00:00,1,F_010129,37.72804100007147,128.954314999918,영동 해안형,2,14
YD_0001,2021-02-15 13:00:00,1,F_010154,37.691138000148776,128.9077319999706,영동 해안형,2,13
YD_0001,2021-02-15 14:00:00,1,F_010147,37.691123000218,128.90767599967594,영동 해안형,2,14
YD_0001,2021-02-18 15:00:00,2,F_010192|F_010196,37.733547000377335,128.8435059997643,영동 해안형,2,15
YD_0001,2021-02-18 16:00:00,1,F_010198,37.736407000133184,128.84303999985568,영동 해안형,2,16
YD_0001,2021-02-18 17:00:00,1,F_010193,37.73582155075973,128.8434584244602,영동 해안형,2,17
YD_0001,2021-02-22 17:00:00,1,F_010248,37.74639400017227,128.88004399945316,영동 해안형,2,17
YD_0001,2021-02-22 18:00:00,1,F_010242,37.74639400017227,128.88004399945316,영동 해안형,2,18
YD_0001,2021-02-24 18:00:00,1,F_010267,37.73796300043762,128.872196000537,영동 해안형,2,18
YD_0001,2021-02-24 20:00:00,1,F_010263,37.74840500016391,128.88510100040307,영동 해안형,2,20
YD_0001,2021-03-30 16:00:00,2,F_010399|F_010401,37.69399900028456,128.93593600007392,영동 해안형,3,16
YD_0001,2021-04-22 11:00:00,1,F_010547,37.768365999780784,128.89365100021718,영동 해안형,4,11
YD_0001,2021-04-23 13:00:00,1,F_010557,37.72746299997995,128.95391700002872,영동 해안형,4,13
YD_0001,2021-05-06 14:00:00,1,F_010622,37.76379400042404,128.84916600003498,영동 해안형,5,14
YD_0002,2020-01-25 09:00:00,1,F_010716,38.22568437894875,128.54879001635803,영동 해안형,1,9
YD_0002,2020-03-05 16:00:00,1,F_007667,38.23778099983328,128.5440300004796,영동 해안형,3,16
YD_0002,2020-05-01 20:00:00,2,F_007788|F_010915,38.27570497406472,128.48309692899193,영동 해안형,5,20
YD_0002,2020-05-01 21:00:00,1,F_010922,38.31508237296786,128.53496923797815,영동 해안형,5,21
