climate_type,month,raw_event_n,fire_date_n,unique_exposure_n,exposure_fire_date_n,cell_hour_n,unique_exposure_rate_per_100k_cell_hour,rate_ci95_low,rate_ci95_high
영동 해안형,1,54,25,49,25,31248,156.8100358422939,116.00892776763038,207.311183413077
영동 해안형,2,307,34,121,34,28728,421.1918685602896,349.4938442033604,503.2705369376015
영동 해안형,3,47,22,41,22,31248,131.2083973374296,94.15741125337712,177.9990065467707
영동 해안형,4,50,30,45,30,30240,148.8095238095238,108.54268779178064,199.1188508497315
영동 해안형,5,20,10,18,10,31248,57.6036866359447,34.13959543138609,91.03865933028668
영동 해안형,6,9,6,8,6,30240,26.455026455026456,11.421402700887903,52.12694847947524
영동 해안형,7,0,0,0,0,31248,0.0,0.0,11.805169784030772
영동 해안형,8,0,0,0,0,31248,0.0,0.0,11.805169784030772
영동 해안형,9,1,1,1,1,30240,3.306878306878307,0.08372291000095859,18.42474666315773
영동 해안형,10,31,9,31,9,31248,99.2063492063492,67.40590111092503,140.81549380199934
영동 해안형,11,16,13,16,13,30240,52.91005291005291,30.242666844052657,85.92261110304541
영동 해안형,12,28,15,24,15,31248,76.80491551459293,49.210358597946964,114.27962619608684
영서 내륙형,1,48,22,44,22,65472,67.20430107526882,48.83074804213149,90.2186374027183
영서 내륙형,2,295,35,198,35,60192,328.9473684210526,284.7220210380794,378.0956386518451
영서 내륙형,3,115,38,98,38,65472,149.68230694037146,121.51933204170889,182.4147884487037
영서 내륙형,4,160,42,137,42,63360,216.2247474747475,181.53493439677806,255.6130124496108
영서 내륙형,5,65,22,56,22,65472,85.5327468230694,64.61051775206228,111.07138625303175
영서 내륙형,6,12,8,12,8,63360,18.939393939393938,9.786261219574207,33.08330973512778
영서 내륙형,7,3,3,3,3,65472,4.5821114369501466,0.9449415366807206,13.390874067910442
영서 내륙형,8,1,1,1,1,65472,1.5273704789833822,0.03866967250777413,8.50996363474294
영서 내륙형,9,1,1,1,1,63360,1.5782828282828283,0.039958661591366594,8.793629089234372
영서 내륙형,10,33,15,29,15,65472,44.29374389051808,29.664215447134556,63.61320478767503
영서 내륙형,11,17,12,17,12,63360,26.83080808080808,15.62993445329434,42.958722878640486
영서 내륙형,12,22,9,19,9,65472,29.020039100684265,17.471959256425237,45.31838583147848
고지·산간형,1,15,12,14,12,40176,34.846674631620864,19.051001285097055,58.46679888947525
고지·산간형,2,96,24,71,24,36936,192.22438813082087,150.12884192792674,242.46490986327868
고지·산간형,3,26,16,23,16,40176,57.248108323377146,36.29038987715222,85.90027104448684
고지·산간형,4,32,20,26,20,38880,66.8724279835391,43.683290163570845,97.9836010368441
고지·산간형,5,19,12,15,12,40176,37.33572281959379,20.896520641137283,61.57959695212526
고지·산간형,6,3,3,3,3,38880,7.716049382716049,1.5912348839907444,22.54957065262943
고지·산간형,7,1,1,1,1,40176,2.489048187972919,0.06301724408674303,13.868088886247754
고지·산간형,8,0,0,0,0,40176,0.0,0.0,9.181798720912823
고지·산간형,9,1,1,1,1,38880,2.5720164609053495,0.06511781888963446,14.330358515789348
고지·산간형,10,22,7,19,7,40176,47.29191557148546,28.472822491952233,73.85218431796493
고지·산간형,11,2,2,2,2,38880,5.144032921810699,0.622966251399087,18.582015606285903
고지·산간형,12,6,3,6,3,40176,14.934289127837514,5.480620901759385,32.50566015162954
