climate_type,season,raw_event_n,fire_date_n,unique_exposure_n,exposure_fire_date_n,cell_hour_n,unique_exposure_rate_per_100k_cell_hour,rate_ci95_low,rate_ci95_high
영동 해안형,겨울(12-2월),389,74,194,74,91224,212.66333421029555,183.78934846556325,244.78635979468854
영동 해안형,봄(3-5월),117,62,104,62,92736,112.1463077984817,91.63166009977837,135.8840223807425
영동 해안형,여름(6-8월),9,6,8,6,92736,8.62663906142167,3.724370445941707,16.997917982437578
영동 해안형,가을(9-11월),48,23,48,23,91728,52.32862375719519,38.58299627538292,69.38016328942882
영서 내륙형,겨울(12-2월),365,66,261,66,191136,136.5519839276745,120.48663801475223,154.1630386466184
영서 내륙형,봄(3-5월),340,102,291,102,194304,149.7653162055336,133.0505348890341,167.99898215773857
영서 내륙형,여름(6-8월),16,12,16,12,194304,8.234519104084322,4.706739158041792,13.372343131155782
영서 내륙형,가을(9-11월),51,28,47,28,192192,24.454711954711957,17.968402517828917,32.51958267807555
고지·산간형,겨울(12-2월),117,39,91,39,117288,77.58679489802878,62.46804745313338,95.25939134143961
고지·산간형,봄(3-5월),77,48,64,48,119232,53.676865271068166,41.33772690740359,68.54415862258872
고지·산간형,여름(6-8월),4,4,4,4,119232,3.3548040794417604,0.9140712003709782,8.589630867052213
고지·산간형,가을(9-11월),25,10,22,10,117936,18.654185320851987,11.690478625889984,28.242660754244024
