date,month,unique_exposure_n,raw_event_n,climate_type_n,cell_n,rank_by_unique_exposure
2021-02-01,2,60,169,3,37,1
2021-02-03,2,47,197,3,26,2
2021-02-02,2,39,64,3,26,3
2021-02-05,2,21,25,3,13,4
2021-01-29,1,17,21,3,12,5
2021-02-11,2,15,15,3,11,6
2021-02-20,2,14,17,3,11,7
2020-12-10,12,14,16,3,13,8
2021-02-17,2,13,15,3,9,9
2021-02-13,2,12,13,3,10,10
2021-02-15,2,12,13,3,8,11
2021-03-11,3,12,13,3,9,12
2020-10-21,10,11,11,3,7,13
2021-02-06,2,11,11,3,10,14
2020-10-20,10,10,13,2,5,15
2021-04-24,4,10,11,3,9,16
2021-03-31,3,9,13,2,6,17
2020-05-01,5,9,10,2,8,18
2021-03-14,3,9,10,3,9,19
2021-02-09,2,9,9,3,7,20
2021-02-12,2,9,9,3,7,21
2021-02-24,2,9,9,3,7,22
2021-05-14,5,8,10,1,6,23
2020-10-16,10,8,9,2,3,24
2021-02-08,2,8,9,2,6,25
2021-04-02,4,8,9,3,8,26
2021-04-22,4,8,9,3,7,27
2021-04-25,4,8,9,3,5,28
2021-04-27,4,8,9,3,6,29
2020-10-15,10,8,8,2,2,30
2020-04-08,4,7,12,2,3,31
2021-04-29,4,7,10,2,6,32
2020-03-08,3,7,9,2,7,33
2021-02-16,2,7,9,3,6,34
2021-02-18,2,7,9,2,4,35
2021-03-30,3,7,9,3,7,36
2021-04-07,4,7,9,2,7,37
2020-05-08,5,7,8,3,5,38
2021-02-07,2,7,8,3,7,39
2021-02-19,2,7,8,3,7,40
2021-03-06,3,7,8,1,4,41
2021-05-08,5,7,8,3,5,42
2021-02-14,2,7,7,3,6,43
2021-03-26,3,7,7,2,6,44
2021-04-10,4,7,7,3,6,45
2021-04-19,4,6,10,2,3,46
2020-03-26,3,6,8,3,5,47
2020-04-04,4,6,7,2,5,48
2021-01-25,1,6,7,2,4,49
2021-02-10,2,6,7,2,6,50
2021-02-27,2,6,7,2,4,51
2021-03-10,3,6,7,1,4,52
2021-03-19,3,6,7,2,4,53
2021-04-20,4,6,7,2,5,54
2020-04-10,4,6,6,3,4,55
2020-10-14,10,6,6,2,2,56
2020-10-19,10,6,6,2,2,57
2021-01-30,1,6,6,1,4,58
2021-02-25,2,6,6,3,5,59
2021-04-14,4,6,6,2,6,60
2021-04-21,4,6,6,2,5,61
2021-05-09,5,5,9,2,4,62
2021-04-17,4,5,8,3,4,63
2020-03-19,3,5,7,1,2,64
2020-01-31,1,5,6,2,5,65
2020-12-15,12,5,6,1,5,66
2021-02-04,2,5,6,1,4,67
2021-02-22,2,5,6,3,4,68
2021-02-26,2,5,6,2,5,69
2021-05-06,5,5,6,2,5,70
2020-02-08,2,5,5,2,5,71
2020-02-11,2,5,5,2,4,72
2020-03-21,3,5,5,3,3,73
2020-04-11,4,5,5,2,5,74
2020-06-23,6,5,5,2,3,75
2020-12-12,12,5,5,2,3,76
2021-01-04,1,5,5,3,4,77
2021-01-27,1,5,5,3,5,78
2021-01-28,1,5,5,2,5,79
2021-02-21,2,5,5,2,4,80
2021-02-23,2,5,5,2,5,81
2021-03-27,3,5,5,3,5,82
2021-04-01,4,5,5,2,5,83
2021-04-06,4,5,5,2,4,84
2021-03-23,3,4,6,1,2,85
2020-01-04,1,4,5,2,3,86
2020-04-13,4,4,5,1,3,87
2020-04-14,4,4,5,2,2,88
2020-04-15,4,4,5,3,4,89
2020-04-30,4,4,5,1,4,90
2020-10-26,10,4,5,1,3,91
2021-03-12,3,4,5,1,4,92
2020-01-03,1,4,4,3,4,93
2020-02-02,2,4,4,2,4,94
2020-03-05,3,4,4,2,4,95
2020-03-28,3,4,4,2,4,96
2020-04-16,4,4,4,2,4,97
2020-04-22,4,4,4,2,3,98
2020-04-24,4,4,4,1,4,99
2020-05-03,5,4,4,2,3,100
2020-11-01,11,4,4,3,4,101
2020-12-03,12,4,4,2,4,102
2021-01-20,1,4,4,2,2,103
2021-03-08,3,4,4,2,4,104
2021-03-24,3,4,4,2,4,105
2021-04-03,4,4,4,3,4,106
2021-04-15,4,4,4,3,3,107
2021-04-18,4,4,4,3,4,108
2021-05-11,5,4,4,1,4,109
2021-05-15,5,4,4,2,4,110
2020-04-06,4,3,5,1,2,111
2020-03-15,3,3,4,2,3,112
2020-03-24,3,3,4,3,3,113
2020-03-31,3,3,4,1,2,114
2020-04-26,4,3,4,1,3,115
2020-10-29,10,3,4,1,2,116
2021-04-09,4,3,4,2,2,117
2020-01-06,1,3,3,1,2,118
2020-01-23,1,3,3,1,2,119
2020-01-26,1,3,3,2,2,120
2020-02-24,2,3,3,2,3,121
2020-04-02,4,3,3,1,3,122
2020-05-06,5,3,3,1,3,123
2020-05-07,5,3,3,1,3,124
2020-06-08,6,3,3,2,2,125
2020-10-24,10,3,3,2,2,126
2020-10-25,10,3,3,1,3,127
2020-10-30,10,3,3,3,3,128
2020-11-05,11,3,3,2,3,129
2020-11-08,11,3,3,2,3,130
2020-11-16,11,3,3,1,1,131
