hour,raw_event_n,fire_date_n,unique_exposure_n,exposure_fire_date_n,mean_events_per_exposure,max_events_per_exposure,cell_hour_n,unique_exposure_rate_per_100k_cell_hour,rate_ci95_low,rate_ci95_high,raw_event_share_pct,unique_exposure_share_pct,cell_hour_share_pct
0,3,3,3,3,1.0,1,67252,4.460833878546363,0.9199311885082992,13.036449577324575,0.19255455712451863,0.26086956521739135,4.166666666666666
1,3,3,3,3,1.0,1,67252,4.460833878546363,0.9199311885082992,13.036449577324575,0.19255455712451863,0.26086956521739135,4.166666666666666
2,2,2,2,2,1.0,1,67252,2.973889252364242,0.36015178514239726,10.742710503366382,0.12836970474967907,0.17391304347826086,4.166666666666666
3,4,4,4,4,1.0,1,67252,5.947778504728484,1.6205694605756333,15.22867524445919,0.25673940949935814,0.34782608695652173,4.166666666666666
4,2,2,2,2,1.0,1,67252,2.973889252364242,0.36015178514239726,10.742710503366382,0.12836970474967907,0.17391304347826086,4.166666666666666
5,6,6,6,6,1.0,1,67252,8.921667757092726,3.2740948276495137,19.418714718549168,0.38510911424903727,0.5217391304347827,4.166666666666666
6,12,11,12,11,1.0,1,67252,17.84333551418545,9.219911837153122,31.168716243646227,0.7702182284980745,1.0434782608695654,4.166666666666666
7,14,14,14,14,1.0,1,67252,20.817224766549693,11.380970493517802,34.92776589816746,0.8985879332477535,1.2173913043478262,4.166666666666666
8,40,35,40,35,1.0,1,67252,59.47778504728484,42.49180164424696,80.99186189850721,2.5673940949935816,3.4782608695652173,4.166666666666666
9,133,79,117,79,1.1367521367521367,5,67252,173.97252126330815,143.88001507639873,208.5015006284668,8.536585365853659,10.173913043478262,4.166666666666666
10,255,64,130,64,1.9615384615384615,27,67252,193.30280140367572,161.50398307652415,229.53137971551325,16.367137355584084,11.304347826086957,4.166666666666666
11,220,77,127,77,1.7322834645669292,27,67252,188.84196752512935,157.42903980688197,224.6861135001236,14.120667522464696,11.043478260869566,4.166666666666666
12,86,61,71,61,1.2112676056338028,4,67252,105.57306845893059,82.45344235784664,133.16606064816008,5.5198973042362,6.173913043478261,4.166666666666666
13,189,73,100,73,1.89,31,67252,148.6944626182121,120.98374955528928,180.85230742940936,12.130937098844672,8.695652173913043,4.166666666666666
14,147,88,124,88,1.185483870967742,6,67252,184.38113364658298,153.35868749043536,219.83630834680469,9.435173299101413,10.782608695652174,4.166666666666666
15,99,65,84,65,1.1785714285714286,3,67252,124.90334859929816,99.62780250369656,154.63884459925015,6.354300385109115,7.304347826086957,4.166666666666666
16,91,66,80,66,1.1375,2,67252,118.95557009456968,94.32436892730381,148.05050402581108,5.840821566110398,6.956521739130435,4.166666666666666
17,84,59,74,59,1.135135135135135,3,67252,110.03390233747695,86.40027990742428,138.13748810726318,5.391527599486521,6.434782608695652,4.166666666666666
18,78,57,72,57,1.0833333333333333,3,67252,107.06001308511271,83.76786666595542,134.82436811493776,5.006418485237484,6.260869565217392,4.166666666666666
19,34,27,33,27,1.0303030303030303,2,67252,49.06917266400999,33.776960644634855,68.91136214412849,2.1822849807445444,2.869565217391304,4.166666666666666
20,17,15,15,15,1.1333333333333333,2,67252,22.304169392731815,12.483474294866049,36.78733550152538,1.0911424903722722,1.3043478260869565,4.166666666666666
21,22,20,21,20,1.0476190476190477,2,67252,31.22583714982454,19.32928535073483,47.73200906284334,1.4120667522464698,1.8260869565217392,4.166666666666666
22,9,8,8,8,1.125,2,67252,11.895557009456969,5.135657194951082,23.438989502458384,0.5776636713735559,0.6956521739130435,4.166666666666666
23,8,8,8,8,1.0,1,67252,11.895557009456969,5.135657194951082,23.438989502458384,0.5134788189987163,0.6956521739130435,4.166666666666666
