month,raw_event_n,fire_date_n,unique_exposure_n,exposure_fire_date_n,mean_events_per_exposure,max_events_per_exposure,cell_hour_n,unique_exposure_rate_per_100k_cell_hour,rate_ci95_low,rate_ci95_high,raw_event_share_pct,unique_exposure_share_pct,cell_hour_share_pct,top_date,top_date_unique_exposure_n,top_date_raw_event_n,top3_unique_exposure_n,top3_raw_event_n,top_date_share_of_month_exposures_pct,top3_dates_share_of_month_exposures_pct
1,117,39,107,39,1.0934579439252337,3,136896,78.16152407667134,64.05525522808247,94.45020108761715,7.509627727856226,9.304347826086957,8.481532147742818,2021-01-29,17,21,29,34,15.887850467289718,27.102803738317753
2,698,42,390,42,1.7897435897435898,31,125856,309.8779557589626,279.8829566761917,342.2117860866636,44.801026957637994,33.91304347826087,7.7975376196990425,2021-02-01,60,169,146,430,15.384615384615385,37.43589743589744
3,188,45,162,45,1.1604938271604939,3,136896,118.33800841514726,100.81664669177566,138.0291803824637,12.066752246469834,14.08695652173913,8.481532147742818,2021-03-11,12,13,30,36,7.4074074074074066,18.51851851851852
4,242,47,208,47,1.1634615384615385,4,132480,157.0048309178744,136.39170765506998,179.8534222122398,15.532734274711169,18.086956521739133,8.207934336525307,2021-04-24,10,11,26,29,4.807692307692308,12.5
5,104,29,89,29,1.1685393258426966,5,136896,65.01285647498831,52.21066221244649,80.0039142076879,6.675224646983311,7.739130434782608,8.481532147742818,2020-05-01,9,10,24,28,10.112359550561797,26.96629213483146
6,24,13,23,13,1.0434782608695652,2,132480,17.36111111111111,11.005455191005947,26.05019089283894,1.540436456996149,2.0,8.207934336525307,2020-06-23,5,5,10,11,21.73913043478261,43.47826086956522
7,4,4,4,4,1.0,1,136896,2.92192613370734,0.7961265293553681,7.481291400335799,0.25673940949935814,0.34782608695652173,8.481532147742818,2020-07-03,1,1,3,3,25.0,75.0
8,1,1,1,1,1.0,1,136896,0.730481533426835,0.018494191199370236,4.0699826079205375,0.06418485237483953,0.08695652173913043,8.481532147742818,2020-08-03,1,1,1,1,100.0,100.0
9,3,3,3,3,1.0,1,132480,2.2644927536231885,0.466992846388588,6.6178087784890725,0.19255455712451863,0.26086956521739135,8.207934336525307,2020-09-03,1,1,3,3,33.33333333333333,100.0
10,86,21,79,21,1.0886075949367089,2,136896,57.70804114071996,45.687999619853656,71.92143756185405,5.5198973042362,6.869565217391305,8.481532147742818,2020-10-21,11,11,29,33,13.924050632911392,36.708860759493675
11,35,20,35,20,1.0,1,132480,26.41908212560386,18.401858697554168,36.74254783294313,2.246469833119384,3.0434782608695654,8.207934336525307,2020-11-01,4,4,10,10,11.428571428571429,28.57142857142857
12,56,18,49,18,1.1428571428571428,2,136896,35.79359513791491,26.4802987295678,47.32103099646323,3.594351732991014,4.260869565217392,8.481532147742818,2020-12-10,14,16,24,27,28.57142857142857,48.97959183673469
