월,시간,기후지형유형,번지유형,건수,비율_pct
1,0,영서 내륙형,임야번지(산),1,0.029403116730373418
1,6,영동 해안형,일반번지,1,0.029403116730373418
1,6,영서 내륙형,임야번지(산),1,0.029403116730373418
1,6,고지·산간형,일반번지,1,0.029403116730373418
1,7,영동 해안형,일반번지,2,0.058806233460746836
1,8,영서 내륙형,일반번지,1,0.029403116730373418
1,9,영동 해안형,일반번지,5,0.14701558365186712
1,9,고지·산간형,일반번지,1,0.029403116730373418
1,10,영동 해안형,일반번지,9,0.26462805057336075
1,10,영서 내륙형,일반번지,9,0.26462805057336075
1,10,고지·산간형,일반번지,13,0.38224051749485444
1,11,영동 해안형,임야번지(산),1,0.029403116730373418
1,11,영동 해안형,일반번지,3,0.08820935019112026
1,11,영서 내륙형,임야번지(산),3,0.08820935019112026
1,11,영서 내륙형,일반번지,2,0.058806233460746836
1,11,고지·산간형,일반번지,8,0.23522493384298734
1,12,영동 해안형,임야번지(산),1,0.029403116730373418
1,12,영동 해안형,일반번지,10,0.29403116730373424
1,12,영서 내륙형,임야번지(산),6,0.17641870038224053
1,12,영서 내륙형,일반번지,5,0.14701558365186712
1,12,고지·산간형,일반번지,1,0.029403116730373418
1,13,영동 해안형,일반번지,20,0.5880623346074685
1,13,영서 내륙형,임야번지(산),1,0.029403116730373418
1,13,영서 내륙형,일반번지,4,0.11761246692149367
1,13,고지·산간형,일반번지,1,0.029403116730373418
1,14,영동 해안형,임야번지(산),1,0.029403116730373418
1,14,영동 해안형,일반번지,10,0.29403116730373424
1,14,영서 내륙형,임야번지(산),3,0.08820935019112026
1,14,영서 내륙형,일반번지,10,0.29403116730373424
1,14,고지·산간형,일반번지,7,0.20582181711261394
1,15,영동 해안형,임야번지(산),5,0.14701558365186712
1,15,영동 해안형,일반번지,14,0.4116436342252279
1,15,영서 내륙형,임야번지(산),6,0.17641870038224053
1,15,영서 내륙형,일반번지,1,0.029403116730373418
1,16,영동 해안형,임야번지(산),1,0.029403116730373418
1,16,영동 해안형,일반번지,3,0.08820935019112026
1,16,영서 내륙형,임야번지(산),1,0.029403116730373418
1,16,영서 내륙형,일반번지,5,0.14701558365186712
1,17,영동 해안형,일반번지,9,0.26462805057336075
1,17,영서 내륙형,임야번지(산),3,0.08820935019112026
1,17,영서 내륙형,일반번지,3,0.08820935019112026
1,17,고지·산간형,일반번지,3,0.08820935019112026
1,18,영동 해안형,일반번지,1,0.029403116730373418
1,19,영동 해안형,일반번지,4,0.11761246692149367
1,21,영동 해안형,임야번지(산),1,0.029403116730373418
1,21,영동 해안형,일반번지,2,0.058806233460746836
1,22,영서 내륙형,일반번지,1,0.029403116730373418
1,23,영동 해안형,일반번지,1,0.029403116730373418
1,23,고지·산간형,일반번지,1,0.029403116730373418
2,0,고지·산간형,일반번지,1,0.029403116730373418
2,3,영동 해안형,일반번지,1,0.029403116730373418
2,4,고지·산간형,임야번지(산),1,0.029403116730373418
2,4,고지·산간형,일반번지,3,0.08820935019112026
2,6,영서 내륙형,일반번지,3,0.08820935019112026
2,6,고지·산간형,일반번지,3,0.08820935019112026
2,7,영동 해안형,일반번지,2,0.058806233460746836
2,7,영서 내륙형,일반번지,2,0.058806233460746836
2,8,영동 해안형,일반번지,7,0.20582181711261394
2,8,영서 내륙형,임야번지(산),1,0.029403116730373418
2,8,영서 내륙형,일반번지,7,0.20582181711261394
2,8,고지·산간형,임야번지(산),1,0.029403116730373418
2,8,고지·산간형,일반번지,2,0.058806233460746836
2,9,영동 해안형,임야번지(산),3,0.08820935019112026
2,9,영동 해안형,일반번지,10,0.29403116730373424
2,9,영서 내륙형,임야번지(산),5,0.14701558365186712
2,9,영서 내륙형,일반번지,60,1.7641870038224052
2,9,고지·산간형,임야번지(산),14,0.4116436342252279
2,9,고지·산간형,일반번지,56,1.6465745369009115
2,10,영동 해안형,임야번지(산),68,1.9994119376653925
2,10,영동 해안형,일반번지,158,4.645692443399
2,10,영서 내륙형,임야번지(산),17,0.4998529844163481
2,10,영서 내륙형,일반번지,311,9.144369303146133
2,10,고지·산간형,임야번지(산),5,0.14701558365186712
2,10,고지·산간형,일반번지,14,0.4116436342252279
2,11,영동 해안형,임야번지(산),49,1.4407527197882974
2,11,영동 해안형,일반번지,64,1.8817994707438988
2,11,영서 내륙형,임야번지(산),10,0.29403116730373424
2,11,영서 내륙형,일반번지,59,1.7347838870920316
2,11,고지·산간형,임야번지(산),13,0.38224051749485444
2,11,고지·산간형,일반번지,30,0.8820935019112026
2,12,영동 해안형,임야번지(산),9,0.26462805057336075
2,12,영동 해안형,일반번지,16,0.4704498676859747
2,12,영서 내륙형,임야번지(산),2,0.058806233460746836
2,12,영서 내륙형,일반번지,5,0.14701558365186712
2,12,고지·산간형,임야번지(산),1,0.029403116730373418
2,12,고지·산간형,일반번지,1,0.029403116730373418
2,13,영동 해안형,임야번지(산),38,1.1173184357541899
2,13,영동 해안형,일반번지,171,5.027932960893855
2,13,영서 내륙형,임야번지(산),7,0.20582181711261394
2,13,영서 내륙형,일반번지,18,0.5292561011467215
2,13,고지·산간형,임야번지(산),5,0.14701558365186712
2,13,고지·산간형,일반번지,14,0.4116436342252279
2,14,영동 해안형,임야번지(산),7,0.20582181711261394
2,14,영동 해안형,일반번지,29,0.8526903851808291
2,14,영서 내륙형,임야번지(산),7,0.20582181711261394
2,14,영서 내륙형,일반번지,17,0.4998529844163481
2,14,고지·산간형,임야번지(산),4,0.11761246692149367
2,14,고지·산간형,일반번지,8,0.23522493384298734
2,15,영동 해안형,임야번지(산),5,0.14701558365186712
2,15,영동 해안형,일반번지,4,0.11761246692149367
2,15,영서 내륙형,임야번지(산),6,0.17641870038224053
2,15,영서 내륙형,일반번지,6,0.17641870038224053
2,15,고지·산간형,임야번지(산),2,0.058806233460746836
2,15,고지·산간형,일반번지,3,0.08820935019112026
2,16,영동 해안형,임야번지(산),4,0.11761246692149367
2,16,영동 해안형,일반번지,4,0.11761246692149367
2,16,영서 내륙형,임야번지(산),5,0.14701558365186712
2,16,영서 내륙형,일반번지,16,0.4704498676859747
2,16,고지·산간형,임야번지(산),2,0.058806233460746836
2,16,고지·산간형,일반번지,14,0.4116436342252279
