hour,full_cell_hour_n,candidate_n,excluded_n,candidate_retention_pct,full_share_pct,candidate_share_pct,distribution
0,67252,64036,3216,95.21798608219831,4.166666666666666,4.168901851514283,hour
1,67252,64035,3217,95.21649913757211,4.166666666666666,4.168836749042994,hour
2,67252,64035,3217,95.21649913757211,4.166666666666666,4.168836749042994,hour
3,67252,64034,3218,95.21501219294593,4.166666666666666,4.168771646571704,hour
4,67252,64036,3216,95.21798608219831,4.166666666666666,4.168901851514283,hour
5,67252,64032,3220,95.21203830369357,4.166666666666666,4.168641441629124,hour
6,67252,64032,3220,95.21203830369357,4.166666666666666,4.168641441629124,hour
7,67252,64029,3223,95.20757746981502,4.166666666666666,4.168446134215255,hour
8,67252,64012,3240,95.18229941116992,4.166666666666666,4.167339392203328,hour
9,67252,63962,3290,95.10795217986082,4.166666666666666,4.164084268638837,hour
10,67252,63964,3288,95.11092606911319,4.166666666666666,4.164214473581417,hour
11,67252,63952,3300,95.093082733599,4.166666666666666,4.163433243925939,hour
12,67252,63980,3272,95.1347171831321,4.166666666666666,4.165256113122054,hour
13,67252,63960,3292,95.10497829060846,4.166666666666666,4.163954063696258,hour
14,67252,63947,3305,95.08564801046809,4.166666666666666,4.16310773156949,hour
15,67252,63967,3285,95.11538690299173,4.166666666666666,4.164409780995286,hour
16,67252,63971,3281,95.12133468149646,4.166666666666666,4.164670190880446,hour
17,67252,63969,3283,95.11836079224409,4.166666666666666,4.164539985937867,hour
18,67252,63978,3274,95.13174329387974,4.166666666666666,4.1651259081794745,hour
19,67252,64005,3247,95.17189079878665,4.166666666666666,4.1668836749043,hour
20,67252,64021,3231,95.19568191280557,4.166666666666666,4.167925314444936,hour
21,67252,64021,3231,95.19568191280557,4.166666666666666,4.167925314444936,hour
22,67252,64030,3222,95.2090644144412,4.166666666666666,4.168511236686545,hour
23,67252,64032,3220,95.21203830369357,4.166666666666666,4.168641441629124,hour
