month,full_cell_hour_n,candidate_n,excluded_n,candidate_retention_pct,full_share_pct,candidate_share_pct,distribution
1,136896,128222,8674,93.66380317905563,8.481532147742818,8.347569073722038,month
2,125856,105364,20492,83.71789982201882,7.7975376196990425,6.859456784979558,month
3,136896,124793,12103,91.15898200093501,8.481532147742818,8.124332699669278,month
4,132480,116731,15749,88.11216787439614,8.207934336525307,7.59947657613083,month
5,136896,130097,6799,95.03345605423095,8.481532147742818,8.469636207390433,month
6,132480,130578,1902,98.5643115942029,8.207934336525307,8.500950496080831,month
7,136896,136508,388,99.71657316503038,8.481532147742818,8.887008150829406,month
8,136896,136799,97,99.92914329125759,8.481532147742818,8.90595296997474,month
9,132480,132189,291,99.78034420289855,8.207934336525307,8.605830577328716,month
10,136896,132682,4214,96.92175081813932,8.481532147742818,8.637926095674592,month
11,132480,129452,3028,97.71437198067633,8.207934336525307,8.427645113408506,month
12,136896,132625,4271,96.880113370734,8.481532147742818,8.634215254811073,month
