fire_exposure_id,기상셀ID,기준시각,raw_event_n,fire_ids,weather_rows_in_window_before_exclusion,candidate_rows_in_window_after_exclusion
FE_00001,YD_0001,2020-01-01 12:00:00,1,F_007615,61,0
FE_00002,YD_0001,2020-01-13 11:00:00,1,F_010705,97,0
FE_00003,YD_0001,2020-02-08 12:00:00,1,F_007649,97,0
FE_00004,YD_0001,2020-03-24 11:00:00,1,F_010804,97,0
FE_00005,YD_0001,2020-03-26 18:00:00,1,F_010816,97,0
FE_00006,YD_0001,2020-04-04 18:00:00,1,F_010840,97,0
FE_00007,YD_0001,2020-04-11 13:00:00,1,F_010873,97,0
FE_00008,YD_0001,2020-06-04 17:00:00,1,F_010948,97,0
FE_00009,YD_0001,2020-06-17 20:00:00,1,F_010968,97,0
FE_00010,YD_0001,2020-11-19 15:00:00,1,F_011063,97,0
FE_00011,YD_0001,2020-11-30 11:00:00,1,F_011066,97,0
FE_00012,YD_0001,2020-12-10 10:00:00,1,F_008641,97,0
FE_00013,YD_0001,2020-12-15 09:00:00,1,F_008698,97,0
FE_00014,YD_0001,2020-12-18 11:00:00,2,F_008715;F_011083,97,0
FE_00015,YD_0001,2021-01-15 12:00:00,1,F_008744,97,0
FE_00016,YD_0001,2021-01-28 13:00:00,1,F_008799,97,0
FE_00017,YD_0001,2021-01-29 14:00:00,1,F_008841,97,0
FE_00018,YD_0001,2021-01-29 19:00:00,1,F_008847,97,0
FE_00019,YD_0001,2021-02-01 11:00:00,1,F_008905,97,0
FE_00020,YD_0001,2021-02-01 13:00:00,1,F_009141,97,0
FE_00021,YD_0001,2021-02-01 14:00:00,1,F_009245,97,0
FE_00022,YD_0001,2021-02-02 08:00:00,1,F_009284,97,0
FE_00023,YD_0001,2021-02-02 16:00:00,1,F_009471,97,0
FE_00024,YD_0001,2021-02-02 17:00:00,1,F_009472,97,0
FE_00025,YD_0001,2021-02-03 09:00:00,1,F_009520,97,0
FE_00026,YD_0001,2021-02-05 14:00:00,1,F_009985,97,0
FE_00027,YD_0001,2021-02-07 10:00:00,2,F_010054;F_010055,97,0
FE_00028,YD_0001,2021-02-11 18:00:00,1,F_010095,97,0
FE_00029,YD_0001,2021-02-13 13:00:00,1,F_010126,97,0
FE_00030,YD_0001,2021-02-13 14:00:00,1,F_010129,97,0
FE_00031,YD_0001,2021-02-15 13:00:00,1,F_010154,97,0
FE_00032,YD_0001,2021-02-15 14:00:00,1,F_010147,97,0
FE_00033,YD_0001,2021-02-18 15:00:00,2,F_010192;F_010196,97,0
FE_00034,YD_0001,2021-02-18 16:00:00,1,F_010198,97,0
FE_00035,YD_0001,2021-02-18 17:00:00,1,F_010193,97,0
FE_00036,YD_0001,2021-02-22 17:00:00,1,F_010248,97,0
FE_00037,YD_0001,2021-02-22 18:00:00,1,F_010242,97,0
FE_00038,YD_0001,2021-02-24 18:00:00,1,F_010267,97,0
FE_00039,YD_0001,2021-02-24 20:00:00,1,F_010263,97,0
FE_00040,YD_0001,2021-03-30 16:00:00,2,F_010399;F_010401,97,0
FE_00041,YD_0001,2021-04-22 11:00:00,1,F_010547,97,0
FE_00042,YD_0001,2021-04-23 13:00:00,1,F_010557,97,0
FE_00043,YD_0001,2021-05-06 14:00:00,1,F_010622,97,0
FE_00044,YD_0002,2020-01-25 09:00:00,1,F_010716,97,0
FE_00045,YD_0002,2020-03-05 16:00:00,1,F_007667,97,0
FE_00046,YD_0002,2020-05-01 20:00:00,2,F_007788;F_010915,97,0
FE_00047,YD_0002,2020-05-01 21:00:00,1,F_010922,97,0
FE_00048,YD_0002,2021-01-06 13:00:00,1,F_011099,97,0
FE_00049,YD_0002,2021-01-29 15:00:00,1,F_008839,97,0
FE_00050,YD_0002,2021-01-30 09:00:00,1,F_008857,97,0
FE_00051,YD_0002,2021-02-06 15:00:00,1,F_010045,97,0
FE_00052,YD_0002,2021-02-27 09:00:00,1,F_010286,97,0
FE_00053,YD_0002,2021-02-27 14:00:00,1,F_010284,97,0
FE_00054,YD_0002,2021-03-13 16:00:00,1,F_010340,97,0
FE_00055,YD_0002,2021-03-14 14:00:00,1,F_010346,97,0
FE_00056,YD_0002,2021-03-27 09:00:00,1,F_010385,97,0
FE_00057,YD_0002,2021-04-24 09:00:00,2,F_010565;F_010566,97,0
FE_00058,YD_0002,2021-05-08 15:00:00,1,F_010636,97,0
FE_00059,YD_0003,2020-01-31 14:00:00,1,F_007636,97,0
FE_00060,YD_0003,2020-02-01 19:00:00,1,F_007641,97,0
FE_00061,YD_0003,2020-02-07 17:00:00,1,F_007647,97,0
FE_00062,YD_0003,2020-03-26 05:00:00,1,F_010819,97,0
FE_00063,YD_0003,2020-06-23 20:00:00,1,F_007817,97,0
FE_00064,YD_0003,2020-10-14 09:00:00,1,F_007856,97,0
