월,시간대,빈도
1,0,5703
1,1,5704
1,2,5704
1,3,5704
1,4,5704
1,5,5704
1,6,5701
1,7,5702
1,8,5703
1,9,5699
1,10,5695
1,11,5695
1,12,5690
1,13,5694
1,14,5687
1,15,5694
1,16,5696
1,17,5696
1,18,5703
1,19,5701
1,20,5704
1,21,5701
1,22,5703
1,23,5702
2,0,5243
2,1,5244
2,2,5244
2,3,5243
2,4,5243
2,5,5244
2,6,5240
2,7,5241
2,8,5226
2,9,5194
2,10,5176
2,11,5186
2,12,5226
2,13,5214
2,14,5209
2,15,5230
2,16,5217
2,17,5220
2,18,5224
2,19,5236
2,20,5241
2,21,5241
2,22,5242
2,23,5242
3,0,5704
3,1,5702
3,2,5704
3,3,5704
3,4,5704
3,5,5702
3,6,5703
3,7,5701
3,8,5699
3,9,5689
3,10,5696
3,11,5691
3,12,5692
3,13,5689
3,14,5687
3,15,5690
3,16,5691
3,17,5697
3,18,5688
3,19,5696
3,20,5701
3,21,5699
3,22,5702
3,23,5703
4,0,5520
4,1,5520
4,2,5520
4,3,5519
4,4,5520
4,5,5516
4,6,5520
4,7,5518
4,8,5511
4,9,5497
4,10,5512
4,11,5501
4,12,5504
4,13,5497
4,14,5497
4,15,5505
4,16,5507
4,17,5501
4,18,5500
4,19,5514
4,20,5517
4,21,5516
4,22,5520
4,23,5520
5,0,5703
5,1,5703
5,2,5703
5,3,5704
5,4,5703
5,5,5704
5,6,5702
5,7,5701
5,8,5701
5,9,5696
5,10,5696
5,11,5698
5,12,5701
5,13,5694
5,14,5696
5,15,5692
5,16,5702
5,17,5698
5,18,5699
5,19,5700
5,20,5702
5,21,5702
5,22,5704
5,23,5703
6,0,5520
6,1,5520
6,2,5520
6,3,5520
6,4,5520
6,5,5520
6,6,5520
6,7,5520
6,8,5520
6,9,5518
6,10,5519
6,11,5518
6,12,5518
6,13,5520
6,14,5518
6,15,5517
6,16,5517
6,17,5517
6,18,5519
6,19,5519
6,20,5518
6,21,5520
6,22,5520
6,23,5519
7,0,5704
7,1,5704
7,2,5704
7,3,5704
7,4,5704
7,5,5704
7,6,5704
7,7,5704
7,8,5704
7,9,5704
7,10,5704
7,11,5703
7,12,5704
7,13,5704
7,14,5704
7,15,5704
7,16,5703
7,17,5704
7,18,5704
7,19,5703
7,20,5704
7,21,5703
7,22,5704
7,23,5704
8,0,5704
8,1,5704
8,2,5704
8,3,5704
8,4,5704
8,5,5704
8,6,5704
8,7,5704
8,8,5704
8,9,5704
8,10,5704
8,11,5704
8,12,5704
8,13,5704
8,14,5703
8,15,5704
8,16,5704
8,17,5704
8,18,5704
8,19,5704
8,20,5704
8,21,5704
8,22,5704
8,23,5704
9,0,5520
9,1,5520
9,2,5520
9,3,5520
9,4,5520
9,5,5520
9,6,5520
9,7,5520
9,8,5520
9,9,5519
9,10,5520
9,11,5520
9,12,5520
9,13,5520
9,14,5520
9,15,5519
9,16,5520
9,17,5520
9,18,5520
9,19,5519
9,20,5520
9,21,5520
9,22,5520
9,23,5520
10,0,5704
10,1,5704
10,2,5704
10,3,5704
10,4,5704
10,5,5704
10,6,5702
10,7,5703
10,8,5702
10,9,5697
10,10,5695
10,11,5696
10,12,5704
10,13,5698
10,14,5687
10,15,5692
10,16,5697
10,17,5703
10,18,5700
10,19,5704
10,20,5703
10,21,5704
10,22,5703
10,23,5703
11,0,5520
11,1,5520
11,2,5519
11,3,5519
11,4,5520
11,5,5520
11,6,5520
11,7,5520
11,8,5518
11,9,5518
11,10,5518
11,11,5515
11,12,5517
11,13,5517
11,14,5518
11,15,5518
11,16,5517
11,17,5515
11,18,5517
11,19,5520
11,20,5520
11,21,5519
11,22,5520
11,23,5520
12,0,5704
12,1,5704
12,2,5704
12,3,5703
12,4,5704
12,5,5704
12,6,5704
12,7,5704
12,8,5704
12,9,5700
12,10,5687
12,11,5698
12,12,5701
12,13,5701
12,14,5702
12,15,5703
12,16,5701
12,17,5703
12,18,5702
12,19,5703
12,20,5703
12,21,5702
12,22,5702
12,23,5704
