feature,source_column,window_hours,aggregation,min_periods,expected_first_row_missing_per_cell,actual_missing_n,recomputed_mismatch_n,max_abs_diff
직전24h_평균풍속,풍속_m_s,24,mean,1,True,92,0,1.7763568394002505e-15
직전24h_최대풍속,풍속_m_s,24,max,1,True,92,0,0.0
직전24h_평균기온_C,기온_C,24,mean,1,True,92,0,3.552713678800501e-15
직전24h_평균습도,습도_pct,24,mean,1,True,92,0,1.4210854715202004e-14
직전24h_최소습도,습도_pct,24,min,1,True,92,0,0.0
직전24h_강수량합,강수량_mm,24,sum,1,True,92,0,5.684341886080802e-14
직전48h_평균풍속,풍속_m_s,48,mean,1,True,92,0,1.7763568394002505e-15
직전48h_최대풍속,풍속_m_s,48,max,1,True,92,0,0.0
직전48h_평균습도,습도_pct,48,mean,1,True,92,0,1.4210854715202004e-14
직전48h_최소습도,습도_pct,48,min,1,True,92,0,0.0
직전48h_강수량합,강수량_mm,48,sum,1,True,92,0,5.684341886080802e-14
