check_name,value,pass
fire_exposure_n,1150,True
candidate_pool_before_canadian_filter_n,1536040,True
candidate_removed_by_canadian_filter_n,1091,True
candidate_pool_after_canadian_filter_n,1534949,True
matched_control_row_n,5632,True
matched_exposure_n,1150,True
full_5_matched_exposure_n,1110,True
full_5_matched_pct,96.52173913043478,True
less_than_5_exposure_n,40,True
key_violation_n,0,True
direct_fire_overlap_n,0,True
within_48h_violation_n,0,True
control_duplicate_within_event_n,0,True
unique_control_n,5255,True
reused_control_n,278,True
max_control_reuse_n,7,True
matched_controls_sha256,780111dd9caae06f003e79b14ef54a0f1896d5803bce975551a047b1b8a2302c,True
random_seed,42,True
