fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00001,YD_0001,2020-01-01 12:00:00,2020,1,12,2020-01-01,영동 해안형,1,F_007615,YD_0001|2020|1|12,24,24,5,4,7.0,27,96.0,168.0,648.0,True,full_5
FE_00002,YD_0001,2020-01-13 11:00:00,2020,1,11,2020-01-13,영동 해안형,1,F_010705,YD_0001|2020|1|11,23,23,5,7,8.0,15,168.0,192.0,360.0,True,full_5
FE_00003,YD_0001,2020-02-08 12:00:00,2020,2,12,2020-02-08,영동 해안형,1,F_007649,YD_0001|2020|2|12,24,24,5,3,8.0,13,72.0,192.0,312.0,True,full_5
FE_00004,YD_0001,2020-03-24 11:00:00,2020,3,11,2020-03-24,영동 해안형,1,F_010804,YD_0001|2020|3|11,24,24,5,4,9.0,22,96.0,216.0,528.0,True,full_5
FE_00005,YD_0001,2020-03-26 18:00:00,2020,3,18,2020-03-26,영동 해안형,1,F_010816,YD_0001|2020|3|18,24,24,5,6,8.0,10,144.0,192.0,240.0,True,full_5
FE_00006,YD_0001,2020-04-04 18:00:00,2020,4,18,2020-04-04,영동 해안형,1,F_010840,YD_0001|2020|4|18,21,21,5,10,16.0,25,240.0,384.0,600.0,True,full_5
FE_00007,YD_0001,2020-04-11 13:00:00,2020,4,13,2020-04-11,영동 해안형,1,F_010873,YD_0001|2020|4|13,21,21,5,3,9.0,16,72.0,216.0,384.0,True,full_5
FE_00008,YD_0001,2020-06-04 17:00:00,2020,6,17,2020-06-04,영동 해안형,1,F_010948,YD_0001|2020|6|17,21,21,5,5,17.0,23,120.0,408.0,552.0,True,full_5
FE_00009,YD_0001,2020-06-17 20:00:00,2020,6,20,2020-06-17,영동 해안형,1,F_010968,YD_0001|2020|6|20,21,21,5,5,10.0,13,120.0,240.0,312.0,True,full_5
FE_00010,YD_0001,2020-11-19 15:00:00,2020,11,15,2020-11-19,영동 해안형,1,F_011063,YD_0001|2020|11|15,22,22,5,5,11.0,14,120.0,264.0,336.0,True,full_5
