stratum_type,stratum,exposure_n,full_5_n,full_5_pct,mean_matched_control_n,median_canadian_pool_n,min_canadian_pool_n,median_abs_date_diff_days,max_abs_date_diff_days
기후지형유형,고지·산간형,181,162,89.50276243093923,4.6187845303867405,22.0,1,11.0,29
기후지형유형,영동 해안형,354,333,94.0677966101695,4.861581920903955,20.0,2,11.0,30
기후지형유형,영서 내륙형,615,615,100.0,5.0,21.0,6,11.0,30
연도,2020,415,415,100.0,5.0,24.0,7,11.0,30
연도,2021,735,695,94.5578231292517,4.839455782312926,19.0,1,11.0,29
월,1,107,107,100.0,5.0,24.0,13,13.0,29
월,2,390,350,89.74358974358975,4.697435897435898,14.0,1,12.0,28
월,3,162,162,100.0,5.0,24.0,17,10.0,30
월,4,208,208,100.0,5.0,21.0,11,11.0,29
월,5,89,89,100.0,5.0,26.0,19,13.0,30
월,6,23,23,100.0,5.0,25.0,21,10.0,29
월,7,4,4,100.0,5.0,26.0,26,14.0,26
월,8,1,1,100.0,5.0,26.0,26,18.0,25
월,9,3,3,100.0,5.0,25.0,25,7.0,26
월,10,79,79,100.0,5.0,20.0,17,10.0,28
월,11,35,35,100.0,5.0,25.0,19,11.0,29
월,12,49,49,100.0,5.0,26.0,7,9.0,29
시간,0,3,3,100.0,5.0,23.0,19,17.0,23
시간,1,3,3,100.0,5.0,26.0,25,12.0,23
시간,2,2,2,100.0,5.0,24.0,20,12.5,26
시간,3,4,4,100.0,5.0,23.0,11,11.5,26
시간,4,2,2,100.0,5.0,21.0,16,9.0,17
시간,5,6,6,100.0,5.0,23.0,19,9.5,23
시간,6,12,12,100.0,5.0,24.0,13,13.5,28
시간,7,14,14,100.0,5.0,20.5,18,9.5,27
시간,8,40,37,92.5,4.725,19.0,1,10.0,28
시간,9,117,114,97.43589743589743,4.923076923076923,19.0,2,10.0,29
시간,10,130,125,96.15384615384616,4.884615384615385,18.5,2,11.0,29
시간,11,127,121,95.2755905511811,4.826771653543307,20.0,1,12.0,29
시간,12,71,70,98.59154929577466,4.943661971830986,22.0,1,11.0,30
시간,13,100,96,96.0,4.9,21.0,1,12.0,28
시간,14,124,118,95.16129032258065,4.870967741935484,21.0,1,11.0,30
시간,15,84,82,97.61904761904762,4.928571428571429,22.0,1,10.0,29
시간,16,80,78,97.5,4.95,21.0,3,11.5,29
시간,17,74,70,94.5945945945946,4.878378378378378,20.5,2,10.0,29
시간,18,72,69,95.83333333333334,4.875,20.5,2,9.0,29
시간,19,33,33,100.0,5.0,22.0,11,12.0,28
시간,20,15,14,93.33333333333333,4.8,22.0,2,11.0,30
시간,21,21,21,100.0,5.0,22.0,9,13.0,28
시간,22,8,8,100.0,5.0,21.5,8,12.0,25
시간,23,8,8,100.0,5.0,25.0,12,10.5,29
