변수,산불_Mean,비발생_Mean,Welch_p,MW_p,Cohen_d,Welch_FDR,MW_FDR
시점_습도_pct,49.693263745957076,71.81483405646235,0.0,0.0,-1.049824346711935,0.0,0.0
직전24h_최소습도,32.91935607174361,50.67807144194651,0.0,0.0,-0.8810397740347646,0.0,0.0
D-1_평균습도_pct,58.641913185250566,71.85349391606879,0.0,0.0,-0.8405554322940034,0.0,0.0
D-1_최소습도_pct,34.54349514563107,51.44907208769405,0.0,0.0,-0.8322505348653338,0.0,0.0
직전48h_최소습도,30.067953543075568,45.44897394354934,0.0,0.0,-0.8026820029226575,0.0,0.0
직전48h_평균습도,60.047796420170535,71.8390930741489,0.0,0.0,-0.7970456842568955,0.0,0.0
직전24h_평균습도,59.253778177986874,71.82522316562081,0.0,0.0,-0.7959723014029634,0.0,0.0
D-3_최소습도_pct,37.96263033873343,51.468141873236185,0.0,0.0,-0.6644289220057809,0.0,0.0
D-2_최소습도_pct,38.80454839658723,51.471025251743384,0.0,1.3750238642565002e-307,-0.6235088855839416,0.0,3.361169445960334e-307
직전24h_평균기온_C,4.777426247182202,10.510738554144726,0.0,3.73790411217492e-287,-0.593792387761751,0.0,8.223389046784823e-287
기압변동_3h,-0.2844869156130583,0.000579249197890144,1.7765258061669464e-84,1.3398655588412435e-152,-0.3701962979290631,2.4427229834795514e-84,2.2674647918851813e-152
시점_풍속_m_s,2.4195471920023524,1.9007280435588605,5.779783998361751e-77,1.3750623744851085e-108,0.33170020601690375,7.479720468468148e-77,2.016758149244826e-108
시점_현지기압_hPa,991.5300646868568,984.2020568566638,9.087619892488761e-121,8.444247195490751e-61,0.3148463137973565,1.428054554533948e-120,1.0320746572266474e-60
시점_기온_C,7.408553366656865,10.506907752381116,3.3920945219741765e-87,1.0500216219813091e-82,-0.30171832387505654,4.975071965562125e-87,1.4437797302243e-82
직전48h_강수량합,0.7663069685386651,7.854744829818339,0.0,6.42995522112406e-186,-0.2999352213221114,0.0,1.2859910442248122e-185
시점_해면기압_hPa,1011.651843575419,1008.9629257398797,3.7130568065721864e-58,5.769282349130524e-60,0.28216261839005,4.538180541366006e-58,6.680221667414291e-60
D-1_강수량합_mm,0.40442777287437476,3.9325407169966184,0.0,2.785611297752635e-167,-0.24274635197874322,0.0,5.1069540458798315e-167
직전24h_강수량합,0.3876330491032051,3.92732116571987,5.234424299517793e-258,2.912266932342413e-140,-0.23856428309232988,8.858256506876265e-258,4.576419465109506e-140
직전24h_최대풍속,4.124131137900617,3.7553805913420475,1.2539537481090235e-39,6.198035483986296e-69,0.21013141776347186,1.4519464451788693e-39,8.020987096923442e-69
직전24h_평균풍속,2.1204731451533863,1.9009987909663442,7.247186141989265e-29,8.90900964624401e-54,0.17873836061345663,7.971904756188192e-29,9.799910610868411e-54
직전48h_평균풍속,2.0732344040968345,1.9006511521890534,6.718425500721687e-23,9.918299692643326e-50,0.15091019447832824,6.718425500721687e-23,9.918299692643326e-50
직전48h_최대풍속,4.546721552484563,4.271766672495018,2.889588567831949e-23,1.6045033138591712e-51,0.1472625017195335,3.027188023442994e-23,1.6809082335667508e-51
