variable,fire_n,fire_mean,fire_median,fire_q25,fire_q75,nonfire_n,nonfire_mean,nonfire_median,nonfire_q25,nonfire_q75,mean_difference,mean_diff_ci_lower,mean_diff_ci_upper,cohen_d,cohen_d_ci_lower,cohen_d_ci_upper,p_value,q_value,expected_direction,expected_direction_match
직전24h_최소습도,1150,34.70199130434782,30.23,23.11,42.4675,1535949,51.330410313102824,50.81,35.15,66.17,-16.628419008755003,-18.477472963290186,-14.735037829326455,-0.8296877351146134,-0.9195606765407152,-0.7389040800113446,3.503583690335885e-176,7.707884118738946e-175,lower,True
직전24h_평균습도,1150,59.354978985507245,59.51020833333334,49.55833333333334,70.3421875,1535949,72.35986122891404,75.29875,61.986250000000005,84.38416666666667,-13.004882243406797,-15.255036059610115,-10.819258630146606,-0.8338258716677946,-0.9779724943286943,-0.6979384741581617,2.9433246506061054e-138,1.079219038555572e-137,lower,True
직전24h_평균풍속,1150,2.0820152173913042,1.8047916666666663,1.2438541666666667,2.601770833333333,1535949,1.8945136624644952,1.5666666666666664,1.075,2.351666666666667,0.1875015549268091,0.037913473215986405,0.3410264347965664,0.15225322964248877,0.0309097496202194,0.2755096929028982,1.800516284691031e-07,1.9805679131601343e-07,higher,True
직전24h_최대풍속,1150,4.118226086956522,3.93,3.05,4.9175,1535949,3.740605417237162,3.43,2.59,4.54,0.3776206697193598,0.19149997547277786,0.5583622754828464,0.21465723636816536,0.10930088500146713,0.31853099958272435,5.942225093166285e-14,7.689938355862251e-14,higher,True
직전24h_강수량합,1150,0.6919478260869565,0.0,0.0,0.0,1535949,4.0584783934883255,0.0,0.0,0.72,-3.366530567401369,-4.152337121457497,-2.6657530347900353,-0.2229094186665775,-0.26409430543059004,-0.1797930074890628,8.71980065650338e-37,1.5986301203589528e-36,lower,True
D-1_최소습도_pct,1149,36.3127502175805,31.56,24.6,45.5,1533905,52.10051087257685,51.61,35.95,67.16,-15.787760654996347,-17.94797033343716,-13.626403469624,-0.7816317534871617,-0.8851271226073125,-0.6778566383403875,2.541532318325061e-155,1.3978427750787836e-154,lower,True
D-1_강수량합_mm,1149,0.6048215839860748,0.0,0.0,0.0,1533905,4.072182175558458,0.0,0.0,0.74,-3.4673605915723833,-4.323025868650246,-2.6887477094770253,-0.23404103424734307,-0.2677038899924474,-0.2040101969547492,1.5339013641480961e-105,3.749536667917568e-105,lower,True
직전48h_평균풍속,1150,2.0577518115942026,1.8389583333333328,1.2927083333333333,2.5242708333333335,1535949,1.8940066677602194,1.6031249999999997,1.1285416666666666,2.334166666666667,0.1637451438339832,0.041687380142642214,0.2966849879551547,0.14273111160123794,0.03639748746847859,0.25996525616968374,3.037759676064374e-07,3.182414898734106e-07,higher,True
직전48h_최대풍속,1150,4.61404347826087,4.4,3.58,5.41,1535949,4.255521680732886,3.91,3.04,5.1,0.35852179752798374,0.1834046420016236,0.5340622739317764,0.1913404779583932,0.09804953972742778,0.286550776248159,1.7553906384271055e-12,2.145477446966462e-12,higher,True
직전48h_평균습도,1150,60.14276503623187,60.486770833333324,50.44776041666667,70.92833333333333,1535949,72.3785492588734,74.996875,62.620625,83.71208333333333,-12.235784222641534,-14.215316031915968,-10.40921534021292,-0.8378836536604675,-0.9704943513377078,-0.7148461853670834,6.829597486730853e-143,3.0050228941615753e-142,lower,True
직전48h_최소습도,1150,31.00291304347826,27.035,21.162499999999998,36.197500000000005,1535949,46.11025772991162,45.03,30.28,59.72,-15.107344686433365,-16.742115453990287,-13.510116965393493,-0.7923436613298063,-0.8736382786736987,-0.7119763205465547,1.3463700187516272e-171,9.873380137511934e-171,lower,True
직전48h_강수량합,1150,1.2401478260869565,0.0,0.0,0.0900000000000002,1535949,8.132689978638608,0.04,0.0,4.540000000000007,-6.892542152551651,-8.184156542490895,-5.627176645290697,-0.28646301709208305,-0.3213477181960938,-0.25141147336914993,7.553344871579715e-96,1.6617358717475375e-95,lower,True
D-2_최소습도_pct,1149,39.25751958224543,34.62,26.19,50.77,1531827,52.12055334577603,51.66,35.98,67.2,-12.863033763530602,-14.851676224058004,-11.08285526595977,-0.6365957793657733,-0.731166888410877,-0.5526049202495783,4.6028368833470264e-110,1.4466058776233511e-109,lower,True
D-3_최소습도_pct,1145,38.84120524017468,34.24,24.95,50.29,1529752,52.07672239029595,51.61,35.87,67.19,-13.235517150121268,-15.771443418868031,-10.393145323257912,-0.6540889343383303,-0.7791494836016337,-0.5136275477305289,7.095149957554593e-107,1.951166238327513e-106,lower,True
기압변동_3h,1150,-0.2703739130434785,-0.0399999999999636,-0.46999999999999886,0.0399999999999636,1535767,0.0010324027017119095,0.0,-0.1200000000000045,0.169999999999959,-0.2714063157451904,-0.3661452672743973,-0.17419907862395634,-0.3539274625535422,-0.4801003166916383,-0.22501034124623395,5.939874211751999e-24,9.334088047038855e-24,N/A,
