변수,산불_Mean,매칭대조_Mean,Delta_Mean,Delta_CI_Lower,Delta_CI_Upper,Paired_t_p,Wilcoxon_p,Cohen_dz,Paired_t_FDR,Wilcoxon_FDR
직전24h_최소습도,32.91935607174361,41.147251396648045,-8.22789532490444,-8.657786999812215,-7.798003649996664,4.922815301153898e-258,8.000597156919158e-258,-0.6432539748497207,1.0830193662538575e-256,5.867104581740716e-257
직전48h_최소습도,30.067953543075568,36.349011467215526,-6.281057924139958,-6.651691212101427,-5.910424636178489,9.012126070475508e-210,3.2694658399192606e-228,-0.5695621641707754,9.913338677523059e-209,1.7982062119555933e-227
D-1_최소습도_pct,34.54349514563107,42.55779300205822,-8.018822594880849,-8.509606115673538,-7.528039074088158,6.891577587571377e-197,1.7089405287040826e-202,-0.5492892791070763,5.05382356421901e-196,6.266115271914969e-202
직전48h_평균습도,60.047796420170535,65.31948460003149,-5.271688179860953,-5.643807655102762,-4.899568704619144,4.077840922498984e-153,8.990183722767446e-155,-0.476123995463483,2.242812507374441e-152,2.8254863128697688e-154
D-1_평균습도_pct,58.641913185250566,65.29792540796825,-6.664121279543004,-7.13854731044115,-6.189695248644857,8.444549725090281e-151,1.4486746426513096e-140,-0.4722314109563564,3.715601879039724e-150,3.5412046820365345e-140
직전24h_평균습도,59.253778177986874,65.2666687942371,-6.012890616250242,-6.443938071340904,-5.581843161159579,6.020502218900736e-149,1.0454264397856605e-140,-0.4688252279601311,2.207517480263603e-148,2.8749227094105665e-140
시점_습도_pct,49.693263745957076,56.33997412525728,-6.646710379300206,-7.310533241747356,-5.982887516853056,2.5449279382090174e-81,1.2477741250694737e-86,-0.3365172297875941,7.998344948656911e-81,2.745103075152842e-86
직전48h_강수량합,0.7663069685386651,3.0503916495148484,-2.284084680976183,-2.5331945181707867,-2.0349748437815793,4.663792262419401e-69,6.750942771269551e-298,-0.3081584482640697,1.2825428721653353e-68,1.4852074096793013e-296
기압변동_3h,-0.2844869156130583,-0.10121376065862919,-0.18327315495442908,-0.2045178539115243,-0.16202845599733387,1.2041421291614424e-61,1.1953956157597078e-73,-0.28993525698623485,2.9434585379501926e-61,2.1915586288927975e-73
D-3_최소습도_pct,37.96263033873343,42.575432421836716,-4.621768384879725,-5.172138277336865,-4.071398492422585,1.2701892275637224e-58,2.9157048232974323e-85,-0.2824812922976708,2.7944163006401895e-58,5.831409646594865e-85
D-1_강수량합_mm,0.40442777287437487,1.481528815054396,-1.0777497793468667,-1.2099038952708787,-0.9455956634228546,1.6539189083225095e-55,1.611021874997551e-224,-0.27416861486971866,3.307837816645019e-55,7.088496249989225e-224
D-2_최소습도_pct,38.80454839658722,42.5287598745467,-3.725403451995685,-4.23880043919544,-3.2120064647959294,1.2377214636588835e-44,1.5738758121177874e-67,-0.24394981099574267,2.2691560167079533e-44,2.663482143583948e-67
직전24h_평균기온_C,4.777426247182202,5.882662525559884,-1.1052362783776826,-1.2614603056383942,-0.9490122511169709,1.4294993817750247e-42,6.174315944088916e-30,-0.23777164258477676,2.419152799926965e-42,9.702496483568298e-30
직전24h_강수량합,0.3876330491032051,1.5354672155248457,-1.1478341664216405,-1.349035522163458,-0.9466328106798231,1.5687284678840166e-28,5.621903600541468e-284,-0.19173482456591137,2.4651447352463117e-28,6.184093960595615e-283
직전24h_평균풍속,2.1204731451533863,1.973946495771689,0.14652664938169718,0.11788107368954148,0.17517222507385288,2.470524626377066e-23,1.656227549522093e-10,0.171914227231347,3.623436118686364e-23,2.024278116082558e-10
직전24h_최대풍속,4.124131137900617,3.9032114084092915,0.2209197294913261,0.17689151556780533,0.26494794341484684,1.5901402694858693e-22,2.9515590799877157e-19,0.16863829016437537,2.1864428705430704e-22,4.3289533173153163e-19
시점_기온_C,7.408553366656865,8.253164363422522,-0.8446109967656571,-1.0257933114324838,-0.6634286820988303,1.0773776970163065e-19,6.49410713410201e-17,-0.15667282825567108,1.3942534902563967e-19,8.929397309390263e-17
직전48h_평균풍속,2.0732344040968345,1.9711820012503984,0.10205240284643567,0.07969145039404182,0.12441335529882952,5.971855566585678e-19,2.5672390180709315e-12,0.15338598937559877,7.298934581382495e-19,3.3223093175035584e-12
직전48h_최대풍속,4.546721552484563,4.420023522493384,0.12669802999117905,0.08181368625148355,0.17158237373087454,3.393373611136176e-08,6.623885137322448e-09,0.09486974600849994,3.929169444473466e-08,7.669761737952309e-09
시점_풍속_m_s,2.4195471920023524,2.347471920023523,0.07207527197882974,0.027840447870601012,0.11631009608705846,0.0014180275183703253,0.4827550935783901,0.0547614249693928,0.0015598302702073577,0.5057434313678373
시점_현지기압_hPa,991.5300646868568,991.6273113790063,-0.09724669214937268,-0.2533014160991266,0.058808031800381244,0.22202346869532333,0.6347504795739324,-0.020943568103569975,0.23259601482367204,0.6347504795739324
시점_해면기압_hPa,1011.651843575419,1011.6455595413114,0.006284034107615896,-0.159294724550874,0.17186279276610578,0.9407077909516794,0.029675198681489635,0.001275518219931132,0.9407077909516794,0.0326427185496386
