variable,fire_mean,fire_median,control_mean,control_median,mean_delta,median_delta,mean_delta_with_median_control,std_delta,cohen_d_paired,cohen_d_paired_ci_lower,cohen_d_paired_ci_upper,cohen_d_pooled,mean_delta_ci_lower,mean_delta_ci_upper,mean_delta_cell_ci_lower,mean_delta_cell_ci_upper,p_value,q_value,expected_direction,expected_direction_match_rate
직전24h_최소습도,34.70199130434782,30.23,39.46297826086957,34.97,-4.760986956521739,-5.236000000000001,-3.1255434782608695,14.291940354653756,-0.33312390328941316,-0.4439292230580914,-0.2231497239432216,-0.26621118135734806,-6.098747073153451,-3.351412491137769,-5.893466019720777,-3.666752280152673,3.8940758015980145e-28,6.803001889730926e-27,lower,68.08695652173913
직전24h_평균습도,59.354978985507245,59.51020833333334,63.493595731539,62.649375000000006,-4.138616746031746,-3.1587499999999906,-3.936106884057971,14.44365118786366,-0.2865353567600162,-0.42100524693210517,-0.15346911610300298,-0.26419414180123985,-5.993363858054354,-2.2338473713079807,-5.425405881700816,-2.888684494868029,1.6723105274384517e-21,9.197707900911484e-21,lower,61.30434782608696
직전24h_평균풍속,2.0820152173913042,1.8047916666666663,1.9706846573498964,1.743958333333333,0.11133056004140787,-0.026250000000000197,0.2144411231884058,0.9929052310629586,0.11212606858987187,-0.0418940239709731,0.2548802768085732,0.10026364965577168,-0.03913314070408715,0.2655458342016961,0.026154155558670643,0.19985116298476235,0.00015084419878735381,0.0002765476977768153,higher,48.608695652173914
직전24h_최대풍속,4.118226086956522,3.93,4.006464347826087,3.76,0.11176173913043484,0.03799999999999959,0.22022608695652174,1.5936364699579724,0.07013000846634881,-0.05263999900879427,0.18819223902596766,0.0634601490196719,-0.0827019694252446,0.3027313652603639,-0.012975228713122244,0.24398415070975032,0.017558993017826045,0.0257531897594782,higher,51.04347826086957
직전24h_강수량합,0.6919478260869565,0.0,1.8557313043478263,0.0,-1.1637834782608696,-0.10000000000000053,0.5190913043478261,9.430873421332507,-0.12340145247081859,-0.3853597208299088,-0.03685561705895127,-0.13274520505738496,-1.8227751834932109,-0.4967819027017047,-1.6650933455478762,-0.5196750055792364,3.072486123654244e-05,7.510521635599264e-05,lower,66.78260869565219
D-1_최소습도_pct,36.3127502175805,31.56,41.42061923411662,36.79,-5.107869016536118,-5.7919999999999945,-3.1609399477806788,15.387812027650003,-0.33194251446260886,-0.4659706769771979,-0.20101560136246524,-0.2758286398206702,-6.757144052814894,-3.2790512577818705,-6.567969581959993,-3.7285813055464967,6.184547172482661e-28,6.803001889730926e-27,lower,69.19060052219321
D-1_강수량합_mm,0.6048215839860748,0.0,1.7405047867711054,0.0,-1.1356832027850305,-0.1,0.35870757180156654,5.687234895508974,-0.1996898710271037,-0.3780638828758268,-0.10207000761323745,-0.15744039940497292,-1.622747787369695,-0.6867756126038739,-1.5267533174805066,-0.7279517146116369,2.0657681693113785e-11,5.680862465606291e-11,lower,64.31679721496954
직전48h_평균풍속,2.0577518115942026,1.8389583333333328,1.9852247118088004,1.7906250000000001,0.07252709978540242,-0.025124999999999953,0.12903678830227744,0.8267110931353371,0.08772968015989759,-0.06967053373902202,0.233019117516631,0.07058360395420057,-0.054408403213274,0.19581560748782545,0.0018087311407287083,0.1439799763310215,0.0029905557152929856,0.004699444695460406,higher,48.78260869565217
직전48h_최대풍속,4.61404347826087,4.4,4.554154202898551,4.28,0.059889275362318896,-0.04099999999999948,0.15473043478260873,1.5628598473123314,0.03832031097689994,-0.0789013097395923,0.15187216179522658,0.03054624502816651,-0.1153404345067432,0.23604559941071937,-0.07397111190699497,0.19229956907910195,0.19403135436871463,0.21343448980558608,higher,48.78260869565217
직전48h_평균습도,60.14276503623187,60.486770833333324,63.37522799880393,63.063541666666666,-3.2324629625720585,-2.876583333333336,-3.2608622938257805,13.036966938999008,-0.24794593540790633,-0.3823499604513857,-0.11667130137402912,-0.2246469846483453,-4.850244045615703,-1.522067032986324,-4.619069538666293,-1.9389311474827409,1.218773574840204e-16,5.362603729296897e-16,lower,59.73913043478261
직전48h_최소습도,31.00291304347826,27.035,34.42544753623188,29.73,-3.4225344927536234,-3.037000000000001,-2.2021739130434783,11.748937544614382,-0.2913058716804981,-0.40048595770314677,-0.18205755963769657,-0.2078807779843614,-4.483475759963193,-2.2471614288555526,-4.497782680415002,-2.341971871123768,3.815445046696626e-22,2.7979930342441925e-21,lower,64.8695652173913
직전48h_강수량합,1.2401478260869565,0.0,3.5146820289855074,0.0,-2.274534202898551,-0.44499999999999995,0.1390304347826086,11.354573983480373,-0.20031876195511536,-0.4348155522191759,-0.0929912862959666,-0.194179781443753,-3.2804255374403484,-1.3537062278913066,-2.983280472738818,-1.4662899726058256,1.756905986734527e-11,5.521704529737084e-11,lower,72.52173913043478
D-2_최소습도_pct,39.25751958224543,34.62,41.201639541630406,36.5,-1.9441199593849723,-2.725999999999999,-0.3898607484769363,17.273830000107765,-0.11254712819177007,-0.2579822886966003,0.003943960262124379,-0.10459676997198684,-4.302482194664904,0.06786549858152324,-3.5885000766656288,-0.2832759477954227,0.00014343852635072073,0.0002765476977768153,lower,59.00783289817232
D-3_최소습도_pct,38.84120524017468,34.24,40.405726346433774,35.21,-1.5645211062590973,-3.570000000000004,0.1452707423580788,17.364036928009362,-0.09010123122552333,-0.25564972662786095,0.06460215005520528,-0.08365480420500931,-4.0818222354853875,1.216677910839918,-3.22422145173339,0.062369139363982605,0.0023501084331235206,0.003977106579132112,lower,62.00873362445415
기압변동_3h,-0.2703739130434785,-0.0399999999999636,-0.19245014492753684,-0.0199999999999818,-0.07792376811594164,-0.00799999999999272,-0.07219565217391144,0.6415374048631984,-0.1214641071981736,-0.23545507807392155,0.011399874660759495,-0.08787606345267909,-0.1558889561214671,0.006994779835759352,-0.12025224003155686,-0.03718389808774949,4.077018782620567e-05,8.969441321765248e-05,N/A,43.56521739130435
서풍계열_여부,0.39217391304347826,0.0,0.36536231884057974,0.0,0.026811594202898543,0.0,0.07782608695652174,0.4972265972429197,0.05392228483264293,-0.044087196650612406,0.14097559893776196,0.05545907968753649,-0.02170374847374848,0.071192270418603,-0.016450334639941118,0.0690059532020837,0.06771962861641434,0.09311448934756972,N/A,36.173913043478265
풍향_sin,-0.2195477761364609,-0.3609735477267372,-0.18472188673766907,-0.2951244474397,-0.03482588939879181,-0.07346688660609119,0.019146877802413496,0.6815533029360309,-0.05109782206141035,-0.14061994179089818,0.05133491309278635,-0.05128824390944134,-0.09467095132086079,0.03483032990113467,-0.08963136132876035,0.018846873110210195,0.08339750061441895,0.0988415001060374,N/A,43.47826086956522
풍향_cos,-0.024110829964567274,-0.0701917148705091,0.014015903680918035,-0.01832493111699815,-0.03812673364548531,-0.014337165004970093,-0.018550043140171963,0.7317863407764559,-0.052100909132891504,-0.11366048184376544,0.016681018629042487,-0.05385651212450911,-0.08340543784324844,0.01240945542115846,-0.0848698306952171,0.009242515751729784,0.07752252194930144,0.0988415001060374,N/A,48.52173913043478
시점_기온_C,8.269382608695652,8.425,8.074085217391305,7.945,0.19529739130434787,0.4179999999999997,0.13667826086956525,5.314526364533175,0.0367478450399037,-0.15815650423345579,0.24334140386682523,0.02298028119018546,-0.8750397973142364,1.178316115158874,-0.26839519923262983,0.6584086723405853,0.2129523160202302,0.22309290249738403,N/A,53.130434782608695
시점_습도_pct,50.6962,48.95,54.98414695652174,51.425,-4.28794695652174,-4.476000000000003,-2.557404347826087,19.47326491015528,-0.22019661193463155,-0.40666936581502355,-0.04898818625595116,-0.19534294270449387,-7.486991159736883,-1.030939366713719,-5.529244021676539,-3.1309443278324456,1.6147852268401494e-13,5.920879165080548e-13,lower,63.47826086956522
시점_풍속_m_s,2.437573913043478,2.23,2.3644536231884055,2.16,0.07312028985507248,-0.05499999999999981,0.18344782608695653,1.4400836670524797,0.05077502892921,-0.0659439236092089,0.15793948077488765,0.048343188391688205,-0.09040794780930955,0.23265203038332144,-0.033458127161050615,0.18930991138312314,0.08536311372794139,0.0988415001060374,higher,47.130434782608695
시점_현지기압_hPa,990.8248608695653,997.15,990.7297771014491,997.395,0.0950837681159424,0.047999999999944976,-0.06063913043478499,4.431843297792169,0.02145467737167302,-0.12275318893140863,0.1820614414385671,0.005799372163931432,-0.5735616868184297,0.7478615689267107,-0.5808136582359044,0.7941960834356905,0.4670290493167715,0.46702904931677147,N/A,56.173913043478265
