fire_exposure_id,FFMC,DMC,DC,ISI,BUI,FWI,FFMC_10일평균,Indexed_FFMC,FFMC_논문식_발생확률,기상셀ID,기준시각,기후지형유형,month,hour,date,season
FE_00001,34.81630281329819,2.1719393242931115,7.100440000000001,2.9309875200677022,2.379113624124802,2.1678778660521894,10.745633821454604,1.2000000000000002,0.10982743755820146,YD_0001,2020-01-01 12:00:00,영동 해안형,1,12,2020-01-01,겨울(12-2월)
FE_00002,9.216251467832777,-2.6285508011608134,-5.231547341099151,-0.7517320427156364,-2.5468020910091074,-2.08706219704739,-14.034914759918664,-1.2000000000000002,-0.11251199487505992,YD_0001,2020-01-13 11:00:00,영동 해안형,1,11,2020-01-13,겨울(12-2월)
FE_00003,7.5986749604573305,-1.2379033995835913,-2.3228980552612715,2.387207033575512,-1.295918656477816,1.3035926721635507,-3.658199732282526,-0.7999999999999998,-0.07458375253889082,YD_0001,2020-02-08 12:00:00,영동 해안형,2,12,2020-02-08,겨울(12-2월)
FE_00004,-1.3976242526861995,3.446970497205216,2.641141362297291,-3.369013945028084,3.357595165773387,-3.2800717633042473,8.938451535744733,0.6000000000000001,0.05894055475438853,YD_0001,2020-03-24 11:00:00,영동 해안형,3,11,2020-03-24,봄(3-5월)
FE_00005,13.322185846026073,6.742318194776831,12.87732486268697,-0.04803874543243669,7.024928857309278,1.8705288491105696,8.982125949198618,1.6,0.1437520260940769,YD_0001,2020-03-26 18:00:00,영동 해안형,3,18,2020-03-26,봄(3-5월)
FE_00006,22.607438785742076,1.056345992142786,-0.3640736206470052,4.0080266581485535,0.8520490174918702,4.766525580282665,0.7100901228077134,0.20000000000000018,0.019646851584796177,YD_0001,2020-04-04 18:00:00,영동 해안형,4,18,2020-04-04,봄(3-5월)
FE_00007,12.747767414252763,11.468958791231588,22.044648372662635,2.107187869415135,11.514207713032528,5.046929161420131,11.663618209313796,1.4,0.1241051745092806,YD_0001,2020-04-11 13:00:00,영동 해안형,4,13,2020-04-11,봄(3-5월)
FE_00008,7.190119249244731,-10.369290403112068,-101.97272467747484,4.624189994488278,-20.039966016617463,7.281682813718648,4.903424203998313,0.3999999999999999,0.03392458853587532,YD_0001,2020-06-04 17:00:00,영동 해안형,6,17,2020-06-04,여름(6-8월)
FE_00009,20.231368585060977,25.40369055421806,43.302883660888114,4.342728275546895,23.584159423555704,13.129770890442762,6.192096160101826,0.6000000000000001,0.05088688280381304,YD_0001,2020-06-17 20:00:00,영동 해안형,6,20,2020-06-17,여름(6-8월)
FE_00010,-9.1227476156632,17.554110682365206,27.963406153908835,-5.405178428868769,15.134821840037866,-11.227842911510159,0.3018521183339402,0.20000000000000018,0.016962294267937605,YD_0001,2020-11-19 15:00:00,영동 해안형,11,15,2020-11-19,가을(9-11월)
