변수,H_stat,p_value,Epsilon_sq,Delta_Mean_영서 내륙형,Delta_Mean_고지·산간형,Delta_Mean_영동 해안형,FDR_p
FWI,515.6977706412654,1.04148241231877e-112,0.15126553905808757,1.7089535854945885,3.0143690653624198,7.47479366758886,1.04148241231877e-111
ISI,417.89355750950926,1.8012208909038994e-91,0.12246571186970237,0.3596285602210509,0.7171194959520999,2.3035752398572082,9.006104454519497e-91
BUI,263.3020302647583,6.67867931906703e-58,0.07694406073756133,9.230020749345861,12.720473578782535,23.306310811494857,2.22622643968901e-57
DMC,220.45868008939942,1.342783124991714e-48,0.06432823324187262,7.245244684205571,9.848755599363184,16.218688306870344,3.356957812479285e-48
DC,161.06834402196458,1.057921616078605e-35,0.046839912845101465,44.366684073215225,54.751281040083995,104.25193185027975,2.1158432321572103e-35
시점_풍속_m_s,65.9268725739832,4.832384871015467e-15,0.01882416742461225,-0.04412323491655971,-2.170418006429808e-05,0.2570828547990156,8.05397478502578e-15
FFMC,60.328543268586145,7.940050755536526e-14,0.017175660562010055,3.84114235774045,5.480398876398324,8.238243891972376,1.1342929650766465e-13
D-1_최소습도_pct,52.145776057359114,4.749945229027374e-12,0.014766129581083367,-6.784482349165597,-6.329739549839228,-10.458290812141101,5.9374315362842175e-12
시점_기온_C,44.927435066159624,1.7544113663367003e-10,0.01264058747531202,-1.0807124518613604,0.5007524115755626,-1.2275168170631665,1.949345962596334e-10
직전24h_최소습도,13.97585286007312,0.0009229583675701029,0.0035264584393619315,-8.113824133504492,-7.050260450160772,-8.978452009844135,0.0009229583675701029
