variable,ys_n_with,ys_n_without,ys_mean_with,ys_mean_without,ys_median_with,ys_median_without,ys_std_with,ys_std_without,ys_ci_lower_with,ys_ci_lower_without,ys_ci_upper_with,ys_ci_upper_without,p_yd_ys_with,p_yd_ys_without,p_ys_yg_with,p_ys_yg_without,q_yd_ys_with,q_yd_ys_without,q_ys_yg_with,q_ys_yg_without
직전24h_최소습도,615,603,-4.364318699186993,-4.44179104477612,-4.289999999999996,-4.597999999999992,12.63397478245872,12.746312719748431,-6.027414453449447,-6.031969851183486,-2.7986512650646955,-2.8260926690860195,0.06798010327655699,0.09181967776270776,0.001698580363619785,0.002731828583838493,0.13256120138928612,0.17904837163728013,0.006624463418117161,0.009974326047446585
직전24h_평균습도,615,603,-2.826302380952381,-2.8758164139619358,-2.21125,-2.35466666666666,11.723877141022953,11.83406871845807,-4.762270408408287,-4.851691188252341,-0.7684297397935392,-0.7727410309853299,0.0008521932947045506,0.0010935320020430343,0.05763484131528716,0.0648148999724279,0.0041544423116846845,0.0053309685099597924,0.11830309533137891,0.13304111046972042
직전24h_평균풍속,615,603,-0.020149872241579558,-0.02088405985943299,-0.0863333333333331,-0.0996666666666667,0.7814622704809134,0.7891314830183928,-0.1629306916533458,-0.16116754335798025,0.12527428054450235,0.12258670872556257,1.2955847311290806e-07,1.1821448340240056e-07,0.42760591852716356,0.40797683013700514,5.052780451403414e-06,4.610364852693622e-06,0.5955939579485492,0.5746144999957238
직전24h_최대풍속,615,603,-0.05822439024390243,-0.05929353233830844,-0.0699999999999998,-0.0799999999999996,1.4992567958141882,1.514019090276678,-0.2819070025483117,-0.27344662373932416,0.14701512612014572,0.1427739857854318,3.0284980242277904e-07,3.4354843601758183e-07,0.9791678627491983,0.9591089378799943,5.9055711472441914e-06,6.699194502342846e-06,0.9791678627491982,0.9591089378799942
직전24h_강수량합,615,603,-1.4217333333333333,-1.4469651741293534,-0.158,-0.1599999999999999,11.302142269351236,11.412766676827987,-2.3271508115310082,-2.2955875373277186,-0.29772189399062404,-0.32214790082733513,0.011519271830400215,0.009112192482188676,0.0015369338142260398,0.0013942472679628877,0.026426564787388727,0.020904441576785785,0.006624463418117161,0.006041738161172513
D-1_최소습도_pct,615,603,-3.469157723577236,-3.545422885572139,-3.9620000000000033,-4.182000000000002,14.77088657865686,14.90622616819949,-5.84515376253412,-5.801259161426146,-1.1431634028206696,-1.1901671530326963,6.982083323523894e-05,0.00014576385785568865,2.258098860308342e-05,4.314584578144096e-05,0.0005446024992348637,0.0011369580912743715,0.00022128882640520651,0.00042067199636904934
D-1_강수량합_mm,615,603,-1.3729609756097563,-1.3924892205638475,-0.118,-0.12,5.967051668736172,6.024049503978086,-2.02156236411813,-1.9926237352362206,-0.7107996222860469,-0.7510454521655826,0.6049165931865008,0.5892965964228691,0.5871729357592759,0.5998722347906632,0.6938749157139275,0.7089399138435111,0.6938749157139275,0.7089399138435111
FFMC,615,603,4.505399159597056,4.4848362440921665,3.4187518888371926,3.399695170008485,15.839763219903352,15.97014401670759,0.926862880371999,0.9963228637056246,8.10726367047631,8.059819137154351,0.5697555371411946,0.5978605018822587,0.9077716041748309,0.9331906110157167,0.6938749157139275,0.7089399138435111,0.9316603306004844,0.957748258674025
DMC,615,603,2.453102473020794,2.5019792953549564,-0.084498869991989,-0.1040271233876461,12.202244545367215,12.318165967595123,0.6426086572466567,0.6940580915167585,4.5329104795658335,4.502495126132676,2.2696289887713488e-05,2.330506821975836e-05,0.7626940132005475,0.7595028278027203,0.00022128882640520651,0.00030296588685685866,0.8262518476339265,0.8227947301196136
DC,615,603,3.3564523154199164,3.4752794529823414,-0.8798400157447901,-0.8953200000000265,25.465069674380878,25.695483892421187,-0.05907575028160135,0.020180082477264032,7.16499380828492,7.235105368282486,0.002954320342518768,0.002813271449279806,0.5951152520169614,0.6183978674343906,0.010474408487111996,0.009974326047446585,0.6938749157139275,0.7093387302923893
ISI,615,603,0.44618040542950155,0.4527749255363633,0.1945355185887276,0.205036316416125,2.7970988244671275,2.824296045664772,-0.07772158316488456,-0.0758118757061569,1.001612710154935,1.0269734969426403,0.008039600221372518,0.008688457306726446,0.18623784769193386,0.2034833055384021,0.020991630043662377,0.020904441576785785,0.3301489118175191,0.3607204052726219
BUI,615,603,2.037305521578359,2.076717054624591,-0.0377957738542313,-0.0377957738542313,12.350194634990004,12.469138368322557,0.17209298614780183,0.19731357119454393,4.128895992442452,4.132884647882094,0.0002471685302661255,0.00025981263847326975,0.8592974566119451,0.8559675929960672,0.001606595446729816,0.0016887821500762533,0.9057459677801584,0.902236111536395
FWI,615,603,0.8750977840252199,0.8918188384783519,0.1971938314028679,0.2500316042086719,5.820728635816019,5.877226022059704,-0.15384196625386468,-0.148442603963641,1.9606963700352251,2.041012650184677,0.008073703862947068,0.008781594652747743,0.1772168663997591,0.18910501501054788,0.020991630043662377,0.020904441576785785,0.32911703759955263,0.3511950278767318
