,직전24h_최소습도,D-1_최소습도_pct,시점_기온_C,시점_풍속_m_s,FFMC,DMC,DC,ISI,BUI,FWI
직전24h_최소습도,1.0,0.864551585835149,0.22577403711509708,-0.1337686796951332,-0.47066026983897574,-0.3024505389230728,-0.2306407450399313,-0.4221201628634742,-0.28877115378576756,-0.3929127739605873
D-1_최소습도_pct,0.864551585835149,1.0,0.13384240185984927,-0.0709109548715642,-0.5378106968114404,-0.4032342459212034,-0.2828047285033458,-0.49086712663968723,-0.39088816404535875,-0.4852994785115024
시점_기온_C,0.22577403711509708,0.13384240185984927,1.0,0.018764445002458607,0.38644620102474625,0.25987659870820273,-0.26654741211227206,0.28791643338378864,0.1803871708211328,0.2741752877132277
시점_풍속_m_s,-0.1337686796951332,-0.0709109548715642,0.018764445002458607,1.0,0.1463670064024414,0.04373467558318571,0.004024102155634771,0.3800008136741641,0.0387820456426551,0.2907300842556564
FFMC,-0.47066026983897574,-0.5378106968114404,0.38644620102474625,0.1463670064024414,1.0,0.6992807600118653,0.21896693811173654,0.8888017346866632,0.6433137170999028,0.8709975632394926
DMC,-0.3024505389230728,-0.4032342459212034,0.25987659870820273,0.04373467558318571,0.6992807600118653,1.0,0.5790882319380515,0.6464444974672116,0.9824098302795227,0.8493239112920907
DC,-0.2306407450399313,-0.2828047285033458,-0.26654741211227206,0.004024102155634771,0.21896693811173654,0.5790882319380515,1.0,0.2611707244722139,0.68759004508575,0.47601850036715715
ISI,-0.4221201628634742,-0.49086712663968723,0.28791643338378864,0.3800008136741641,0.8888017346866632,0.6464444974672116,0.2611707244722139,1.0,0.6088748424501046,0.932831276627634
BUI,-0.28877115378576756,-0.39088816404535875,0.1803871708211328,0.0387820456426551,0.6433137170999028,0.9824098302795227,0.68759004508575,0.6088748424501046,1.0,0.8327262146678567
FWI,-0.3929127739605873,-0.4852994785115024,0.2741752877132277,0.2907300842556564,0.8709975632394926,0.8493239112920907,0.47601850036715715,0.932831276627634,0.8327262146678567,1.0
