analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00001,FE_00001,,fire,1,YD_0001,2020-01-01 12:00:00,영동 해안형,1,12,2020-01-01,5,True,False,False,False,False,True
FE_00002,FE_00002,,fire,1,YD_0001,2020-01-13 11:00:00,영동 해안형,1,11,2020-01-13,5,True,False,False,False,False,True
FE_00003,FE_00003,,fire,1,YD_0001,2020-02-08 12:00:00,영동 해안형,2,12,2020-02-08,5,True,False,True,False,False,True
FE_00004,FE_00004,,fire,1,YD_0001,2020-03-24 11:00:00,영동 해안형,3,11,2020-03-24,5,True,False,False,False,False,True
FE_00005,FE_00005,,fire,1,YD_0001,2020-03-26 18:00:00,영동 해안형,3,18,2020-03-26,5,True,False,False,False,False,True
FE_00006,FE_00006,,fire,1,YD_0001,2020-04-04 18:00:00,영동 해안형,4,18,2020-04-04,5,True,False,False,False,False,True
FE_00007,FE_00007,,fire,1,YD_0001,2020-04-11 13:00:00,영동 해안형,4,13,2020-04-11,5,True,False,False,False,False,True
FE_00008,FE_00008,,fire,1,YD_0001,2020-06-04 17:00:00,영동 해안형,6,17,2020-06-04,5,True,False,False,False,False,True
FE_00009,FE_00009,,fire,1,YD_0001,2020-06-17 20:00:00,영동 해안형,6,20,2020-06-17,5,True,False,False,False,False,True
FE_00010,FE_00010,,fire,1,YD_0001,2020-11-19 15:00:00,영동 해안형,11,15,2020-11-19,5,True,False,False,False,False,True
FE_00011,FE_00011,,fire,1,YD_0001,2020-11-30 11:00:00,영동 해안형,11,11,2020-11-30,5,True,False,False,False,False,True
FE_00012,FE_00012,,fire,1,YD_0001,2020-12-10 10:00:00,영동 해안형,12,10,2020-12-10,5,True,False,False,False,False,True
FE_00013,FE_00013,,fire,1,YD_0001,2020-12-15 09:00:00,영동 해안형,12,9,2020-12-15,5,True,False,False,False,False,True
FE_00014,FE_00014,,fire,1,YD_0001,2020-12-18 11:00:00,영동 해안형,12,11,2020-12-18,5,True,False,False,False,False,True
FE_00015,FE_00015,,fire,1,YD_0001,2021-01-15 12:00:00,영동 해안형,1,12,2021-01-15,5,True,False,False,False,False,True
FE_00016,FE_00016,,fire,1,YD_0001,2021-01-28 13:00:00,영동 해안형,1,13,2021-01-28,5,True,False,False,False,False,True
FE_00017,FE_00017,,fire,1,YD_0001,2021-01-29 14:00:00,영동 해안형,1,14,2021-01-29,5,True,False,False,False,False,True
FE_00018,FE_00018,,fire,1,YD_0001,2021-01-29 19:00:00,영동 해안형,1,19,2021-01-29,5,True,False,False,False,False,True
FE_00019,FE_00019,,fire,1,YD_0001,2021-02-01 11:00:00,영동 해안형,2,11,2021-02-01,3,False,True,True,True,False,True
FE_00020,FE_00020,,fire,1,YD_0001,2021-02-01 13:00:00,영동 해안형,2,13,2021-02-01,3,False,True,True,True,False,True
