item,value,expected,status,note
S2 unique fire exposure rows,1150,1150.0,ok,
S2 matching quality rows,1150,1150.0,ok,
S2 matched control rows,5632,5632.0,ok,
S3 analysis rows,6782,6782.0,ok,
fire rows in S3,1150,1150.0,ok,
control rows in S3,5632,5632.0,ok,
full 5 matched fire exposures,1110,1110.0,ok,
less than 5 matched fire exposures,40,40.0,ok,
analysis key duplicate rows,0,0.0,ok,
cell-time duplicate within sample_group,0,0.0,ok,
exact hourly row coverage pct,100.0,100.0,ok,
S2-04 matched_controls sha256,e08db83c7f39b67a5e7ffa29a18722bdb9c19a9771c6d89bb902cc83026392fe,,info,
S2 audit: fire_exposure_n,1150,,info,
S2 audit: candidate_pool_before_canadian_filter_n,1536040,,info,
S2 audit: candidate_removed_by_canadian_filter_n,1091,,info,
S2 audit: candidate_pool_after_canadian_filter_n,1534949,,info,
S2 audit: matched_control_row_n,5632,,info,
S2 audit: matched_exposure_n,1150,,info,
S2 audit: full_5_matched_exposure_n,1110,,info,
S2 audit: full_5_matched_pct,96.52173913043478,,info,
S2 audit: less_than_5_exposure_n,40,,info,
S2 audit: key_violation_n,0,,info,
S2 audit: direct_fire_overlap_n,0,,info,
S2 audit: within_48h_violation_n,0,,info,
S2 audit: control_duplicate_within_event_n,0,,info,
S2 audit: unique_control_n,5255,,info,
S2 audit: reused_control_n,278,,info,
S2 audit: max_control_reuse_n,7,,info,
S2 audit: matched_controls_sha256,e08db83c7f39b67a5e7ffa29a18722bdb9c19a9771c6d89bb902cc83026392fe,,info,
S2 audit: random_seed,42,,info,
