sample_group,기후지형유형,feature,window_h,exposure_n,available_n,availability_pct,mean_prior_obs_n,min_prior_obs_n
fire,고지·산간형,prior_hourly_obs_1h,1.0,181,181,100.0,1.0,1.0
fire,고지·산간형,prior_hourly_obs_3h,3.0,181,181,100.0,3.0,3.0
fire,고지·산간형,prior_hourly_obs_6h,6.0,181,181,100.0,6.0,6.0
fire,고지·산간형,prior_hourly_obs_12h,12.0,181,181,100.0,12.0,12.0
fire,고지·산간형,prior_hourly_obs_24h,24.0,181,181,100.0,24.0,24.0
fire,고지·산간형,prior_hourly_obs_48h,48.0,181,181,100.0,48.0,48.0
fire,고지·산간형,prior_hourly_obs_72h,72.0,181,180,99.4475138121547,71.93370165745857,60.0
fire,영동 해안형,prior_hourly_obs_1h,1.0,354,354,100.0,1.0,1.0
fire,영동 해안형,prior_hourly_obs_3h,3.0,354,354,100.0,3.0,3.0
fire,영동 해안형,prior_hourly_obs_6h,6.0,354,354,100.0,6.0,6.0
fire,영동 해안형,prior_hourly_obs_12h,12.0,354,354,100.0,12.0,12.0
fire,영동 해안형,prior_hourly_obs_24h,24.0,354,353,99.71751412429379,23.966101694915253,12.0
fire,영동 해안형,prior_hourly_obs_48h,48.0,354,353,99.71751412429379,47.898305084745765,12.0
fire,영동 해안형,prior_hourly_obs_72h,72.0,354,352,99.43502824858757,71.79378531073446,12.0
fire,영서 내륙형,prior_hourly_obs_1h,1.0,615,615,100.0,1.0,1.0
fire,영서 내륙형,prior_hourly_obs_3h,3.0,615,615,100.0,3.0,3.0
fire,영서 내륙형,prior_hourly_obs_6h,6.0,615,615,100.0,6.0,6.0
fire,영서 내륙형,prior_hourly_obs_12h,12.0,615,615,100.0,12.0,12.0
fire,영서 내륙형,prior_hourly_obs_24h,24.0,615,615,100.0,24.0,24.0
fire,영서 내륙형,prior_hourly_obs_48h,48.0,615,615,100.0,48.0,48.0
fire,영서 내륙형,prior_hourly_obs_72h,72.0,615,613,99.67479674796748,71.9609756097561,60.0
matched_control,고지·산간형,prior_hourly_obs_1h,1.0,836,836,100.0,1.0,1.0
matched_control,고지·산간형,prior_hourly_obs_3h,3.0,836,836,100.0,3.0,3.0
matched_control,고지·산간형,prior_hourly_obs_6h,6.0,836,836,100.0,6.0,6.0
matched_control,고지·산간형,prior_hourly_obs_12h,12.0,836,836,100.0,12.0,12.0
matched_control,고지·산간형,prior_hourly_obs_24h,24.0,836,835,99.88038277511961,23.98803827751196,14.0
matched_control,고지·산간형,prior_hourly_obs_48h,48.0,836,834,99.76076555023924,47.9377990430622,14.0
matched_control,고지·산간형,prior_hourly_obs_72h,72.0,836,834,99.76076555023924,71.88038277511961,14.0
matched_control,영동 해안형,prior_hourly_obs_1h,1.0,1721,1721,100.0,1.0,1.0
matched_control,영동 해안형,prior_hourly_obs_3h,3.0,1721,1721,100.0,3.0,3.0
