일시,풍속_m_s,직전72h_최대풍속,강수량_mm,직전72h_강수량합
2020-01-01 00:00:00,4.52,,0.0,
2020-01-01 01:00:00,4.28,,0.0,
2020-01-01 02:00:00,4.01,,0.0,
2020-01-01 03:00:00,4.89,,0.0,
2020-01-01 04:00:00,4.32,,0.0,
2020-01-01 05:00:00,3.88,,0.0,
2020-01-01 06:00:00,3.63,,0.0,
2020-01-01 07:00:00,3.78,,0.0,
2020-01-01 08:00:00,4.04,,0.0,
2020-01-01 09:00:00,3.34,,0.0,
2020-01-01 10:00:00,3.89,,0.0,
2020-01-01 11:00:00,4.06,,0.0,
2020-01-01 12:00:00,3.76,,0.0,
2020-01-01 13:00:00,4.45,,0.0,
2020-01-01 14:00:00,4.53,,0.0,
2020-01-01 15:00:00,4.88,,0.0,
2020-01-01 16:00:00,4.93,,0.0,
2020-01-01 17:00:00,5.07,,0.0,
2020-01-01 18:00:00,4.81,,0.0,
2020-01-01 19:00:00,5.07,,0.0,
2020-01-01 20:00:00,4.75,,0.0,
2020-01-01 21:00:00,3.95,,0.0,
2020-01-01 22:00:00,4.12,,0.0,
2020-01-01 23:00:00,4.71,,0.0,
2020-01-02 00:00:00,4.5,,0.0,
2020-01-02 01:00:00,4.72,,0.0,
2020-01-02 02:00:00,3.86,,0.0,
2020-01-02 03:00:00,3.83,,0.0,
2020-01-02 04:00:00,4.38,,0.0,
2020-01-02 05:00:00,3.65,,0.0,
2020-01-02 06:00:00,4.09,,0.0,
2020-01-02 07:00:00,4.18,,0.0,
2020-01-02 08:00:00,4.3,,0.0,
2020-01-02 09:00:00,4.35,,0.0,
2020-01-02 10:00:00,4.3,,0.0,
2020-01-02 11:00:00,3.87,,0.0,
2020-01-02 12:00:00,4.33,5.07,0.0,0.0
2020-01-02 13:00:00,4.6,5.07,0.0,0.0
2020-01-02 14:00:00,3.57,5.07,0.0,0.0
2020-01-02 15:00:00,3.75,5.07,0.0,0.0
2020-01-02 16:00:00,4.92,5.07,0.0,0.0
2020-01-02 17:00:00,4.65,5.07,0.0,0.0
2020-01-02 18:00:00,4.1,5.07,0.0,0.0
2020-01-02 19:00:00,3.65,5.07,0.0,0.0
2020-01-02 20:00:00,3.8,5.07,0.0,0.0
2020-01-02 21:00:00,3.89,5.07,0.0,0.0
2020-01-02 22:00:00,4.78,5.07,0.0,0.0
2020-01-02 23:00:00,4.84,5.07,0.0,0.0
2020-01-03 00:00:00,4.36,5.07,0.0,0.0
2020-01-03 01:00:00,4.51,5.07,0.0,0.0
2020-01-03 02:00:00,4.39,5.07,0.0,0.0
2020-01-03 03:00:00,3.67,5.07,0.0,0.0
2020-01-03 04:00:00,3.62,5.07,0.0,0.0
2020-01-03 05:00:00,3.19,5.07,0.0,0.0
2020-01-03 06:00:00,3.79,5.07,0.0,0.0
2020-01-03 07:00:00,3.97,5.07,0.0,0.0
2020-01-03 08:00:00,2.8,5.07,0.0,0.0
2020-01-03 09:00:00,3.19,5.07,0.0,0.0
2020-01-03 10:00:00,4.27,5.07,0.0,0.0
2020-01-03 11:00:00,4.56,5.07,0.0,0.0
2020-01-03 12:00:00,3.91,5.07,0.0,0.0
2020-01-03 13:00:00,3.57,5.07,0.0,0.0
2020-01-03 14:00:00,3.13,5.07,0.0,0.0
2020-01-03 15:00:00,3.67,5.07,0.0,0.0
2020-01-03 16:00:00,3.03,5.07,0.0,0.0
2020-01-03 17:00:00,2.15,5.07,0.0,0.0
2020-01-03 18:00:00,2.54,5.07,0.0,0.0
2020-01-03 19:00:00,2.28,5.07,0.0,0.0
2020-01-03 20:00:00,2.75,5.07,0.0,0.0
2020-01-03 21:00:00,3.68,5.07,0.0,0.0
2020-01-03 22:00:00,4.07,5.07,0.0,0.0
2020-01-03 23:00:00,4.39,5.07,0.0,0.0
2020-01-04 00:00:00,3.71,5.07,0.0,0.0
2020-01-04 01:00:00,3.42,5.07,0.0,0.0
2020-01-04 02:00:00,3.08,5.07,0.0,0.0
2020-01-04 03:00:00,3.63,5.07,0.0,0.0
2020-01-04 04:00:00,3.43,5.07,0.0,0.0
2020-01-04 05:00:00,3.91,5.07,0.0,0.0
2020-01-04 06:00:00,3.12,5.07,0.0,0.0
2020-01-04 07:00:00,4.7,5.07,0.0,0.0
2020-01-04 08:00:00,3.88,5.07,0.0,0.0
2020-01-04 09:00:00,3.9,5.07,0.0,0.0
2020-01-04 10:00:00,5.08,5.07,0.0,0.0
2020-01-04 11:00:00,4.53,5.08,0.0,0.0
2020-01-04 12:00:00,4.04,5.08,0.0,0.0
2020-01-04 13:00:00,4.05,5.08,0.0,0.0
2020-01-04 14:00:00,4.28,5.08,0.0,0.0
2020-01-04 15:00:00,3.68,5.08,0.0,0.0
2020-01-04 16:00:00,3.67,5.08,0.0,0.0
2020-01-04 17:00:00,2.6,5.08,0.0,0.0
2020-01-04 18:00:00,1.89,5.08,0.0,0.0
2020-01-04 19:00:00,2.12,5.08,0.0,0.0
2020-01-04 20:00:00,2.38,5.08,0.0,0.0
2020-01-04 21:00:00,2.34,5.08,0.0,0.0
2020-01-04 22:00:00,2.2,5.08,0.0,0.0
2020-01-04 23:00:00,2.34,5.08,0.0,0.0
2020-01-05 00:00:00,2.14,5.08,0.0,0.0
2020-01-05 01:00:00,2.4,5.08,0.0,0.0
2020-01-05 02:00:00,2.49,5.08,0.0,0.0
2020-01-05 03:00:00,2.41,5.08,0.0,0.0
