변수,산불_평균,대조_평균,Delta_Mean,CI_95_Low,CI_95_High,t_stat,p_value,Cohens_dz,FDR_p
직전24h_최소습도,32.9099351988218,41.15879528718703,-8.248860088365243,-8.679181351025532,-7.8185388257049535,-37.58409759743254,8.842027294108029e-259,-0.6450364221688561,9.726230023518832e-258
직전48h_최소습도,30.053684830633287,36.361344918998526,-6.307660088365243,-6.678197460156737,-5.93712271657375,-33.37638222564298,1.777504418334466e-211,-0.5728215801897996,9.776274300839563e-211
D-1_최소습도_pct,34.529502209131074,42.571139322533135,-8.041637113402063,-8.532622644696135,-7.550651582107991,-32.11284420826402,8.250560929466791e-198,-0.5511361309145686,3.0252056741378236e-197
직전72h_최소습도,28.00241826215022,33.617544771723125,-5.615126509572901,-5.963145866361467,-5.267107152784336,-31.634366420496335,1.0445966743672782e-192,-0.5429242641933087,2.8726408545100148e-192
시점_습도_pct,49.70367010309278,56.36837761413844,-6.6647075110456555,-7.329652085718985,-5.999762936372326,-19.651632912297515,1.6173433832664435e-81,-0.3372708085025317,3.558155443186176e-81
D-3_최소습도_pct,37.96263033873343,42.584398723613155,-4.621768384879725,-5.1723245017073065,-4.071212268052143,-16.459232524369426,1.2701892275637224e-58,-0.2824812922976708,2.3286802505334914e-58
D-2_최소습도_pct,38.80853902798233,42.542841335297005,-3.7343023073146786,-4.248376585463054,-3.2202280291663032,-14.242511997224552,9.479552218590425e-45,-0.24443686475564916,1.4896439200642097e-44
직전24h_평균풍속,2.1199607265586646,1.974380569107368,0.14558015745129663,0.11690227605936002,0.17425803884323324,9.953094233037245,5.0395196197349866e-23,0.17081980688626125,6.929339477135607e-23
직전48h_평균풍속,2.0727365611192927,1.9713904353223188,0.1013461257969743,0.078970768067858,0.12372148352609061,8.8805560428098,1.0565514178734214e-18,0.15241238882679367,1.2913406218452927e-18
직전72h_평균풍속,2.0381278432335135,1.9696710876582402,0.06845675557527334,0.048744108890465,0.08816940226008167,6.808859454746172,1.1586225902978425e-11,0.11685693212014452,1.2744848493276267e-11
시점_풍속_m_s,2.418907216494845,2.347884536082474,0.07102268041237113,0.026713810552732163,0.11533155027201009,3.142746713586953,0.001688137249970658,0.0539373358814804,0.001688137249970658
