fire_exposure_id,기상셀ID,기준시각,기후지형유형,date,month,hour,matched_control_n,full_5_matched,is_ys0071,is_less_than_5_matched,is_2021_feb_cluster,control_row_n,fire_value,control_mean,feature,variable,window_h,risk_direction,feature_family,delta,risk_direction_match
FE_00001,YD_0001,2020-01-01 12:00:00,영동 해안형,2020-01-01,1,12,5,True,False,False,False,5,40.92,57.092000000000006,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-16.172000000000004,True
FE_00002,YD_0001,2020-01-13 11:00:00,영동 해안형,2020-01-13,1,11,5,True,False,False,False,5,43.85,54.157999999999994,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-10.307999999999993,True
FE_00003,YD_0001,2020-02-08 12:00:00,영동 해안형,2020-02-08,2,12,5,True,False,False,False,5,35.61,46.494,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-10.884,True
FE_00004,YD_0001,2020-03-24 11:00:00,영동 해안형,2020-03-24,3,11,5,True,False,False,False,5,52.82,46.974000000000004,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,5.8459999999999965,False
FE_00005,YD_0001,2020-03-26 18:00:00,영동 해안형,2020-03-26,3,18,5,True,False,False,False,5,61.06,39.79,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,21.270000000000003,False
FE_00006,YD_0001,2020-04-04 18:00:00,영동 해안형,2020-04-04,4,18,5,True,False,False,False,5,40.6,53.82000000000001,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-13.220000000000006,True
FE_00007,YD_0001,2020-04-11 13:00:00,영동 해안형,2020-04-11,4,13,5,True,False,False,False,5,43.58,43.416000000000004,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,0.16399999999999437,False
FE_00008,YD_0001,2020-06-04 17:00:00,영동 해안형,2020-06-04,6,17,5,True,False,False,False,5,39.48,62.516,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-23.036,True
FE_00009,YD_0001,2020-06-17 20:00:00,영동 해안형,2020-06-17,6,20,5,True,False,False,False,5,63.36,79.072,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-15.712000000000003,True
FE_00010,YD_0001,2020-11-19 15:00:00,영동 해안형,2020-11-19,11,15,5,True,False,False,False,5,82.59,35.403999999999996,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,47.18600000000001,False
FE_00011,YD_0001,2020-11-30 11:00:00,영동 해안형,2020-11-30,11,11,5,True,False,False,False,5,32.81,44.344,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-11.533999999999999,True
FE_00012,YD_0001,2020-12-10 10:00:00,영동 해안형,2020-12-10,12,10,5,True,False,False,False,5,63.96,53.696000000000005,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,10.263999999999996,False
FE_00013,YD_0001,2020-12-15 09:00:00,영동 해안형,2020-12-15,12,9,5,True,False,False,False,5,31.59,52.089999999999996,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-20.499999999999996,True
FE_00014,YD_0001,2020-12-18 11:00:00,영동 해안형,2020-12-18,12,11,5,True,False,False,False,5,56.46,35.976,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,20.484,False
FE_00015,YD_0001,2021-01-15 12:00:00,영동 해안형,2021-01-15,1,12,5,True,False,False,False,5,70.44,53.291999999999994,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,17.148000000000003,False
FE_00016,YD_0001,2021-01-28 13:00:00,영동 해안형,2021-01-28,1,13,5,True,False,False,False,5,36.14,41.948,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-5.808,True
FE_00017,YD_0001,2021-01-29 14:00:00,영동 해안형,2021-01-29,1,14,5,True,False,False,False,5,20.14,51.918000000000006,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-31.778000000000006,True
FE_00018,YD_0001,2021-01-29 19:00:00,영동 해안형,2021-01-29,1,19,5,True,False,False,False,5,28.6,59.386,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-30.786,True
FE_00019,YD_0001,2021-02-01 11:00:00,영동 해안형,2021-02-01,2,11,3,False,False,True,True,3,60.08,61.14333333333334,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-1.0633333333333397,True
FE_00020,YD_0001,2021-02-01 13:00:00,영동 해안형,2021-02-01,2,13,3,False,False,True,True,3,47.45,51.373333333333335,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-3.923333333333332,True
FE_00021,YD_0001,2021-02-01 14:00:00,영동 해안형,2021-02-01,2,14,3,False,False,True,True,3,47.75,49.99666666666667,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-2.2466666666666697,True
FE_00022,YD_0001,2021-02-02 08:00:00,영동 해안형,2021-02-02,2,8,2,False,False,True,True,2,28.75,89.83500000000001,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-61.08500000000001,True
FE_00023,YD_0001,2021-02-02 16:00:00,영동 해안형,2021-02-02,2,16,3,False,False,True,True,3,20.2,47.04333333333333,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-26.84333333333333,True
FE_00024,YD_0001,2021-02-02 17:00:00,영동 해안형,2021-02-02,2,17,3,False,False,True,True,3,19.98,47.85333333333333,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-27.87333333333333,True
FE_00025,YD_0001,2021-02-03 09:00:00,영동 해안형,2021-02-03,2,9,2,False,False,True,True,2,33.59,86.235,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-52.644999999999996,True
FE_00026,YD_0001,2021-02-05 14:00:00,영동 해안형,2021-02-05,2,14,3,False,False,True,True,3,38.14,49.99666666666667,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-11.85666666666667,True
FE_00027,YD_0001,2021-02-07 10:00:00,영동 해안형,2021-02-07,2,10,2,False,False,True,True,2,81.34,80.74000000000001,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,0.5999999999999943,False
FE_00028,YD_0001,2021-02-11 18:00:00,영동 해안형,2021-02-11,2,18,2,False,False,True,True,2,47.91,59.480000000000004,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-11.570000000000007,True
FE_00029,YD_0001,2021-02-13 13:00:00,영동 해안형,2021-02-13,2,13,3,False,False,True,True,3,51.07,51.373333333333335,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-0.30333333333333456,True
FE_00030,YD_0001,2021-02-13 14:00:00,영동 해안형,2021-02-13,2,14,3,False,False,True,True,3,52.25,49.99666666666667,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,2.2533333333333303,False
FE_00031,YD_0001,2021-02-15 13:00:00,영동 해안형,2021-02-15,2,13,3,False,False,True,True,3,56.07,51.373333333333335,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,4.696666666666665,False
FE_00032,YD_0001,2021-02-15 14:00:00,영동 해안형,2021-02-15,2,14,3,False,False,True,True,3,49.88,49.99666666666667,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-0.11666666666666714,True
FE_00033,YD_0001,2021-02-18 15:00:00,영동 해안형,2021-02-18,2,15,3,False,False,True,True,3,32.27,47.666666666666664,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-15.396666666666661,True
FE_00034,YD_0001,2021-02-18 16:00:00,영동 해안형,2021-02-18,2,16,3,False,False,True,True,3,29.55,47.04333333333333,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-17.49333333333333,True
FE_00035,YD_0001,2021-02-18 17:00:00,영동 해안형,2021-02-18,2,17,3,False,False,True,True,3,27.89,47.85333333333333,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-19.96333333333333,True
FE_00036,YD_0001,2021-02-22 17:00:00,영동 해안형,2021-02-22,2,17,3,False,False,True,True,3,74.1,47.85333333333333,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,26.246666666666663,False
FE_00037,YD_0001,2021-02-22 18:00:00,영동 해안형,2021-02-22,2,18,2,False,False,True,True,2,77.4,59.480000000000004,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,17.92,False
FE_00038,YD_0001,2021-02-24 18:00:00,영동 해안형,2021-02-24,2,18,2,False,False,True,True,2,52.67,59.480000000000004,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-6.810000000000002,True
FE_00039,YD_0001,2021-02-24 20:00:00,영동 해안형,2021-02-24,2,20,2,False,False,True,True,2,63.65,65.245,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-1.595000000000006,True
FE_00040,YD_0001,2021-03-30 16:00:00,영동 해안형,2021-03-30,3,16,5,True,False,False,False,5,26.5,48.495999999999995,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-21.995999999999995,True
