feature,variable,source,recent_start_h,recent_end_h,recent_agg,prev_start_h,prev_end_h,prev_agg,risk_direction,unit
rh_mean_1h_minus_prev6h_mean,humidity_drop,습도_pct,0.0,1.0,mean,1.0,7.0,mean,lower,%p
rh_mean_3h_minus_prev21h_mean,humidity_drop,습도_pct,0.0,3.0,mean,3.0,24.0,mean,lower,%p
rh_mean_6h_minus_prev18h_mean,humidity_drop,습도_pct,0.0,6.0,mean,6.0,24.0,mean,lower,%p
rh_min_6h_minus_prev18h_mean,humidity_drop,습도_pct,0.0,6.0,min,6.0,24.0,mean,lower,%p
wind_mean_3h_minus_prev21h_mean,wind_increase,풍속_m_s,0.0,3.0,mean,3.0,24.0,mean,higher,m/s
wind_max_6h_minus_prev18h_max,wind_increase,풍속_m_s,0.0,6.0,max,6.0,24.0,max,higher,m/s
pressure_mean_3h_minus_prev3h_mean,pressure_change,현지기압_hPa,0.0,3.0,mean,3.0,6.0,mean,two_sided,hPa
FFMC_change_1d,canadian_change,캐나다_FWI_일단위.csv,,,asof_minus_prev_day,,,asof_minus_prev_day,higher,index
ISI_change_1d,canadian_change,캐나다_FWI_일단위.csv,,,asof_minus_prev_day,,,asof_minus_prev_day,higher,index
FWI_change_1d,canadian_change,캐나다_FWI_일단위.csv,,,asof_minus_prev_day,,,asof_minus_prev_day,higher,index
