analysis_id,fire_exposure_id,sample_group,target,기상셀ID,기준시각,기후지형유형,date,month,hour,rh_mean_3h_drop_le_m5,rh_mean_3h_drop_le_m10,rh_mean_6h_drop_le_m5,rh_mean_6h_drop_le_m10,rh_min_6h_drop_le_m10,wind_mean_3h_inc_ge_0p5,wind_max_6h_inc_ge_1p0,pressure_abs_change_3h_ge_1p0,ffmc_1d_change_ge_3,isi_1d_change_ge_0p5
FE_00001,FE_00001,fire,1,YD_0001,2020-01-01 12:00:00,영동 해안형,2020-01-01,1,12,,,,,,,,0.0,,
FE_00002,FE_00002,fire,1,YD_0001,2020-01-13 11:00:00,영동 해안형,2020-01-13,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FE_00003,FE_00003,fire,1,YD_0001,2020-02-08 12:00:00,영동 해안형,2020-02-08,2,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00004,FE_00004,fire,1,YD_0001,2020-03-24 11:00:00,영동 해안형,2020-03-24,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FE_00005,FE_00005,fire,1,YD_0001,2020-03-26 18:00:00,영동 해안형,2020-03-26,3,18,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
FE_00006,FE_00006,fire,1,YD_0001,2020-04-04 18:00:00,영동 해안형,2020-04-04,4,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00007,FE_00007,fire,1,YD_0001,2020-04-11 13:00:00,영동 해안형,2020-04-11,4,13,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
FE_00008,FE_00008,fire,1,YD_0001,2020-06-04 17:00:00,영동 해안형,2020-06-04,6,17,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00009,FE_00009,fire,1,YD_0001,2020-06-17 20:00:00,영동 해안형,2020-06-17,6,20,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00010,FE_00010,fire,1,YD_0001,2020-11-19 15:00:00,영동 해안형,2020-11-19,11,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00011,FE_00011,fire,1,YD_0001,2020-11-30 11:00:00,영동 해안형,2020-11-30,11,11,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
FE_00012,FE_00012,fire,1,YD_0001,2020-12-10 10:00:00,영동 해안형,2020-12-10,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00013,FE_00013,fire,1,YD_0001,2020-12-15 09:00:00,영동 해안형,2020-12-15,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00014,FE_00014,fire,1,YD_0001,2020-12-18 11:00:00,영동 해안형,2020-12-18,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00015,FE_00015,fire,1,YD_0001,2021-01-15 12:00:00,영동 해안형,2021-01-15,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FE_00016,FE_00016,fire,1,YD_0001,2021-01-28 13:00:00,영동 해안형,2021-01-28,1,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FE_00017,FE_00017,fire,1,YD_0001,2021-01-29 14:00:00,영동 해안형,2021-01-29,1,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00018,FE_00018,fire,1,YD_0001,2021-01-29 19:00:00,영동 해안형,2021-01-29,1,19,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
FE_00019,FE_00019,fire,1,YD_0001,2021-02-01 11:00:00,영동 해안형,2021-02-01,2,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
FE_00020,FE_00020,fire,1,YD_0001,2021-02-01 13:00:00,영동 해안형,2021-02-01,2,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
FE_00021,FE_00021,fire,1,YD_0001,2021-02-01 14:00:00,영동 해안형,2021-02-01,2,14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
FE_00022,FE_00022,fire,1,YD_0001,2021-02-02 08:00:00,영동 해안형,2021-02-02,2,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
FE_00023,FE_00023,fire,1,YD_0001,2021-02-02 16:00:00,영동 해안형,2021-02-02,2,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
FE_00024,FE_00024,fire,1,YD_0001,2021-02-02 17:00:00,영동 해안형,2021-02-02,2,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
FE_00025,FE_00025,fire,1,YD_0001,2021-02-03 09:00:00,영동 해안형,2021-02-03,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00026,FE_00026,fire,1,YD_0001,2021-02-05 14:00:00,영동 해안형,2021-02-05,2,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
FE_00027,FE_00027,fire,1,YD_0001,2021-02-07 10:00:00,영동 해안형,2021-02-07,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00028,FE_00028,fire,1,YD_0001,2021-02-11 18:00:00,영동 해안형,2021-02-11,2,18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
FE_00029,FE_00029,fire,1,YD_0001,2021-02-13 13:00:00,영동 해안형,2021-02-13,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00030,FE_00030,fire,1,YD_0001,2021-02-13 14:00:00,영동 해안형,2021-02-13,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00031,FE_00031,fire,1,YD_0001,2021-02-15 13:00:00,영동 해안형,2021-02-15,2,13,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
FE_00032,FE_00032,fire,1,YD_0001,2021-02-15 14:00:00,영동 해안형,2021-02-15,2,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FE_00033,FE_00033,fire,1,YD_0001,2021-02-18 15:00:00,영동 해안형,2021-02-18,2,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00034,FE_00034,fire,1,YD_0001,2021-02-18 16:00:00,영동 해안형,2021-02-18,2,16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00035,FE_00035,fire,1,YD_0001,2021-02-18 17:00:00,영동 해안형,2021-02-18,2,17,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00036,FE_00036,fire,1,YD_0001,2021-02-22 17:00:00,영동 해안형,2021-02-22,2,17,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00037,FE_00037,fire,1,YD_0001,2021-02-22 18:00:00,영동 해안형,2021-02-22,2,18,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00038,FE_00038,fire,1,YD_0001,2021-02-24 18:00:00,영동 해안형,2021-02-24,2,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00039,FE_00039,fire,1,YD_0001,2021-02-24 20:00:00,영동 해안형,2021-02-24,2,20,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00040,FE_00040,fire,1,YD_0001,2021-03-30 16:00:00,영동 해안형,2021-03-30,3,16,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
FE_00041,FE_00041,fire,1,YD_0001,2021-04-22 11:00:00,영동 해안형,2021-04-22,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00042,FE_00042,fire,1,YD_0001,2021-04-23 13:00:00,영동 해안형,2021-04-23,4,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FE_00043,FE_00043,fire,1,YD_0001,2021-05-06 14:00:00,영동 해안형,2021-05-06,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FE_00044,FE_00044,fire,1,YD_0002,2020-01-25 09:00:00,영동 해안형,2020-01-25,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00045,FE_00045,fire,1,YD_0002,2020-03-05 16:00:00,영동 해안형,2020-03-05,3,16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00046,FE_00046,fire,1,YD_0002,2020-05-01 20:00:00,영동 해안형,2020-05-01,5,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
