condition,feature,operator,threshold,description
rh_mean_3h_drop_le_m5,rh_mean_3h_minus_prev21h_mean,<=,-5.0,최근3h 평균습도 - 이전21h 평균습도 <= -5%p
rh_mean_3h_drop_le_m10,rh_mean_3h_minus_prev21h_mean,<=,-10.0,최근3h 평균습도 - 이전21h 평균습도 <= -10%p
rh_mean_6h_drop_le_m5,rh_mean_6h_minus_prev18h_mean,<=,-5.0,최근6h 평균습도 - 이전18h 평균습도 <= -5%p
rh_mean_6h_drop_le_m10,rh_mean_6h_minus_prev18h_mean,<=,-10.0,최근6h 평균습도 - 이전18h 평균습도 <= -10%p
rh_min_6h_drop_le_m10,rh_min_6h_minus_prev18h_mean,<=,-10.0,최근6h 최소습도 - 이전18h 평균습도 <= -10%p
wind_mean_3h_inc_ge_0p5,wind_mean_3h_minus_prev21h_mean,>=,0.5,최근3h 평균풍속 - 이전21h 평균풍속 >= 0.5m/s
wind_max_6h_inc_ge_1p0,wind_max_6h_minus_prev18h_max,>=,1.0,최근6h 최대풍속 - 이전18h 최대풍속 >= 1.0m/s
pressure_abs_change_3h_ge_1p0,pressure_mean_3h_minus_prev3h_mean,>=,1.0,최근3h와 이전3h 평균 현지기압 차이 절댓값 >= 1.0hPa
ffmc_1d_change_ge_3,FFMC_change_1d,>=,3.0,as-of FFMC - 전일 FFMC >= 3
isi_1d_change_ge_0p5,ISI_change_1d,>=,0.5,as-of ISI - 전일 ISI >= 0.5
