group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
전체,dry_spell_0p1_gt_24h,1150,0.8991304347826087,0.8067826086956521,0.0923478260869565,0.03233514297222678,0.14115297393469145,1.114464324065926,2.1302787549718234,1.3028026031039828e-18,282,87,ok,7.816815618623897e-17
고지·산간형,dry_spell_0p1_gt_24h,181,0.8453038674033149,0.8209944751381214,0.024309392265193356,-0.09102341964965728,0.1185441176470588,1.0296096904080798,1.188452351536118,0.41362379051465037,101,25,ok,0.42788667984274176
영동 해안형,dry_spell_0p1_gt_24h,354,0.9096045197740112,0.814689265536723,0.09491525423728812,0.05335558931008673,0.13551844680204805,1.1165048542259268,2.2703890087067657,2.5780895066755647e-07,165,21,ok,8.593631688918549e-07
영서 내륙형,dry_spell_0p1_gt_24h,615,0.9089430894308943,0.7980487804878048,0.11089430894308941,0.020986830257833503,0.17400607425670683,1.1389568050418533,2.513456262867704,2.052846197956142e-15,208,41,ok,4.105692395912284e-14
전체,dry_spell_0p1_gt_48h,1150,0.782608695652174,0.6731884057971015,0.10942028985507245,0.03164409595379744,0.19057196321016304,1.1625403657434814,1.74636011969177,5.204804672298737e-14,282,87,ok,7.807207008448105e-13
고지·산간형,dry_spell_0p1_gt_48h,181,0.7292817679558011,0.6546961325966851,0.07458563535911603,-0.062353195164075996,0.20004970760233906,1.1139240504589007,1.4171122994652405,0.05588737090365536,101,25,ok,0.07983910129093623
영동 해안형,dry_spell_0p1_gt_48h,354,0.8220338983050848,0.6951035781544256,0.1269303201506591,0.04948874296435272,0.19058799886818176,1.1826063394826227,2.0187999178215477,3.943779623476944e-07,165,21,ok,1.1831338870430832e-06
영서 내륙형,dry_spell_0p1_gt_48h,615,0.775609756097561,0.6660162601626016,0.10959349593495933,-0.004439064571864842,0.22426449869358056,1.1645507810029327,1.7309725460990848,4.4550544206830636e-08,208,41,ok,1.6706454077561488e-07
전체,dry_spell_0p1_gt_72h,1150,0.6695652173913044,0.5752753623188406,0.09428985507246375,-3.8199371290137786e-05,0.1846070819337706,1.1639038642790003,1.4954293693502252,6.2016444753846955e-09,282,87,ok,2.8622974501775518e-08
고지·산간형,dry_spell_0p1_gt_72h,181,0.6464088397790055,0.567403314917127,0.07900552486187844,-0.048597701149425285,0.2129803685897436,1.1392405060837145,1.3909921278769308,0.05294757338369088,101,25,ok,0.07748425373223057
영동 해안형,dry_spell_0p1_gt_72h,354,0.711864406779661,0.6165725047080979,0.09529190207156307,0.024550679205851612,0.1755010893246186,1.1545510076906946,1.5340508318994512,0.0004714264800779217,165,21,ok,0.0008839246501461032
영서 내륙형,dry_spell_0p1_gt_72h,615,0.6520325203252032,0.553821138211382,0.09821138211382112,-0.02541349206349207,0.224165809582318,1.177334115945213,1.5085206984943134,2.075753035364944e-05,208,41,ok,4.981807284875866e-05
전체,dry_spell_0p1_gt_120h,1150,0.5034782608695653,0.4420579710144928,0.06142028985507246,-0.026996919324176742,0.15354734619778895,1.1389417084261038,1.2795534057522255,0.00020167321368165424,282,87,ok,0.0004033464273633085
고지·산간형,dry_spell_0p1_gt_120h,181,0.5138121546961326,0.4447513812154697,0.06906077348066297,-0.06262032085561499,0.22267479674796747,1.155279502756452,1.3173606751761175,0.09061886979949264,101,25,ok,0.11819852582542519
영동 해안형,dry_spell_0p1_gt_120h,354,0.5282485875706214,0.5080979284369115,0.02015065913370998,-0.07271405677655678,0.10612438437844865,1.0396590065935547,1.0838204100546975,0.4715765767449869,165,21,ok,0.4795694000796477
영서 내륙형,dry_spell_0p1_gt_120h,615,0.4861788617886179,0.4032520325203252,0.08292682926829269,-0.01903666689880911,0.19286516888541166,1.2056451607803558,1.399439289767038,0.00041681307317104863,208,41,ok,0.0008067349803310619
전체,dry_spell_0p1_gt_240h,1150,0.2608695652173913,0.24846376811594204,0.012405797101449269,-0.04961590912496816,0.07581037123015097,1.0499300044654007,1.067453317146005,0.34205879422555346,282,87,ok,0.36649156524166443
고지·산간형,dry_spell_0p1_gt_240h,181,0.2983425414364641,0.22541436464088396,0.07292817679558013,-0.03341412558436039,0.19225255371609704,1.3235294103294408,1.4562313060817549,0.029695049904855154,101,25,ok,0.04688692090240287
영동 해안형,dry_spell_0p1_gt_240h,354,0.327683615819209,0.3783427495291902,-0.05065913370998118,-0.14865301625475344,0.04844371350432402,0.8661025389303113,0.8014389670958824,0.04919220450987211,165,21,ok,0.07378830676480816
영서 내륙형,dry_spell_0p1_gt_240h,615,0.21138211382113822,0.18048780487804877,0.030894308943089432,-0.0256061308411215,0.1005077369439071,1.1711711702227905,1.2162072293830504,0.06366132334364384,208,41,ok,0.08882975350275885
