group,condition,fire_n,control_n,fire_rate,control_rate,delta_rate,approx_or
전체,press_drop_only,1150,5632,0.19130434782608696,0.1454190340909091,0.045885313735177874,1.3918878203541496
전체,humid_drop_only,1150,5632,0.45304347826086955,0.47034801136363635,-0.017304533102766806,0.9328690758113577
전체,wind_rise_only,1150,5632,0.12695652173913044,0.1299715909090909,-0.0030150691699604715,0.9757093081134891
전체,press_drop_AND_humid_drop,1150,5632,0.08260869565217391,0.06889204545454546,0.013716650197628452,1.2214008012207918
전체,press_drop_AND_wind_rise,1150,5632,0.025217391304347827,0.020419034090909092,0.004798357213438735,1.2565596092123066
전체,humid_drop_AND_wind_rise,1150,5632,0.08521739130434783,0.09481534090909091,-0.009597949604743083,0.8927067941490815
전체,press_drop_AND_humid_drop_AND_wind_rise,1150,5632,0.017391304347826087,0.013494318181818182,0.003896986166007905,1.3171134294791187
고지·산간형,press_drop_only,181,836,0.2265193370165746,0.1590909090909091,0.0674284279256655,1.5565196529249472
고지·산간형,humid_drop_only,181,836,0.5248618784530387,0.5358851674641149,-0.011023289011076187,0.956347748757902
고지·산간형,wind_rise_only,181,836,0.143646408839779,0.20334928229665072,-0.059702873456871725,0.6661794796843027
고지·산간형,press_drop_AND_humid_drop,181,836,0.09944751381215469,0.09210526315789473,0.00734225065425996,1.108868501529052
고지·산간형,press_drop_AND_wind_rise,181,836,0.03867403314917127,0.028708133971291867,0.009965899177879402,1.425355242383486
고지·산간형,humid_drop_AND_wind_rise,181,836,0.09944751381215469,0.15430622009569378,-0.05485870628353909,0.618173875054609
고지·산간형,press_drop_AND_humid_drop_AND_wind_rise,181,836,0.027624309392265192,0.017942583732057416,0.009681725660207776,1.651558073654391
영동 해안형,press_drop_only,354,1721,0.2033898305084746,0.15281812899477049,0.050571701513704104,1.4205135094288928
영동 해안형,humid_drop_only,354,1721,0.3531073446327684,0.38117373619988376,-0.02806639156711538,0.8875232922990645
영동 해안형,wind_rise_only,354,1721,0.12146892655367232,0.09529343404997094,0.02617549250370138,1.3221884498480245
영동 해안형,press_drop_AND_humid_drop,354,1721,0.07909604519774012,0.07088901801278326,0.008207027184956861,1.139750601618902
영동 해안형,press_drop_AND_wind_rise,354,1721,0.031073446327683617,0.02556653108657757,0.005506915241106046,1.2620414438284022
영동 해안형,humid_drop_AND_wind_rise,354,1721,0.06497175141242938,0.05345729227193492,0.011514459140494454,1.2488117076352367
영동 해안형,press_drop_AND_humid_drop_AND_wind_rise,354,1721,0.022598870056497175,0.01568855316676351,0.006910316889733665,1.511557129738948
영서 내륙형,press_drop_only,615,3075,0.17398373983739837,0.1375609756097561,0.03642276422764226,1.3240960344741517
영서 내륙형,humid_drop_only,615,3075,0.4894308943089431,0.5024390243902439,-0.013008130081300806,0.9493601352508617
영서 내륙형,wind_rise_only,615,3075,0.12520325203252033,0.12943089430894308,-0.0042276422764227495,0.9669792362026124
영서 내륙형,press_drop_AND_humid_drop,615,3075,0.07967479674796749,0.06146341463414634,0.018211382113821145,1.3309680559469221
영서 내륙형,press_drop_AND_wind_rise,615,3075,0.01788617886178862,0.015284552845528456,0.0026016260162601626,1.212929345696748
영서 내륙형,humid_drop_AND_wind_rise,615,3075,0.09268292682926829,0.10178861788617886,-0.009105691056910573,0.9072133006072597
영서 내륙형,press_drop_AND_humid_drop_AND_wind_rise,615,3075,0.011382113821138212,0.011056910569105691,0.0003252032520325212,1.0865992640491586
