월,기후지형유형,산불_건수,대조_건수,Delta_기온_C,p_value_기온,Delta_해면기압_hPa,p_value_기압,FDR_기온,FDR_기압
1,고지·산간형,36,180,2.314611111111111,0.008049012845809635,3.921055555555654,0.002853540206271387,0.012576582571577555,0.01783462628919617
1,영동 해안형,104,520,-2.623961538461539,8.879178600537269e-10,-0.9316346153843824,0.2777649798719204,5.549486625335793e-09,0.6803764844862276
1,영서 내륙형,66,330,1.4565151515151515,0.046037506179327156,-0.040272727272849806,0.9891904899941641,0.06057566602543047,0.9891904899941641
2,고지·산간형,203,1015,0.032561576354680044,0.5133864395826805,-2.7152118226601942,1.343051741146474e-06,0.5833936813439551,1.6788146764330926e-05
2,영동 해안형,682,3410,-1.3117419354838713,2.0155725620196713e-05,1.2970879765396148,0.048904663516454075,6.298664256311473e-05,0.24452331758227036
2,영서 내륙형,604,3020,-3.302503311258278,5.946043338315369e-47,0.22376158940403457,0.41685265994471465,1.486510834578842e-45,0.6803764844862276
3,고지·산간형,30,150,5.583466666666666,1.8225393872579953e-05,0.45946666666668534,0.8387771426683546,6.298664256311473e-05,0.9654853871305925
3,영동 해안형,60,300,1.7355000000000036,0.004498719567670302,-1.3370666666667148,0.4585067770854516,0.00865138378398135,0.6803764844862276
3,영서 내륙형,148,740,2.26910810810811,1.6751924291912884e-05,0.24358108108094711,0.6578545121891171,6.298664256311473e-05,0.8223181402363963
4,고지·산간형,50,250,2.5244,0.0002416107417249643,-0.022159999999871616,0.9636758676445539,0.0006040268543124108,0.9891904899941641
4,영동 해안형,60,300,-0.9068000000000005,0.15107670636871642,0.4584999999998445,0.3814823372851718,0.17985322186751956,0.6803764844862276
4,영서 내륙형,218,1090,1.210972477064221,0.0006300190225453464,-0.022339449541391332,0.8856755636805921,0.0014318614148757874,0.9654853871305925
5,고지·산간형,22,110,2.096818181818181,0.035142576809630885,-0.033727272727219315,0.09364230599938826,0.048809134457820674,0.3344368071406723
5,영동 해안형,27,135,2.4125925925925884,0.010083019599786332,-0.4205185185184064,0.48183230132541044,0.014827969999685782,0.6803764844862276
5,영서 내륙형,98,490,1.6455714285714258,0.0067016271504046505,0.2758775510203577,0.531121274596603,0.011732695094999544,0.6988437823639513
6,영동 해안형,12,60,-0.03749999999999787,0.873929070351942,-2.0031666666666297,0.13455516409489093,0.873929070351942,0.42048488779653415
6,영서 내륙형,13,65,3.5670769230769217,0.007039617056999726,1.3023076923077497,0.4898710688300838,0.011732695094999544,0.6803764844862276
10,고지·산간형,256,1280,-0.8449218750000007,0.0007963566665491548,0.004687500000045475,0.4805738305289109,0.0016590763886440724,0.6803764844862276
10,영동 해안형,189,945,-1.8476825396825394,6.214345666497422e-18,2.570317460317483,3.4331157548660927e-13,5.178621388747852e-17,8.582789387165232e-12
10,영서 내륙형,345,1725,-2.039559420289857,5.269283414697532e-23,-2.5062376811595186,0.0012745167455843556,6.586604268371915e-22,0.01062097287986963
11,영동 해안형,18,90,0.9116666666666671,0.6035061087955935,-0.8807777777778938,0.34943708958303077,0.6559849008647756,0.6803764844862276
11,영서 내륙형,19,95,-0.5395789473684207,0.8166118579217199,1.7636842105262076,0.41371144132408444,0.8506373520017916,0.6803764844862276
12,고지·산간형,18,90,4.973333333333334,1.834972857050588e-05,-2.209222222222138,0.08406042874957778,6.298664256311473e-05,0.3344368071406723
12,영동 해안형,67,335,-1.7832537313432835,0.10301383692462472,0.2475223880600197,0.8882465561601451,0.1287672961557809,0.9654853871305925
12,영서 내륙형,39,195,3.069897435897436,0.0001408899634159286,-2.231692307692242,0.2585536684729539,0.0003913610094886906,0.6803764844862276
