analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,temp,rh,ah,vpd,rh_z,rh_pct,ah_z,ah_pct,vpd_z,vpd_pct
FE_00001,FE_00001,,fire,1,YD_0001,2020-01-01 12:00:00,영동 해안형,1,12,2020-01-01,4.25,38.03,0.24588300905178112,0.5128982714419401,-0.3570971867892548,0.532258064516129,-0.3766518629965096,0.4838709677419355,0.3844307427054863,0.6129032258064516
FE_00002,FE_00002,,fire,1,YD_0001,2020-01-13 11:00:00,영동 해안형,1,11,2020-01-13,1.25,42.48,0.22430835447478562,0.3845962226098773,-0.25969587047959386,0.5483870967741935,-0.48096486183741405,0.3709677419354839,-0.015841392431074096,0.4838709677419355
FE_00003,FE_00003,,fire,1,YD_0001,2020-02-08 12:00:00,영동 해안형,2,12,2020-02-08,3.57,38.05,0.23508304949919992,0.4887531878290331,-0.3901566034867875,0.45614035087719296,-0.7628411827069407,0.2982456140350877,-0.33030241832554263,0.38596491228070173
FE_00004,FE_00004,,fire,1,YD_0001,2020-03-24 11:00:00,영동 해안형,3,11,2020-03-24,11.78,52.32,0.550036054181944,0.6590812186915812,0.05162083059687262,0.5806451612903226,0.36496684288771497,0.6129032258064516,-0.031460304984223975,0.5645161290322581
FE_00005,FE_00005,,fire,1,YD_0001,2020-03-26 18:00:00,영동 해안형,3,18,2020-03-26,15.76,64.44,0.8654383358860628,0.636716365288964,0.22450673887932637,0.5967741935483871,1.9831882187997836,0.9838709677419355,0.3450198996568021,0.6935483870967742
FE_00006,FE_00006,,fire,1,YD_0001,2020-04-04 18:00:00,영동 해안형,4,18,2020-04-04,6.52,43.8,0.3289552642242525,0.544735924030922,-0.549339480224324,0.31666666666666665,-1.4782001411673351,0.05,-0.45578350646194654,0.35
FE_00007,FE_00007,,fire,1,YD_0001,2020-04-11 13:00:00,영동 해안형,4,13,2020-04-11,13.68,42.49,0.5025946639197972,0.9004097134689047,-0.2474587447708077,0.5,-0.48104313595059045,0.4,-0.1564618754887935,0.4666666666666667
FE_00008,FE_00008,,fire,1,YD_0001,2020-06-04 17:00:00,영동 해안형,6,17,2020-06-04,29.08,42.53,1.2271162248506529,2.312651393338369,-1.5922729095007409,0.06666666666666667,-0.9694755343175837,0.13333333333333333,1.9763726966309305,1.0
FE_00009,FE_00009,,fire,1,YD_0001,2020-06-17 20:00:00,영동 해안형,6,20,2020-06-17,24.26,67.5,1.490563416632771,0.9849783887316108,-0.6397787566899036,0.25,0.4834107343645134,0.5666666666666667,0.7627087590004913,0.8
FE_00010,FE_00010,,fire,1,YD_0001,2020-11-19 15:00:00,영동 해안형,11,15,2020-11-19,20.54,67.39,1.2020837482677214,0.7883522583588809,1.653184187690136,0.9666666666666667,2.7335469188912938,1.0,-0.281739436665878,0.4166666666666667
FE_00011,FE_00011,,fire,1,YD_0001,2020-11-30 11:00:00,영동 해안형,11,11,2020-11-30,4.71,28.79,0.19192412368922288,0.6086897762692479,-0.933081830079913,0.16666666666666666,-1.1713758339118279,0.08333333333333333,-0.656546118329622,0.31666666666666665
FE_00012,FE_00012,,fire,1,YD_0001,2020-12-10 10:00:00,영동 해안형,12,10,2020-12-10,7.06,58.48,0.4549499501702422,0.41767484632255036,0.9790873881848985,0.8064516129032258,1.0820053648083843,0.8548387096774194,-0.11888267183062243,0.43548387096774194
FE_00013,FE_00013,,fire,1,YD_0001,2020-12-15 09:00:00,영동 해안형,12,9,2020-12-15,-6.96,26.03,0.0768062579089189,0.2681086845290285,-1.5184803902979132,0.04838709677419355,-1.445372024458773,0.03225806451612903,-0.7938677426570026,0.20967741935483872
FE_00014,FE_00014,,fire,1,YD_0001,2020-12-18 11:00:00,영동 해안형,12,11,2020-12-18,3.4,51.68,0.31567291431027816,0.3766660622060607,0.755495147306445,0.7741935483870968,0.1711062716201047,0.532258064516129,-0.864206995066943,0.20967741935483872
FE_00015,FE_00015,,fire,1,YD_0001,2021-01-15 12:00:00,영동 해안형,1,12,2021-01-15,7.95,69.78,0.5750978149209525,0.3230778221631313,0.9913764309564304,0.8064516129032258,1.3798164593263973,0.8870967741935484,-0.5424584245826855,0.2903225806451613
FE_00016,FE_00016,,fire,1,YD_0001,2021-01-28 13:00:00,영동 해안형,1,13,2021-01-28,2.21,73.09,0.412009348802828,0.19275459870075595,1.1459142703644218,0.8225806451612904,0.45749589150350356,0.6612903225806451,-1.2256639143992136,0.12903225806451613
FE_00017,FE_00017,,fire,1,YD_0001,2021-01-29 14:00:00,영동 해안형,1,14,2021-01-29,-2.02,20.92,0.0880509772467309,0.4164451644139888,-1.1042160986381804,0.06451612903225806,-1.3086654442671941,0.06451612903225806,-0.24384453003938866,0.41935483870967744
FE_00018,FE_00018,,fire,1,YD_0001,2021-01-29 19:00:00,영동 해안형,1,19,2021-01-29,-4.18,29.58,0.10679555703792576,0.3155701876360554,-1.3007317553530182,0.11290322580645161,-1.2906535756681583,0.0967741935483871,0.22723013311433113,0.5967741935483871
