group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
전체,rh_le_20,1150,0.05478260869565217,0.03304347826086956,0.02173913043478261,0.0012748812448267945,0.04668695000936151,1.6578947169321336,1.6872667562322738,0.0016866956609224103,282,87,ok,0.004979768141770926
전체,rh_le_30,1150,0.19391304347826088,0.1455072463768116,0.04840579710144928,0.0025799301903534104,0.10214067218595357,1.3326693204228903,1.4116028768967634,3.048353745633024e-05,282,87,ok,0.00018899793222924748
전체,rh_le_40,1150,0.36695652173913046,0.30211594202898556,0.06484057971014492,0.0006830269052753421,0.12776420763363597,1.2146215094114512,1.3386058516194521,1.277241868142925e-06,282,87,ok,2.639633194162045e-05
전체,ah_le_2,1150,0.9982608695652174,0.9994782608695653,-0.0012173913043478262,-0.0036548941171756564,0.00035049063623847067,0.9987819732046291,0.43946430124357305,0.2231699882585423,282,87,ok,0.29456968143507295
전체,ah_le_3,1150,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,282,87,ok,
전체,ah_le_4,1150,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,282,87,ok,
전체,vpd_ge_0p5,1150,0.4860869565217391,0.45307246376811594,0.033014492753623184,-0.010445873356090079,0.07879607894279256,1.0728680185199957,1.1416579565922234,0.008338469479748513,282,87,ok,0.018463753848014564
전체,vpd_ge_1p0,1150,0.2165217391304348,0.17373913043478262,0.042782608695652175,0.0068757404586612504,0.07779043653207317,1.2462462448289129,1.3136127755122726,6.225964946304091e-05,282,87,ok,0.0002757213047648955
전체,vpd_ge_1p5,1150,0.08782608695652173,0.05686956521739131,0.030956521739130435,0.009403656075077512,0.05632488163041239,1.544342498073488,1.592457858030524,5.823698146647818e-05,282,87,ok,0.0002757213047648955
전체,rh_local_q05,1150,0.1191304347826087,0.0662608695652174,0.0528695652173913,0.005255370746431483,0.10489518406984615,1.7979002504253896,1.900243067995361,3.1614011050787153e-07,282,87,ok,9.800343425744017e-06
전체,rh_local_q10,1150,0.18434782608695652,0.1306086956521739,0.05373913043478261,-0.004691469428007889,0.11232921754694182,1.4114513949855587,1.5029401065317987,2.1381809396372375e-05,282,87,ok,0.00014996880531906038
전체,rh_local_q20,1150,0.30521739130434783,0.23953623188405795,0.06568115942028985,-0.00863122801290488,0.13262564567918467,1.274201354131178,1.394038700809579,1.3373294477781161e-05,282,87,ok,0.00011844917966034743
전체,ah_local_q05,1150,0.10434782608695652,0.06260869565217392,0.04173913043478261,-0.011801699065143195,0.10305982615399849,1.6666666560185184,1.7394870250464285,2.1769665288250703e-05,282,87,ok,0.00014996880531906038
전체,ah_local_q10,1150,0.17652173913043478,0.1111304347826087,0.06539130434782607,-0.009806832152347936,0.1424608908277529,1.58841940002596,1.712011960753264,1.0860526590230561e-07,282,87,ok,6.733526485942948e-06
전체,ah_local_q20,1150,0.271304347826087,0.22376811594202897,0.04753623188405798,-0.03147375886524823,0.14380829199149536,1.2124352322112677,1.2910420807926863,0.0010844422448583206,282,87,ok,0.0039550246577185815
전체,vpd_local_q80,1150,0.28782608695652173,0.2488985507246377,0.03892753623188406,-0.016355895226812165,0.10455265090984067,1.15639920747691,1.2192819780691493,0.012010832792783158,282,87,ok,0.02482238777175186
전체,vpd_local_q90,1150,0.15391304347826087,0.13379710144927537,0.020115942028985503,-0.021639522461345352,0.06568576388888889,1.1503466193269154,1.177183818612803,0.09833515525817127,282,87,ok,0.14516141966682425
전체,vpd_local_q95,1150,0.0808695652173913,0.07547826086956522,0.005391304347826087,-0.02428123228684115,0.039567508249683025,1.071428570482225,1.077298736185919,0.5534214440668167,282,87,ok,0.6238569005844116
