iter	Passed	Remaining
0	13	3538
1	26	3311
2	38	3206
3	47	2985
4	57	2860
5	67	2778
6	76	2716
7	86	2672
8	97	2649
9	107	2623
10	118	2609
11	128	2584
12	137	2557
13	147	2533
14	158	2522
15	169	2520
16	180	2511
17	190	2502
18	200	2478
19	209	2456
20	220	2451
21	230	2432
22	241	2426
23	251	2413
24	262	2408
25	272	2392
26	281	2368
27	291	2351
28	301	2340
29	311	2328
30	321	2312
31	331	2300
32	341	2285
33	350	2269
34	360	2255
35	370	2244
36	380	2231
37	390	2221
38	402	2216
39	412	2208
40	422	2196
41	433	2186
42	443	2174
43	454	2168
44	463	2154
45	473	2142
46	484	2132
47	494	2120
48	503	2107
49	514	2098
50	523	2084
51	533	2071
52	542	2057
53	552	2046
54	562	2035
55	572	2023
56	582	2013
57	591	2000
58	601	1989
59	613	1983
60	622	1970
61	633	1961
62	643	1952
63	654	1943
64	666	1936
65	676	1927
66	686	1916
67	697	1907
68	708	1898
69	718	1888
70	729	1881
71	743	1879
72	757	1878
73	770	1873
74	782	1867
75	796	1865
76	808	1859
77	823	1857
78	837	1854
79	852	1854
80	866	1850
81	879	1844
82	891	1836
83	901	1825
84	912	1813
85	923	1804
86	936	1797
87	947	1787
88	958	1777
89	968	1764
90	978	1752
91	989	1742
92	998	1729
93	1009	1719
94	1021	1709
95	1031	1697
96	1042	1687
97	1054	1678
98	1065	1668
99	1076	1657
100	1088	1648
101	1097	1635
102	1108	1624
103	1119	1615
104	1130	1604
105	1140	1592
106	1151	1582
107	1161	1570
108	1172	1559
109	1183	1549
110	1194	1538
111	1205	1528
112	1215	1517
113	1225	1505
114	1236	1494
115	1246	1482
116	1256	1470
117	1266	1459
118	1276	1447
119	1286	1436
120	1296	1425
121	1306	1413
122	1317	1403
123	1327	1392
124	1339	1382
125	1350	1371
126	1359	1359
127	1370	1349
128	1381	1338
129	1392	1328
130	1403	1318
131	1413	1306
132	1423	1295
133	1433	1283
134	1443	1272
135	1453	1260
136	1463	1249
137	1472	1237
138	1483	1227
139	1493	1216
140	1502	1204
141	1513	1193
142	1523	1182
143	1533	1171
144	1544	1161
145	1554	1149
146	1565	1139
147	1576	1128
148	1586	1117
149	1596	1106
150	1608	1097
151	1618	1085
152	1628	1075
153	1639	1064
154	1650	1053
155	1660	1043
156	1670	1032
157	1680	1021
158	1690	1010
159	1700	998
160	1709	987
161	1719	976
162	1728	964
163	1737	953
164	1747	942
165	1756	931
166	1765	920
167	1775	908
168	1784	897
169	1794	886
170	1803	875
171	1813	864
172	1822	853
173	1831	842
174	1841	831
175	1851	820
176	1860	809
177	1869	798
178	1879	787
179	1889	776
180	1899	765
181	1909	755
182	1918	744
183	1927	733
184	1937	722
185	1947	711
186	1956	700
187	1965	690
188	1974	679
189	1984	668
190	1994	657
191	2005	647
192	2015	636
193	2024	626
194	2035	615
195	2044	604
196	2053	594
197	2063	583
198	2073	573
199	2084	562
200	2094	552
201	2104	541
202	2114	531
203	2124	520
204	2134	510
205	2143	499
206	2153	489
207	2164	478
208	2173	467
209	2182	457
210	2192	446
211	2203	436
212	2213	425
213	2222	415
214	2233	405
215	2242	394
216	2252	384
217	2263	373
218	2274	363
219	2284	353
220	2294	342
221	2305	332
222	2316	321
223	2326	311
224	2337	301
225	2348	290
226	2358	280
227	2367	269
228	2377	259
229	2386	249
230	2396	238
231	2406	228
232	2416	217
233	2426	207
234	2436	196
235	2446	186
236	2456	176
237	2465	165
238	2475	155
239	2485	144
240	2496	134
241	2506	124
242	2516	113
243	2527	103
244	2537	93
245	2547	82
246	2557	72
247	2568	62
248	2579	51
249	2590	41
250	2600	31
251	2611	20
252	2621	10
253	2631	0
